file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3
Crawfordsville-TP6-4351_19_15,1069.5555555555557,758.9761904761905,585.2301587301587,1714.857142857143,1384.797619047619,485.6031746031746,Crawfordsville-TP6-4351,19,15,0.03556298719311943,0.048548697968682414,-0.004403292488496541
Crawfordsville-TP6-4353_21_42,1664.0785123966941,1186.611570247934,879.202479338843,2506.2024793388427,2107.3677685950415,649.1570247933885,Crawfordsville-TP6-4353,21,42,0.053408750551664885,-0.09591088441604563,0.04428655350556881
Crawfordsville-TP6-4351_23_18,1164.031746031746,834.5436507936508,628.5753968253969,1838.2738095238096,1490.6190476190477,506.8968253968254,Crawfordsville-TP6-4351,23,18,0.038309029588156844,0.01912287055550187,-0.01874634487734546
Crawfordsville-TP6-4351_21_18,1244.3290043290044,900.7316017316017,703.3982683982684,1975.142857142857,1611.9134199134198,572.017316017316,Crawfordsville-TP6-4351,21,18,0.040430493764664316,0.04132653601895606,0.033232893872546174
Crawfordsville-TP6-4351_13_17,1002.75,725.1780303030303,545.9734848484849,1621.5568181818182,1318.0378787878788,460.42045454545456,Crawfordsville-TP6-4351,13,17,0.03373118693507897,0.04689132048736905,0.05405251126336736
Crawfordsville-TP6-4353_8_42,1515.0151515151515,1067.1439393939395,784.4015151515151,2334.3901515151515,1929.253787878788,598.4886363636364,Crawfordsville-TP6-4353,8,42,0.05005426067262411,-0.04553438625588324,0.0010159717303530734
Crawfordsville-TP6-4353_19_45,1426.344696969697,1018.1969696969697,734.5757575757576,2196.026515151515,1814.8977272727273,561.655303030303,Crawfordsville-TP6-4353,19,45,0.04705742747909392,-0.05144501322223525,0.007891178138591687
Crawfordsville-TP6-4351_21_17,1192.5714285714287,857.3571428571429,652.6706349206349,1885.6031746031747,1544.3373015873017,534.718253968254,Crawfordsville-TP6-4351,21,17,0.03912203109072101,0.027265150040800303,0.03762940510753469
Crawfordsville-TP6-4352_11_4,1211.9404761904761,867.6666666666666,666.1150793650794,1880.7896825396826,1547.6468253968253,541.6468253968254,Crawfordsville-TP6-4352,11,4,0.03875376538693046,0.010760636901044942,0.00903757964598598
Crawfordsville-TP6-4352_14_8,1213.8311688311687,883.5108225108225,677.9350649350649,1894.2770562770563,1543.7792207792209,569.1688311688312,Crawfordsville-TP6-4352,14,8,0.038288270694473985,0.031483061554679385,-0.014518194252898244
Crawfordsville-TP6-4353_10_43,1458.0075757575758,1020.310606060606,743.9886363636364,2267.712121212121,1875.503787878788,560.6704545454545,Crawfordsville-TP6-4353,10,43,0.0492878491573483,-0.04287475678696973,0.03143000577995608
