file,Red,Green,Blue,PC1,PC2,PC3,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight
Ames-TP1-4231_10_6,56.900432900432904,72.89177489177489,65.05627705627705,0.038641277193657744,0.0429779125496269,0.0032159508504613597,Ames-TP1-4231,10,6,34000.0,12.54,119.39,68.0,,,,,,,,,,,0.0,186.0
Ames-TP1-4233_12_12,53.05194805194805,68.7056277056277,59.64502164502164,0.03823936043924601,0.005542334371403565,0.021783112086313814,Ames-TP1-4233,12,12,,,,,,,,,,,,,,,,
Ames-TP1-4233_18_1,55.40495867768595,68.9504132231405,61.268595041322314,0.03304212035080576,0.00895981369478575,0.04125058643006023,Ames-TP1-4233,18,1,,,,,,,,,,,,,,,,
Ames-TP1-4233_14_11,51.246753246753244,68.5108225108225,59.298701298701296,0.04194086994847573,0.026617953265954616,-0.012791294325046389,Ames-TP1-4233,14,11,,,,,,,,,,,,,,,,
Ames-TP1-4233_1_9,52.078512396694215,66.59917355371901,57.50826446280992,0.03567585709652707,-0.012882086993277878,-0.05796578991736519,Ames-TP1-4233,1,9,,,,,,,,,,,,,,,,
Ames-TP1-4233_14_1,55.46694214876033,66.75619834710744,58.48347107438016,0.028095337830036766,-0.04166630505703948,0.0006448845570034226,Ames-TP1-4233,14,1,,,,,,,,,,,,,,,,
Ames-TP1-4233_5_9,43.833333333333336,58.67424242424242,50.321969696969695,0.03618307008383316,0.011503576937207329,0.03882101332252721,Ames-TP1-4233,5,9,,,,,,,,,,,,,,,,
Ames-TP1-4232_25_20,52.082251082251084,69.66666666666667,60.502164502164504,0.04265404074210155,0.03285304449482197,-0.01787540242090194,Ames-TP1-4232,25,20,,,,,,,,,,,,,,,,
Ames-TP1-4232_28_17,56.41558441558441,74.25108225108225,63.935064935064936,0.04356696151234486,0.0065108138888321345,0.08403761157199068,Ames-TP1-4232,28,17,33500.0,18.3,161.72,67.0,,,,,,,,,,,0.0,197.0
Ames-TP1-4232_8_17,47.09469696969697,61.015151515151516,54.81060606060606,0.03345373634729426,0.05360034609340769,-0.03347716937898482,Ames-TP1-4232,8,17,30500.0,13.62,120.22,61.0,,,,,,,,,,,0.0,246.0
Ames-TP1-4233_9_8,54.260330578512395,77.01239669421487,63.103305785123965,0.05579981415092017,-0.011378566235725529,0.07913323932991184,Ames-TP1-4233,9,8,37000.0,16.72,134.57,74.0,,,,,,,,,,,4.05,205.0
Ames-TP1-4231_30_6,48.523809523809526,63.67460317460318,55.33730158730159,0.036882207546072805,0.016718278791650217,-0.03952451926235701,Ames-TP1-4231,30,6,34500.0,20.27,174.86,69.0,,,,,,,,,,,0.0,219.0
Ames-TP1-4233_6_9,52.40692640692641,72.47186147186147,60.56709956709957,0.04910192421027698,-0.0005360338444371326,-0.020598438032299583,Ames-TP1-4233,6,9,34500.0,19.42,168.55,69.0,,,,,,,,,,,0.0,189.0
Ames-TP1-4231_22_3,50.166666666666664,64.17460317460318,56.63492063492063,0.03404987085262898,0.019889188979547934,-0.017525077561044596,Ames-TP1-4231,22,3,28000.0,15.73,141.99,56.0,,,,,,,,,,,0.0,198.0
Ames-TP1-4232_5_20,48.79761904761905,65.01190476190476,55.68650793650794,0.03959105522450817,0.007308988159418614,0.021524283117806867,Ames-TP1-4232,5,20,33000.0,12.71,108.71,66.0,,,,,,,,,,,0.0,232.0
Ames-TP1-4231_28_2,57.888888888888886,68.93650793650794,60.757936507936506,0.02751866648935184,-0.042952539183734255,0.0393719939188331,Ames-TP1-4231,28,2,31500.0,11.83,97.82,63.0,,,,,,,,,,,0.0,193.0
Ames-TP1-4233_16_8,52.03463203463203,69.35064935064935,60.701298701298704,0.04189126640006138,0.04220943456985325,0.0038503101161378047,Ames-TP1-4233,16,8,32500.0,19.31,172.27,65.0,,,,,,,,,,,1.54,185.0
Ames-TP1-4233_16_2,53.58441558441559,73.10822510822511,61.41125541125541,0.04781143006434683,-0.0034968703360703695,0.0055252975381937025,Ames-TP1-4233,16,2,,,,,,,,,,,,,,,,
Ames-TP1-4233_23_5,58.74891774891775,81.51948051948052,66.19047619047619,0.056264557289263835,-0.048390012798571844,0.0012720277874595435,Ames-TP1-4233,23,5,29000.0,17.69,147.77,58.0,,,,,,,,,,,6.9,227.0
Ames-TP1-4232_3_20,54.31404958677686,72.01652892561984,60.96694214876033,0.04348334554481631,-0.014828685053714949,0.025403947148260077,Ames-TP1-4232,3,20,34000.0,9.14,91.06,68.0,,,,,,,,,,,0.0,179.0
Ames-TP1-4233_2_12,56.19834710743802,68.28099173553719,60.99173553719008,0.029603925312117137,-0.003487664327123785,-0.055588981290968335,Ames-TP1-4233,2,12,,,,,,,,,,,,,,,,
Ames-TP1-4233_21_8,56.532467532467535,78.83116883116882,64.66666666666667,0.05484648937644902,-0.025141689050790214,-0.03706610589990854,Ames-TP1-4233,21,8,33500.0,16.78,146.7,67.0,,,,,,,,,,,1.49,186.0
Ames-TP1-4233_4_2,53.246753246753244,69.12987012987013,59.82683982683983,0.03883247527005892,0.0027439393196719815,-0.01652078959473538,Ames-TP1-4233,4,2,,,,,,,,,,,,,,,,
Ames-TP1-4232_23_18,54.268398268398265,68.15151515151516,60.61038961038961,0.03376689675768336,0.017909240450539432,0.001343158529908582,Ames-TP1-4232,23,18,25000.0,14.59,135.23,50.0,,,,,,,,,,,0.0,189.0
Ames-TP1-4233_2_7,56.23376623376623,70.76623376623377,62.14718614718615,0.03556217770677943,-0.00030322235535214844,-0.018909040059646755,Ames-TP1-4233,2,7,,,,,,,,,,,,,,,,
Ames-TP1-4232_23_21,52.95238095238095,67.77489177489177,58.82683982683983,0.0363186761835639,-0.004433003633802434,-0.01857703466438391,Ames-TP1-4232,23,21,24500.0,12.24,107.39,49.0,,,,,,,,,,,0.0,198.0
Ames-TP1-4231_2_4,55.22077922077922,71.52380952380952,62.7965367965368,0.03961447273882565,0.02440166942469499,-0.057705453327233855,Ames-TP1-4231,2,4,33500.0,12.06,105.31,67.0,,,,,,,,,,,0.0,206.0
Ames-TP1-4232_10_20,53.86147186147186,66.91341991341992,59.81385281385281,0.03174825907450662,0.016576407467718917,-0.013906939150636633,Ames-TP1-4232,10,20,25500.0,14.97,138.75,51.0,,,,,,,,,,,1.96,201.0
Ames-TP1-4233_19_3,51.36776859504132,70.62396694214875,58.570247933884296,0.04731003111855484,-0.017031906165423348,0.02426345365876289,Ames-TP1-4233,19,3,31500.0,10.36,76.95,63.0,,,,,,,,,,,0.0,199.0
Ames-TP1-4232_16_20,47.98809523809524,61.62698412698413,53.44444444444444,0.033403341837017965,-0.0027397467740244747,0.020950651353783836,Ames-TP1-4232,16,20,28000.0,16.01,140.47,56.0,,,,,,,,,,,0.0,179.0
Ames-TP1-4233_5_8,48.19318181818182,66.00378787878788,55.06060606060606,0.04369716830763458,-0.010351247303040451,0.01899041250333296,Ames-TP1-4233,5,8,31500.0,13.19,106.29,63.0,,,,,,,,,,,6.35,217.0
Ames-TP1-4233_17_2,53.18614718614719,69.06926406926407,59.66233766233766,0.038863407931373,1.4727207338916872e-05,0.0428549139464337,Ames-TP1-4233,17,2,,,,,,,,,,,,,,,,
Ames-TP1-4231_4_2,60.27272727272727,72.33766233766234,64.58008658008659,0.02970314695579306,-0.016065334123580056,-0.017894960048905412,Ames-TP1-4231,4,2,29000.0,13.57,107.93,58.0,,,,,,,,,,,0.0,220.0
Ames-TP1-4233_12_3,58.84415584415584,75.9047619047619,65.33333333333333,0.04188360782977356,-0.012254880566389785,0.02275385620243263,Ames-TP1-4233,12,3,30000.0,12.61,103.34,60.0,,,,,,,,,,,1.67,232.0
Ames-TP1-4233_10_7,55.04329004329004,68.58441558441558,61.484848484848484,0.03285893953077158,0.024187419155252247,-0.01423729841796695,Ames-TP1-4233,10,7,23000.0,15.62,137.71,46.0,,,,,,,,,,,4.35,189.0
Ames-TP1-4233_3_2,50.273809523809526,66.02380952380952,56.75396825396825,0.03852035131271796,0.0015446328304573737,0.020459903454488483,Ames-TP1-4233,3,2,,,,,,,,,,,,,,,,
Ames-TP1-4231_17_6,53.053719008264466,68.10330578512396,59.59090909090909,0.036704547242222926,0.010544106925085247,-0.036710111814445966,Ames-TP1-4231,17,6,34000.0,14.27,130.76,68.0,,,,,,,,,,,4.41,211.0
Ames-TP1-4232_4_20,53.65367965367965,70.78354978354979,60.38528138528139,0.04198931788363274,-0.0066285283408160185,0.0019617254720926845,Ames-TP1-4232,4,20,34500.0,15.43,138.47,69.0,,,,,,,,,,,0.0,199.0
Ames-TP1-4233_24_6,50.714285714285715,66.62337662337663,58.103896103896105,0.03865816563283365,0.023730871847894876,-0.05483867656993256,Ames-TP1-4233,24,6,26000.0,15.96,134.83,52.0,,,,,,,,,,,0.0,183.0
Ames-TP1-4233_4_9,54.93073593073593,72.18181818181819,61.5974025974026,0.042319951758240146,-0.009632452308294275,0.001637438123910206,Ames-TP1-4233,4,9,31000.0,18.78,152.13,62.0,,,,,,,,,,,1.61,191.0
Ames-TP1-4232_19_18,52.00396825396825,68.89682539682539,59.17063492063492,0.041251082806150925,0.007338426317095809,0.021906192317400652,Ames-TP1-4232,19,18,37500.0,19.25,169.91,75.0,,,,,,,,,,,0.0,236.0
Ames-TP1-4231_6_6,53.38528138528139,68.51515151515152,60.246753246753244,0.03681418619576974,0.01820273235456228,0.0013544771230981295,Ames-TP1-4231,6,6,31500.0,10.79,100.8,63.0,,,,,,,,,,,0.0,185.0
Ames-TP1-4233_18_11,50.23809523809524,67.96536796536796,57.85281385281385,0.04326065928594434,0.010171668798890957,-0.0012098899908943082,Ames-TP1-4233,18,11,,,,,,,,,,,,,,,,
Ames-TP1-4232_17_20,46.43181818181818,62.54545454545455,53.333333333333336,0.03932880507013574,0.00871860498310567,-0.01822119506515335,Ames-TP1-4232,17,20,34000.0,18.46,166.82,68.0,,,,,,,,,,,1.47,239.0
Ames-TP1-4232_13_18,44.86742424242424,57.24242424242424,51.43181818181818,0.02982748608712789,0.03990320008025433,0.0428558526577937,Ames-TP1-4232,13,18,36000.0,21.86,188.35,72.0,,,,,,,,,,,0.0,219.0
