file_,Green_mean,Red_mean,NGRDI_mean,location,Green_mean_sat,Red_mean_sat,NGRDI_mean_sat
Crawfordsville-TP1-4352_7_3,131.56182769704446,96.22018078929962,-0.1509638476151681,Crawfordsville,534.6904761904761,352.1857142857143,-0.2282083202432548
Crawfordsville-TP1-4352_7_4,131.41342159867142,91.54490294520365,-0.1755835391886343,Crawfordsville,534.4333333333333,336.7333333333333,-0.2476409851279447
Crawfordsville-TP1-4352_7_5,119.0455568075476,81.87503294436699,-0.1776404396908878,Crawfordsville,502.9380952380952,320.8857142857143,-0.2378005001266554
Crawfordsville-TP1-4352_7_6,112.17357824657094,75.60134373794436,-0.1843892478258325,Crawfordsville,480.3857142857143,309.6714285714286,-0.2310777436504538
Crawfordsville-TP1-4352_7_7,115.04081968027576,76.64748550616633,-0.1963536226466611,Crawfordsville,491.2857142857143,310.43333333333334,-0.2539995785983012
Crawfordsville-TP1-4352_7_8,113.89444594751284,76.33221118540564,-0.1903495482308227,Crawfordsville,501.6904761904762,323.6523809523809,-0.2377403968118121
Crawfordsville-TP1-4352_7_9,115.14572726817256,75.46073742345001,-0.2076096357443876,Crawfordsville,496.8224299065421,314.70093457943926,-0.2477901465130652
Crawfordsville-TP1-4352_8_2,104.80861387509036,68.44158220937207,-0.2090262224562458,Crawfordsville,449.8866995073892,286.01477832512313,-0.2400250830815161
Crawfordsville-TP1-4352_8_3,110.0332971754704,74.48031185198529,-0.1898697622411531,Crawfordsville,492.8133971291866,309.9138755980861,-0.2499630515176248
Crawfordsville-TP1-4352_8_4,136.155804366987,92.12403536389634,-0.1976527045054621,Crawfordsville,575.0673076923077,369.90865384615387,-0.2327824760412375
Crawfordsville-TP1-4352_8_5,135.81219661587934,102.48503177398362,-0.1349106198498884,Crawfordsville,601.955,423.285,-0.1882561846728187
Crawfordsville-TP1-4352_8_6,131.3934266301437,98.61251090333144,-0.1346827609638887,Crawfordsville,552.76,388.49,-0.1851724531519299
Crawfordsville-TP1-4352_8_7,116.59834707581642,81.55971379923858,-0.1736617099174781,Crawfordsville,507.335,337.005,-0.2216588908880758
Crawfordsville-TP1-4352_8_8,126.08479105460344,87.89367330358209,-0.1769061663276621,Crawfordsville,542.46,342.985,-0.2379395823649885
