file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Scottsbluff-TP4-n75_18_4,0.15031029773400992,0.13251172428836294,23.749027041973566,-0.15031029773400992,-0.13251172428836294,-23.749027041973566,69.31645569620254,69.0,10952,90.78481012658229,92.0,14344,65.84810126582279,67.0,10404,0.1546289244635571,0.1444922956000589,24.431370065242028,Scottsbluff-TP4-n75,18,4,,15.19,98.94,,78.0,1483.45,83.0,1596.86,7.58,72.7,5.9,4.32,0.82,1.13,,185.0,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_18_5,0.17972497964469086,0.14843304843304844,27.67764686528239,-0.17972497964469086,-0.14843304843304844,-27.67764686528239,66.1038961038961,71.0,10180,91.16883116883118,95.0,14040,64.52597402597402,68.0,9937,0.1738519349743071,0.1597633136094674,26.773197986043304,Scottsbluff-TP4-n75,18,5,,,,,81.0,1552.11,85.0,1646.06,8.55,71.02,6.9,3.6,2.03,1.31,,160.0,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_18_6,0.13094087339493254,0.10526315789473684,20.819598869794273,-0.13094087339493254,-0.10526315789473684,-20.819598869794273,68.45911949685535,71.0,10885,86.48427672955975,89.0,13751,65.30188679245283,67.0,10383,0.1347179445791156,0.1225806451612903,21.4201531880794,Scottsbluff-TP4-n75,18,6,,15.72,111.39,,65.0,1198.11,69.0,1286.36,8.14,71.55,8.15,4.21,1.3,1.24,,150.0,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_18_7,0.16492626419848247,0.14455309658603535,26.05834974336023,-0.16492626419848247,-0.14455309658603535,-26.05834974336023,69.83544303797468,74.0,11034,93.89240506329114,101.0,14835,66.13291139240506,69.0,10449,0.1696663818000083,0.1622021677887599,26.807288324401323,Scottsbluff-TP4-n75,18,7,,12.09,82.6,,75.0,1414.31,79.0,1509.4,6.84,71.21,7.73,4.07,1.7,1.05,,163.0,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_18_8,0.1455706066463811,0.1329479768786127,23.145726456774597,-0.1455706066463811,-0.1329479768786127,-23.145726456774597,70.16352201257861,72.0,11156,92.33962264150944,93.0,14682,68.35849056603773,69.0,10869,0.1475986919709371,0.1428571428571428,23.468192023379007,Scottsbluff-TP4-n75,18,8,,,,,,,,,,,,,,,,,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_19_2,0.10799158906899893,0.08134406527371961,17.062671072901832,-0.10799158906899893,-0.08134406527371961,-17.062671072901832,72.5632911392405,75.5,11465,86.89240506329114,88.0,13729,67.25316455696202,68.0,10626,0.1185390287201183,0.1042944785276073,18.729166537778696,Scottsbluff-TP4-n75,19,2,,10.46,70.78,,78.0,1483.45,82.0,1573.4,8.09,71.48,8.34,4.16,1.27,1.11,,168.0,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_19_3,0.13998923725751108,0.11229946524064172,22.11829948668675,-0.13998923725751108,-0.11229946524064172,-22.11829948668675,76.23417721518987,82.0,12045,97.51898734177216,102.0,15408,69.20253164556962,72.0,10934,0.1560800465675595,0.1391699443916994,24.660647357674407,Scottsbluff-TP4-n75,19,3,,18.33,121.64,,77.0,1459.11,81.0,1552.11,8.14,72.97,6.87,3.97,0.41,1.13,,152.0,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_19_4,0.15094843389092774,0.1122565864833906,23.246058819202872,-0.15094843389092774,-0.1122565864833906,-23.246058819202872,69.54545454545455,76.0,10710,88.78571428571429,92.0,13673,67.00649350649351,70.0,10319,0.1451787240266837,0.1275964391691394,22.35752350010929,Scottsbluff-TP4-n75,19,4,,11.5,80.83,,76.0,1437.65,81.0,1552.11,7.43,72.52,6.64,4.34,1.61,1.42,,185.0,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_19_5,0.1526552241941683,0.12087912087912088,24.27218064687276,-0.1526552241941683,-0.12087912087912088,-24.27218064687276,68.17610062893081,72.0,10840,89.23270440251572,92.0,14188,65.77358490566037,68.0,10458,0.1521851020741887,0.1358024691358024,24.197431229796003,Scottsbluff-TP4-n75,19,5,,7.46,51.28,,82.0,1573.4,86.0,1669.36,8.47,71.96,6.99,4.05,1.71,1.35,,175.0,Scottsbluff,TP4,n75
Scottsbluff-TP4-n75_19_6,0.16035326019079577,0.13013146362839614,25.01510858976414,-0.16035326019079577,-0.13013146362839614,-25.01510858976414,67.47435897435898,69.0,10526,89.85897435897436,90.0,14018,65.37820512820512,67.0,10199,0.1597637055967553,0.1428571428571428,24.92313807309384,Scottsbluff-TP4-n75,19,6,,13.89,94.33,,65.0,1198.11,69.0,1286.36,7.49,71.44,8.89,3.82,1.12,1.16,,145.0,Scottsbluff,TP4,n75
