file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp,genotype
Crawfordsville-TP3-4351_12_18,0.0871071629656669,0.0837227414330218,12.543431467056047,-0.0871071629656669,-0.0837227414330218,-12.543431467056047,61.47916666666666,61.0,8853,72.95833333333333,74.0,10506,65.70138888888889,66.0,9461,0.0697170428599541,0.0676987094615239,10.039254171833395,Crawfordsville-TP3-4351,12,18,,,,,,,,,,,,,,,,,Crawfordsville,TP3,4351,
Crawfordsville-TP3-4351_12_19,0.1025775602238539,0.1017964071856287,14.77116867223497,-0.1025775602238539,-0.1017964071856287,-14.77116867223497,72.80555555555556,73.0,10484,89.11111111111111,90.0,12832,76.63194444444444,77.0,11035,0.0888744503382455,0.0882192539755365,12.797920848707353,Crawfordsville-TP3-4351,12,19,30000.0,18.08,166.24,60.0,,,,,,,,,,,0.0,228.0,Crawfordsville,TP3,4351,PHB47 X LH185
Crawfordsville-TP3-4351_12_20,0.0979404402782312,0.0925133689839572,14.103423400065298,-0.0979404402782312,-0.0925133689839572,-14.103423400065298,81.11111111111111,83.0,11680,97.85416666666669,101.0,14091,81.22222222222223,83.0,11696,0.0962076508500625,0.096291613990729,13.853901722409002,Crawfordsville-TP3-4351,12,20,31000.0,12.45,118.67,62.0,,,,,,,,,,,0.0,251.0,Crawfordsville,TP3,4351,WF9 X H95
Crawfordsville-TP3-4351_13_13,0.103036451173102,0.1037241379310344,14.8372489689267,-0.103036451173102,-0.1037241379310344,-14.8372489689267,67.70833333333333,68.5,9750,82.65277777777777,83.0,11902,70.84027777777777,71.5,10201,0.0901865885514586,0.0885245901639344,12.98686875141005,Crawfordsville-TP3-4351,13,13,30000.0,14.39,135.49,60.0,,,,,,,,,,,0.0,200.0,Crawfordsville,TP3,4351,LH185 X LH145
Crawfordsville-TP3-4351_13_14,0.0948696438285812,0.0922711189739053,13.661228711315694,-0.0948696438285812,-0.0922711189739053,-13.661228711315694,70.60416666666667,70.5,10167,85.10416666666667,86.0,12255,72.72916666666667,73.0,10473,0.0866800864249264,0.087248322147651,12.481932445189416,Crawfordsville-TP3-4351,13,14,32500.0,19.09,175.93,65.0,,,,,,,,,,,0.0,235.0,Crawfordsville,TP3,4351,PHK56 X 3IIH6
Crawfordsville-TP3-4351_13_15,0.1016043482297365,0.1012658227848101,14.63102614508206,-0.1016043482297365,-0.1012658227848101,-14.63102614508206,72.40972222222223,73.0,10427,88.27083333333333,89.0,12711,74.95138888888889,75.0,10793,0.0918766379133222,0.0909090909090909,13.230235859518409,Crawfordsville-TP3-4351,13,15,28500.0,18.29,166.25,57.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP3,4351,PHK56 X LH185
Crawfordsville-TP3-4351_13_16,0.0928652432530786,0.0909090909090909,13.37259502844332,-0.0928652432530786,-0.0909090909090909,-13.37259502844332,67.23611111111111,69.0,9682,80.58333333333333,81.0,11604,71.29861111111111,71.0,10267,0.077062263248411,0.0775333241086665,11.09696590777119,Crawfordsville-TP3-4351,13,16,32000.0,22.83,205.12,64.0,,,,,,,,,,,3.12,231.0,Crawfordsville,TP3,4351,HOEGEMEYER 8065RR
Crawfordsville-TP3-4351_13_17,0.0949419277087748,0.0955414012738853,13.671637590063582,-0.0949419277087748,-0.0955414012738853,-13.671637590063582,66.47916666666667,68.0,9573,79.94444444444444,81.0,11512,69.48611111111111,69.0,10006,0.0829085082126487,0.0833222655542542,11.93882518262142,Crawfordsville-TP3-4351,13,17,32000.0,20.41,186.59,64.0,,,,,,,,,,,0.0,226.0,Crawfordsville,TP3,4351,SYNGENTA NK0760-3111
Crawfordsville-TP3-4351_13_18,0.089609229010264,0.0909090909090909,12.903728977478025,-0.089609229010264,-0.0909090909090909,-12.903728977478025,70.04861111111111,69.5,10087,83.34722222222223,83.5,12002,71.25,71.0,10260,0.0842221844816055,0.0849758748821474,12.127994565351202,Crawfordsville-TP3-4351,13,18,28500.0,18.18,167.55,57.0,,,,,,,,,,,17.54,250.0,Crawfordsville,TP3,4351,B84 X 3IIH6
Crawfordsville-TP3-4351_13_19,0.0981164578618153,0.0980392156862745,14.128769932101404,-0.0981164578618153,-0.0980392156862745,-14.128769932101404,73.28472222222223,75.0,10553,88.79861111111111,90.0,12787,75.74305555555556,77.0,10907,0.088897330972329,0.0888252148997134,12.801215660015378,Crawfordsville-TP3-4351,13,19,30000.0,9.43,93.85,60.0,,,,,,,,,,,0.0,276.0,Crawfordsville,TP3,4351,PHZ51 X LH145
Crawfordsville-TP3-4351_13_20,0.099342745354529,0.1030061892130857,14.305355331052183,-0.099342745354529,-0.1030061892130857,-14.305355331052183,74.88888888888889,75.0,10784,90.70138888888889,92.0,13061,75.91666666666667,77.0,10932,0.0946441273512685,0.0947833308168503,13.628754338582675,Crawfordsville-TP3-4351,13,20,30000.0,10.86,107.28,60.0,,,,,,,,,,,8.33,264.0,Crawfordsville,TP3,4351,B37 X H95
Crawfordsville-TP3-4351_14_13,0.091722009921523,0.0914315569487983,13.207969428699318,-0.091722009921523,-0.0914315569487983,-13.207969428699318,78.22916666666667,78.0,11265,93.72916666666669,95.0,13497,78.8125,80.0,11349,0.0892926524818213,0.0888888888888888,12.858141957382278,Crawfordsville-TP3-4351,14,13,30500.0,14.49,136.89,61.0,,,,,,,,,,,0.0,222.0,Crawfordsville,TP3,4351,PHP02 X LH145
Crawfordsville-TP3-4351_14_14,0.091005807730961,0.0909090909090909,13.104836313258383,-0.091005807730961,-0.0909090909090909,-13.104836313258383,75.40277777777777,75.0,10858,90.11111111111111,90.0,12976,76.20138888888889,77.0,10973,0.0876094376763656,0.0886850152905198,12.615759025396647,Crawfordsville-TP3-4351,14,14,29500.0,16.7,154.43,59.0,,,,,,,,,,,0.0,217.0,Crawfordsville,TP3,4351,PHK76 X 3IIH6
Crawfordsville-TP3-4351_14_15,0.0828137423942119,0.0830200501253132,11.925178904766527,-0.0828137423942119,-0.0830200501253132,-11.925178904766527,72.81944444444444,73.0,10486,85.57638888888889,86.0,12323,74.08333333333333,75.0,10668,0.0775421417511462,0.0781459919390953,11.16606841216506,Crawfordsville-TP3-4351,14,15,29000.0,17.09,154.26,58.0,,,,,,,,,,,0.0,203.0,Crawfordsville,TP3,4351,PHP02 X PHN46
