file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Lincoln-TP2-hybrids_8_14,99.66587149898687,93.0,20806347,119.86285752607048,117.0,25022690,80.5064499595231,74.0,16806607,0.1600738915303743,0.1557223264540337,33417.18566977247,-0.1065884377453508,-0.1034482758620689,-22251.50885215718,0.1065884377453508,0.1034482758620689,22251.50885215718,Lincoln-TP2-hybrids,8,14,hybrids,,,,,,,,,,,,,,,,,
Lincoln-TP2-hybrids_8_15,132.394550131983,131.0,27635906,148.7643947705029,151.0,31052931,110.8337253699596,108.0,23135321,0.1102675839098391,0.1039697542533081,23017.14519775592,-0.0661333088457762,-0.06,-13804.60075515848,0.0661333088457762,0.06,13804.60075515848,Lincoln-TP2-hybrids,8,15,hybrids,,10.15,91.51,,62.0,1422.27,62.0,1422.27,4.93,68.02,9.05,3.58,1.11,1.11,,164.0,2369 X PHN82
Lincoln-TP2-hybrids_8_16,128.5072034649457,129.0,26821895,151.19324067286638,154.0,31556902,108.51330736540515,108.0,22648789,0.1293514836997027,0.1266766020864381,26998.11232631826,-0.0867971298074984,-0.0866510538641686,-18116.21013629126,0.0867971298074984,0.0866510538641686,18116.21013629126,Lincoln-TP2-hybrids,8,16,hybrids,,6.29,57.37,,58.0,1320.57,64.0,1479.48,4.77,65.1,12.36,4.09,1.7,1.13,,170.0,PHK56 X LH198
Lincoln-TP2-hybrids_8_17,110.92711956990485,110.0,23150268,137.0342504480158,140.0,28598774,88.91871987273477,85.0,18557159,0.1686160084645872,0.1666666666666666,35189.82373454242,-0.1142129448460312,-0.1137254901960784,-23836.013163477037,0.1142129448460312,0.1137254901960784,23836.013163477037,Lincoln-TP2-hybrids,8,17,hybrids,,8.15,74.51,,58.0,1320.57,62.0,1422.27,5.0,67.63,8.71,3.53,1.01,1.09,,157.0,LH185 X LH82
Lincoln-TP2-hybrids_8_18,121.00455246839628,122.0,25250988,145.82482580818294,150.0,30430433,104.5149368884118,104.0,21809968,0.1366162697174015,0.1363636363636363,28508.80993208792,-0.0999187226222905,-0.1020408163265306,-20850.83919937433,0.0999187226222905,0.1020408163265306,20850.83919937433,Lincoln-TP2-hybrids,8,18,hybrids,,7.73,70.75,,57.0,1295.5,62.0,1422.27,5.16,68.88,11.8,4.14,0.92,0.93,,171.0,PHK76 X LH145
Lincoln-TP2-hybrids_8_19,107.8497505666761,107.0,22505331,136.73332918010476,140.0,28532554,86.60678669497251,84.0,18072498,0.1797116974293634,0.1789473684210526,37500.97903767756,-0.1262467047745143,-0.1262798634812286,-26344.27862541224,0.1262467047745143,0.1262798634812286,26344.27862541224,Lincoln-TP2-hybrids,8,19,hybrids,,10.4,95.41,,54.0,1209.83,56.0,1268.08,5.24,68.13,10.28,3.9,1.2,1.2,,143.0,PHJ40 X LH82
Lincoln-TP2-hybrids_8_2,91.37111335441617,88.0,19098116,116.2123320112718,116.0,24290353,72.39762315983867,68.0,15132334,0.1872681046879519,0.1870324189526184,39142.217437561645,-0.1308006572781307,-0.1323529411764706,-27339.56098230305,0.1308006572781307,0.1323529411764706,27339.56098230305,Lincoln-TP2-hybrids,8,2,hybrids,,10.76,98.82,,59.0,1346.07,58.0,1320.57,4.51,68.79,8.84,3.69,1.47,1.24,,180.0,PIONEER P0589 AMXT
Lincoln-TP2-hybrids_8_20,144.67901666530864,147.0,30185396,156.66444111063714,162.0,32685999,120.82554868024368,121.0,25208680,0.0895547508857537,0.0816,18684.43456055101,-0.0447782337066439,-0.035230352303523,-9342.396345853074,0.0447782337066439,0.035230352303523,9342.396345853074,Lincoln-TP2-hybrids,8,20,hybrids,,4.62,41.8,,61.0,1395.88,67.0,1550.01,4.9,65.47,11.78,4.03,1.46,1.26,,157.0,B73 X PHN82
Lincoln-TP2-hybrids_8_21,144.9771557055603,145.0,30240205,158.35000910895266,163.0,33029595,118.67418235164392,117.0,24753773,0.1000253243192195,0.0919881305637982,20863.88229844872,-0.0501282366483206,-0.0395136778115501,-10456.048369526616,0.0501282366483206,0.0395136778115501,10456.048369526616,Lincoln-TP2-hybrids,8,21,hybrids,,2.31,20.78,,61.0,1395.88,64.0,1479.48,4.25,69.32,10.52,4.05,0.75,1.01,,149.0,PHK56 X PHJ89
Lincoln-TP2-hybrids_8_22,105.35569308354586,103.0,21977619,131.70521658261586,131.0,27474235,84.13808460048705,80.0,17551541,0.1753821806591838,0.1711340206185567,36585.42441422838,-0.119524330679093,-0.1184210526315789,-24933.253476981525,0.119524330679093,0.1184210526315789,24933.253476981525,Lincoln-TP2-hybrids,8,22,hybrids,,9.78,89.93,,61.0,1395.88,62.0,1422.27,5.21,68.05,9.23,4.25,2.52,1.56,,183.0,SYNGENTA NK0760-3111
Lincoln-TP2-hybrids_8_24,108.46884184786518,107.0,22622804,132.86284851245415,133.0,27710540,86.5507347829214,84.0,18051454,0.1642245863625279,0.1607142857142857,34251.50085470063,-0.1092621425119773,-0.1081081081081081,-22788.25875301055,0.1092621425119773,0.1081081081081081,22788.25875301055,Lincoln-TP2-hybrids,8,24,hybrids,,9.36,86.26,,61.0,1395.88,62.0,1422.27,4.71,70.89,8.29,4.15,2.13,1.48,,190.0,SYNGENTA NK0760-3111
Lincoln-TP2-hybrids_8_25,116.31741000570632,113.0,24256949,137.82914630696123,137.0,28743028,91.69568574045392,88.0,19122310,0.1507556798683329,0.1473684210526315,31438.74023542202,-0.0925287705167329,-0.0902527075812274,-19296.04233233,0.0925287705167329,0.0902527075812274,19296.04233233,Lincoln-TP2-hybrids,8,25,hybrids,,7.7,71.29,,61.0,1395.88,62.0,1422.27,5.36,71.03,9.15,4.15,2.32,1.52,,162.0,SYNGENTA NK0760-3111
Lincoln-TP2-hybrids_8_26,122.12982397237278,122.0,25462847,145.88375941292148,149.0,30415305,94.42441843733512,92.0,19686547,0.1568449101246073,0.1545623836126629,32700.59531187939,-0.0948021290345121,-0.093484419263456,-19765.29588240544,0.0948021290345121,0.093484419263456,19765.29588240544,Lincoln-TP2-hybrids,8,26,hybrids,,5.85,53.91,,57.0,1295.5,62.0,1422.27,5.81,67.78,8.41,4.33,0.83,1.12,,140.0,PHK56 X LH82
Lincoln-TP2-hybrids_8_27,110.2511102798001,109.0,22988018,134.95642811238045,137.0,28139225,87.62040420899159,86.0,18269380,0.167312612635102,0.1607515657620041,34885.68361009459,-0.1125423537783205,-0.1089426250317339,-23465.756016902516,0.1125423537783205,0.1089426250317339,23465.756016902516,Lincoln-TP2-hybrids,8,27,hybrids,,,,,,,,,,,,,,,,,
Lincoln-TP2-hybrids_8_28,120.63911570826816,122.0,25145776,147.13124766117502,150.0,30667743,100.45645227837534,100.0,20938942,0.1497733707576106,0.1474747474747474,31218.461853974844,-0.1041099809163935,-0.1034482758620689,-21700.476202251248,0.1041099809163935,0.1034482758620689,21700.476202251248,Lincoln-TP2-hybrids,8,28,hybrids,,5.29,48.92,,55.0,1238.89,58.0,1320.57,5.22,66.1,11.3,4.31,1.06,1.2,,180.0,PHP02 X PHK76
Lincoln-TP2-hybrids_8_29,139.87600689757863,139.0,29120646,157.07914923458972,158.0,32702151,116.02547685036193,114.0,24155228,0.1103293573950918,0.1049382716049382,22969.35858672677,-0.0636514265045151,-0.0585106382978723,-13251.526832548498,0.0636514265045151,0.0585106382978723,13251.526832548498,Lincoln-TP2-hybrids,8,29,hybrids,,1.24,11.6,,63.0,1451.51,63.0,1451.51,4.97,67.39,12.92,4.52,1.2,0.96,,199.0,2369 X LH123HT
Lincoln-TP2-hybrids_8_3,106.16811495726904,105.0,22187225,131.47170569714137,133.0,27475220,88.07347522753156,86.0,18405771,0.1653956090311535,0.1605633802816901,34564.70516654852,-0.1190125696061157,-0.1162790697674418,-24871.48482142529,0.1190125696061157,0.1162790697674418,24871.48482142529,Lincoln-TP2-hybrids,8,3,hybrids,,7.62,70.15,,58.0,1320.57,60.0,1370.73,4.91,71.37,10.14,4.22,0.61,0.99,,182.0,PHW52 X PHN82
