file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
MOValley-TP3-Hybrids_23_34,77.61430739101836,74.0,20767105,102.32944896250672,100.0,27380086,58.59889074926748,52.0,15679188,0.2012306095080452,0.2018779342723004,53842.87172484866,-0.1297739480262569,-0.1389645776566757,-34723.35572548953,0.1297739480262569,0.1389645776566757,34723.35572548953,MOValley-TP3-Hybrids,23,34,Hybrids,32000.0,18.88,177.17,64.0,,,,,4.92,71.82,7.94,3.89,1.9,1.34,3.12,182.0,SYNGENTA NK0760-3111
MOValley-TP3-Hybrids_23_35,75.98490418167229,73.0,20360535,99.88767516933814,98.0,26765402,57.9786232762964,52.0,15535662,0.1947711425726859,0.1957671957671957,52189.90150806405,-0.1265117982503248,-0.1353711790393013,-33899.468900165804,0.1265117982503248,0.1353711790393013,33899.468900165804,MOValley-TP3-Hybrids,23,35,Hybrids,25500.0,20.64,194.13,51.0,,,,,4.15,69.47,7.24,4.04,0.98,1.12,3.92,190.0,HOEGEMEYER 7089 AMXT
MOValley-TP3-Hybrids_23_36,83.09264851346559,79.0,22260936,100.75746253336072,98.0,26993428,60.56761911871745,54.0,16226368,0.1641143227283189,0.1644042232277526,43967.04763053029,-0.0851354797087756,-0.0933333333333333,-22808.220691379534,0.0851354797087756,0.0933333333333333,22808.220691379534,MOValley-TP3-Hybrids,23,36,Hybrids,27500.0,15.79,149.17,55.0,,,,,4.9,67.89,8.17,4.28,0.73,1.07,7.27,177.0,PHK76 X 3IIH6
MOValley-TP3-Hybrids_23_37,92.85656527982395,91.0,24896238,107.96275478805735,106.0,28946434,67.37211271282845,62.0,18063474,0.1422874215508652,0.1444600280504908,38149.39202911023,-0.0578181762762336,-0.0685920577617328,-15501.920332302374,0.0578181762762336,0.0685920577617328,15501.920332302374,MOValley-TP3-Hybrids,23,37,Hybrids,25000.0,14.24,135.58,50.0,,,,,5.21,70.11,9.47,4.43,0.64,0.92,4.0,201.0,PHK76 X LH145
MOValley-TP3-Hybrids_23_38,83.73170031290442,83.0,22451232,105.14995543256518,105.0,28194173,64.77104272879504,61.0,17367254,0.1694139493304269,0.1710323574730354,45425.47047581535,-0.1040869523064939,-0.113573407202216,-27909.146782797143,0.1040869523064939,0.113573407202216,27909.146782797143,MOValley-TP3-Hybrids,23,38,Hybrids,26000.0,19.24,181.57,52.0,,,,,5.29,69.47,8.06,3.14,0.86,0.93,1.92,209.0,PHN46 X PHB47
MOValley-TP3-Hybrids_23_39,77.78657238811255,73.0,20868815,98.56895144306571,95.0,26444374,59.58364115504896,53.0,15985278,0.1764820781207501,0.1794871794871795,47347.14136446921,-0.1074252335504686,-0.1189710610932476,-28820.36393262038,0.1074252335504686,0.1189710610932476,28820.36393262038,MOValley-TP3-Hybrids,23,39,Hybrids,25000.0,17.66,166.65,50.0,,,,,5.72,71.88,8.22,4.05,1.26,1.27,4.0,172.0,PHN46 X PHK56
MOValley-TP3-Hybrids_23_4,81.87246176868594,76.0,21720191,94.3815404100372,88.0,25038762,60.6075207412182,52.0,16078751,0.130783448114048,0.1329479768786127,34695.93330052015,-0.056931111861023,-0.0636704119850187,-15103.4254589464,0.056931111861023,0.0636704119850187,15103.4254589464,MOValley-TP3-Hybrids,23,4,Hybrids,23000.0,11.96,112.49,46.0,,,,,5.05,71.21,10.08,4.79,0.35,0.87,4.35,181.0,PHK76 X W606S
MOValley-TP3-Hybrids_23_40,85.74793693666805,84.0,22984563,106.76049438906465,107.0,28616937,66.09547916791023,62.0,17716761,0.1707191626852365,0.1705263157894737,45760.93011945227,-0.0984345781235943,-0.1083591331269349,-26385.19179687321,0.0984345781235943,0.1083591331269349,26385.19179687321,MOValley-TP3-Hybrids,23,40,Hybrids,26500.0,21.33,201.74,53.0,,,,,5.17,67.2,8.5,3.83,1.45,1.2,0.0,205.0,PHP02 X PHK56
MOValley-TP3-Hybrids_23_41,95.16033200967368,95.0,25497640,114.21123070492342,116.0,30602214,65.82793419520497,61.0,17638200,0.1766244314226537,0.1748998664886515,47325.45665311153,-0.0818424638173417,-0.0904392764857881,-21929.19712507381,0.0818424638173417,0.0904392764857881,21929.19712507381,MOValley-TP3-Hybrids,23,41,Hybrids,33000.0,17.85,168.07,66.0,,,,,5.37,66.57,10.65,4.14,1.13,1.27,1.52,173.0,PHP02 X LH82
MOValley-TP3-Hybrids_23_42,93.1058937075654,93.0,24985339,111.84401201398153,114.0,30013788,70.05375735036556,67.0,18799206,0.1562681751917147,0.1563981042654028,41935.18988539741,-0.0804128551987487,-0.0892857142857142,-21579.111344005018,0.0804128551987487,0.0892857142857142,21579.111344005018,MOValley-TP3-Hybrids,23,42,Hybrids,31000.0,17.46,165.5,62.0,,,,,5.09,69.1,8.1,4.19,0.43,1.02,1.61,210.0,PHK76 X LH198
MOValley-TP3-Hybrids_23_43,77.47334994654717,76.0,20798573,99.80717869634697,98.0,26794335,59.82175064534513,55.0,16059807,0.185262161510405,0.1860465116279069,49735.66514124485,-0.117326387511882,-0.1267605633802817,-31497.559317827352,0.117326387511882,0.1267605633802817,31497.559317827352,MOValley-TP3-Hybrids,23,43,Hybrids,29500.0,22.66,214.08,59.0,,,,,5.26,71.16,7.32,3.57,1.11,1.22,1.69,183.0,HOEGEMEYER 8065RR
MOValley-TP3-Hybrids_23_44,81.2534857593524,79.0,21841587,101.60231838338144,99.0,27311516,63.25396193565668,58.0,17003171,0.1670288983304635,0.1692307692307692,44898.70410241525,-0.1019851475207848,-0.1117824773413897,-27414.42353476714,0.1019851475207848,0.1117824773413897,27414.42353476714,MOValley-TP3-Hybrids,23,44,Hybrids,27000.0,16.67,157.49,54.0,,,,,5.47,68.05,9.21,3.93,1.21,1.0,1.85,193.0,PHK56 X PHJ89
MOValley-TP3-Hybrids_23_45,73.21963468620959,68.0,19682170,95.21917339384696,91.0,25595866,52.32674751683345,45.0,14065953,0.2008271687094595,0.2028639618138424,53984.35122078982,-0.1194208091845778,-0.1272727272727272,-32101.50771690636,0.1194208091845778,0.1272727272727272,32101.50771690636,MOValley-TP3-Hybrids,23,45,Hybrids,27000.0,18.62,176.11,54.0,,,,,5.4,72.19,7.23,3.74,1.39,1.19,0.0,206.0,PIONEER P0589 AMXT
MOValley-TP3-Hybrids_23_5,92.05769890810342,90.0,24407718,106.45594885624304,104.0,28225198,67.65386312633187,63.0,17937407,0.1377673504684387,0.1413043478260869,36526.94646644949,-0.055334621427317,-0.0689655172413793,-14671.144852131692,0.055334621427317,0.0689655172413793,14671.144852131692,MOValley-TP3-Hybrids,23,5,Hybrids,27500.0,14.71,138.66,55.0,,,,,5.12,68.59,9.93,3.93,1.19,1.16,1.82,197.0,LH74 X PHN82
MOValley-TP3-Hybrids_23_6,76.12275309255827,69.0,20208764,90.87183775557864,84.0,24124292,59.010381352739984,50.0,15665840,0.1439854207987548,0.1443850267379679,38224.67357197024,-0.0830496716988918,-0.0869565217391304,-22047.69464393501,0.0830496716988918,0.0869565217391304,22047.69464393501,MOValley-TP3-Hybrids,23,6,Hybrids,17500.0,13.58,127.44,35.0,,,,,5.17,72.23,9.39,3.95,0.41,0.91,8.57,201.0,PHN46 X W606S
MOValley-TP3-Hybrids_23_7,90.39901203121408,88.0,23991265,110.05850568779132,108.0,29208757,68.13730580686001,62.0,18083164,0.1647604647004243,0.1666666666666666,43726.274008239714,-0.0900170362655208,-0.1008403361344537,-23889.89130561537,0.0900170362655208,0.1008403361344537,23889.89130561537,MOValley-TP3-Hybrids,23,7,Hybrids,30000.0,16.6,155.25,60.0,,,,,6.03,69.57,10.74,4.08,2.35,1.62,0.0,205.0,SYNGENTA NK0760-3111
MOValley-TP3-Hybrids_23_8,95.44267719736784,91.0,25353011,103.325524401813,98.0,27446979,68.32927765814874,61.0,18150716,0.1124272895917686,0.1106639839034205,29864.73549799905,-0.0277774198221058,-0.0283018867924528,-7378.682691864921,0.0277774198221058,0.0283018867924528,7378.682691864921,MOValley-TP3-Hybrids,23,8,Hybrids,30000.0,9.89,92.91,60.0,,,,,5.28,69.96,9.31,4.46,1.29,1.37,60.0,168.0,B105 X 3IIH6
MOValley-TP3-Hybrids_23_9,118.06624382306858,117.0,31347060,121.71457303844764,122.0,32315706,80.0334985536941,75.0,21249214,0.0925262236054049,0.0967741935483871,24566.082472129438,0.007829593877555,-0.0091324200913242,2078.7884928663784,-0.007829593877555,0.0091324200913242,-2078.7884928663784,MOValley-TP3-Hybrids,23,9,Hybrids,30500.0,14.01,131.47,61.0,,,,,5.11,67.6,9.62,4.34,0.91,1.18,9.84,189.0,PHP02 X PHJ89
MOValley-TP3-Hybrids_25_10,87.01014220148973,84.0,23129036,106.29924761116546,105.0,28256466,66.58348130313746,61.0,17699221,0.1599436647370991,0.1598023064250411,42516.22496041568,-0.0917813405149712,-0.0980392156862745,-24397.315935689647,0.0917813405149712,0.0980392156862745,24397.315935689647,MOValley-TP3-Hybrids,25,10,Hybrids,20500.0,14.9,140.61,41.0,,,,,5.22,70.68,10.1,4.19,1.0,0.93,0.0,192.0,PHN46 X PHB47
MOValley-TP3-Hybrids_25_11,80.12590481275781,78.0,21308603,100.59924268347253,99.0,26753262,62.963356258390085,58.0,16744412,0.1674172345718614,0.1685393258426966,44522.77194480626,-0.1049486851626211,-0.1129032258064516,-27909.948383462317,0.1049486851626211,0.1129032258064516,27909.948383462317,MOValley-TP3-Hybrids,25,11,Hybrids,27500.0,18.83,176.51,55.0,,,,,5.22,69.13,9.49,3.82,1.36,1.18,5.45,204.0,HOEGEMEYER 8065RR
MOValley-TP3-Hybrids_25_12,76.2857449080899,72.0,20285295,97.38558244832878,93.0,25895995,60.81608577273685,54.0,16171727,0.1701491776840854,0.1729323308270676,45244.70813633053,-0.1120241825812546,-0.1214953271028037,-29788.574438546573,0.1120241825812546,0.1214953271028037,29788.574438546573,MOValley-TP3-Hybrids,25,12,Hybrids,25500.0,17.23,162.05,51.0,,,,,5.78,67.45,9.09,4.37,0.96,1.07,3.92,208.0,PHK56 X PHJ89
MOValley-TP3-Hybrids_25_13,56.36950436791296,50.0,14983127,76.92288620853117,69.0,20446257,44.09431832717587,35.0,11720358,0.2057168955427041,0.2048192771084337,54679.962269041855,-0.1433603178318129,-0.1496062992125984,-38105.459200331534,0.1433603178318129,0.1496062992125984,38105.459200331534,MOValley-TP3-Hybrids,25,13,Hybrids,,,,,,,,,5.03,68.86,8.5,3.93,0.85,1.19,,204.0,LH185 X LH145
MOValley-TP3-Hybrids_25_14,55.41390322435039,48.0,14731897,75.10383596888494,64.0,19966505,44.49790484931466,34.0,11829857,0.1973605303227918,0.1976047904191616,52468.691707374855,-0.141721054697094,-0.148025347104824,-37676.82583333185,0.141721054697094,0.148025347104824,37676.82583333185,MOValley-TP3-Hybrids,25,14,Hybrids,,,,,,,,,5.51,68.75,8.56,4.41,0.74,1.2,,184.0,LH185 X W606S
