time,location,model,image,r2,rep,Location,Date,Image
TP6,Scottsbluff,GB,Satellite,0.246923741752362,2,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,RF,Satellite,0.0762270749309335,3,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,PSLR,Satellite,0.123251360920594,3,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LR,Satellite,0.154287277305277,3,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LASSO,Satellite,,3,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,SVM,Satellite,0.120248557458002,3,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,GB,Satellite,0.0314326358523266,3,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,RF,Satellite,0.267255756339103,4,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,PSLR,Satellite,0.218243111520485,4,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LR,Satellite,0.153089797132342,4,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LASSO,Satellite,,4,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,SVM,Satellite,0.216757807163946,4,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,GB,Satellite,0.183439522303059,4,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,RF,Satellite,0.186322051336597,5,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,PSLR,Satellite,0.199568534141645,5,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LR,Satellite,0.184553866270168,5,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,LASSO,Satellite,,5,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,SVM,Satellite,0.199069022313983,5,Scottsbluff,2022-09-24,Satellite
TP6,Scottsbluff,GB,Satellite,0.148702274569959,5,Scottsbluff,2022-09-24,Satellite
TP5,Scottsbluff,RF,Satellite,0.101586601652587,1,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,PSLR,Satellite,0.138968519731154,1,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LR,Satellite,0.140907808039241,1,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LASSO,Satellite,,1,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,SVM,Satellite,0.136861382567869,1,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,GB,Satellite,0.100844757436561,1,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,RF,Satellite,0.3713613040715,2,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,PSLR,Satellite,0.376437526455617,2,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LR,Satellite,0.0883499691135183,2,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LASSO,Satellite,,2,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,SVM,Satellite,0.329374616493632,2,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,GB,Satellite,0.294495106608479,2,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,RF,Satellite,0.110910411753437,3,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,PSLR,Satellite,0.15161036341637,3,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LR,Satellite,0.130271636416732,3,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LASSO,Satellite,,3,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,SVM,Satellite,0.117014668946588,3,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,GB,Satellite,0.0600461040159034,3,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,RF,Satellite,0.242979659625945,4,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,PSLR,Satellite,0.268000979866376,4,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LR,Satellite,0.00229559959750344,4,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LASSO,Satellite,,4,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,SVM,Satellite,0.240261108107041,4,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,GB,Satellite,0.221318668159207,4,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,RF,Satellite,0.0987021105709377,5,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,PSLR,Satellite,0.180517004301068,5,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LR,Satellite,0.136602592859987,5,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,LASSO,Satellite,,5,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,SVM,Satellite,0.204318166073503,5,Scottsbluff,2022-09-09,Satellite
TP5,Scottsbluff,GB,Satellite,0.0361392295530567,5,Scottsbluff,2022-09-09,Satellite
TP3,Scottsbluff,RF,UAV,0.0843017389304253,1,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,PLSR,UAV,0.0688532133139718,1,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LR,UAV,0.00667976768078994,1,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LASSO,UAV,0.204451270508451,1,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,SVM,UAV,0.0717654757867101,1,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,GB,UAV,0.212797610328914,1,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,RF,UAV,0.288220262489498,2,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,PLSR,UAV,0.44924677506865,2,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LR,UAV,0.26552675528764,2,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LASSO,UAV,0.453567044706992,2,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,SVM,UAV,0.323080130532611,2,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,GB,UAV,0.311002209116101,2,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,RF,UAV,0.0823970261170894,3,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,PLSR,UAV,0.10048562432968,3,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LR,UAV,0.00901091887735902,3,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LASSO,UAV,0.151908512080315,3,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,SVM,UAV,0.12513485738359,3,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,GB,UAV,0.105808314470245,3,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,RF,UAV,0.130171759532738,4,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,PLSR,UAV,0.225439160923557,4,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LR,UAV,0.0804409033736336,4,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LASSO,UAV,0.192982867227693,4,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,SVM,UAV,0.104990836239625,4,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,GB,UAV,0.146028493578567,4,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,RF,UAV,0.167761878543941,5,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,PLSR,UAV,0.236850661389532,5,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LR,UAV,0.218294912962137,5,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,LASSO,UAV,0.356897657007105,5,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,SVM,UAV,0.0942162195546252,5,Scottsbluff,2022-08-12,UAV
TP3,Scottsbluff,GB,UAV,0.18196640386925,5,Scottsbluff,2022-08-12,UAV
TP2,Scottsbluff,RF,UAV,0.00244740199670872,1,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,PLSR,UAV,0.182614302416074,1,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LR,UAV,0.0831903476518502,1,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LASSO,UAV,0.182917621583681,1,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,SVM,UAV,0.000321422846739762,1,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,GB,UAV,0.0197607419336745,1,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,RF,UAV,0.0290590593361517,2,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,PLSR,UAV,0.0540570517057312,2,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LR,UAV,0.0556192112426857,2,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LASSO,UAV,0.115744848964592,2,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,SVM,UAV,0.0190425689609472,2,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,GB,UAV,0.117663270882213,2,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,RF,UAV,0.0111019820377962,3,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,PLSR,UAV,0.0960724463441391,3,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LR,UAV,0.0249327385463973,3,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LASSO,UAV,0.00694800714601162,3,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,SVM,UAV,0.0130518968060999,3,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,GB,UAV,0.0039734514642595,3,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,RF,UAV,0.113378243869534,4,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,PLSR,UAV,0.122119779900273,4,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LR,UAV,0.146999866450218,4,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LASSO,UAV,0.291379431869918,4,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,SVM,UAV,0.193187849027594,4,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,GB,UAV,0.00530476307962388,4,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,RF,UAV,0.078744804019562,5,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,PLSR,UAV,0.346016171300222,5,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LR,UAV,0.133073751527879,5,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,LASSO,UAV,0.276514312802711,5,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,SVM,UAV,0.10500271471938,5,Scottsbluff,2022-07-22,UAV
TP2,Scottsbluff,GB,UAV,0.0497890271318016,5,Scottsbluff,2022-07-22,UAV
TP1,Scottsbluff,RF,UAV,0.115822974150433,1,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,PLSR,UAV,0.20504173416451,1,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LR,UAV,0.141464856703036,1,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LASSO,UAV,0.187865191723587,1,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,SVM,UAV,0.134058949135245,1,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,GB,UAV,0.0619686935163545,1,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,RF,UAV,0.321614530798359,2,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,PLSR,UAV,0.461906642149907,2,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LR,UAV,0.0892685342318381,2,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LASSO,UAV,0.386131012433774,2,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,SVM,UAV,0.398326874544842,2,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,GB,UAV,0.369344120447708,2,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,RF,UAV,0.18118921226925,3,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,PLSR,UAV,0.158101085248867,3,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LR,UAV,0.149178923040068,3,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LASSO,UAV,0.154525212923313,3,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,SVM,UAV,0.139664550002076,3,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,GB,UAV,0.122671673299837,3,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,RF,UAV,0.258726912071838,4,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,PLSR,UAV,0.233612450337561,4,Scottsbluff,2022-07-08,UAV
