file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Ames-TP1-4231_6_5,29.19165120517367,22.0,7095819,48.08430661889031,35.0,11688189,34.68950579446019,25.0,8432221,0.1892283049677487,0.1914893617021276,45997.04868664547,-0.2290208137959579,-0.24,-55669.69235508006,0.2290208137959579,0.24,55669.69235508006,Ames-TP1-4231,6,5,4231,32000.0,9.75,89.45,64.0,,,,,,,,,,,0.0,193.0,LH74 X PHM49
Ames-TP1-4231_6_6,29.13417594444033,24.0,7081178,48.35765303183655,39.0,11753521,33.697593950315564,26.0,8190335,0.2010430264372228,0.2,48864.31174767277,-0.2345881824325683,-0.2452830188679245,-57017.59609296546,0.2345881824325683,0.2452830188679245,57017.59609296546,Ames-TP1-4231,6,6,4231,31500.0,10.79,100.8,63.0,,,,,,,,,,,0.0,185.0,2369 X PHN82
Ames-TP1-4231_6_7,40.386699912770126,35.0,9815422,62.54510442897349,53.0,15200712,40.15249592652941,33.0,9758502,0.2035679352524587,0.2075471698113207,49474.33671201657,-0.2000470287735135,-0.2150537634408602,-48618.62968499963,0.2000470287735135,0.2150537634408602,48618.62968499963,Ames-TP1-4231,6,7,4231,34500.0,8.56,85.28,69.0,,,,,,,,,,,0.0,180.0,PHB47 X 3IIH6
Ames-TP1-4231_7_2,51.19798835798178,41.0,12445463,74.44825883950058,61.0,18097255,45.791114219306,35.0,11131133,0.1996163280345426,0.1908396946564885,48523.73510027679,-0.1798407831144547,-0.1794871794871795,-43716.59676337722,0.1798407831144547,0.1794871794871795,43716.59676337722,Ames-TP1-4231,7,2,4231,21000.0,12.65,109.93,42.0,,,,,,,,,,,4.76,197.0,LH82 X W606S
Ames-TP1-4231_7_3,51.15380944545006,42.0,12434468,74.074131973013,62.0,18005940,46.49695984860952,36.0,11302481,0.2001482597071989,0.1927272727272727,48652.03896962592,-0.178188973205125,-0.1806167400881057,-43314.1756067018,0.178188973205125,0.1806167400881057,43314.1756067018,Ames-TP1-4231,7,3,4231,26000.0,13.31,115.8,52.0,,,,,,,,,,,0.0,205.0,PHN46 X W606S
Ames-TP1-4231_7_4,42.60780868756609,33.0,10355274,62.51656743623399,50.0,15193839,43.86370799507894,34.0,10660504,0.1860124962948153,0.1900191938579654,45207.91906200304,-0.2015505851619606,-0.2068965517241379,-48984.24956600742,0.2015505851619606,0.2068965517241379,48984.24956600742,Ames-TP1-4231,7,4,4231,35500.0,5.49,54.7,71.0,,,,,,,,,,,18.31,187.0,LH185 X LH145
Ames-TP1-4231_7_5,27.24003834885941,21.0,6620201,44.581927482800616,34.0,10834835,31.95184173277593,24.0,7765320,0.1963758770822928,0.1929824561403508,47725.622159063794,-0.2356895138019271,-0.2444444444444444,-57280.09391830995,0.2356895138019271,0.2444444444444444,57280.09391830995,Ames-TP1-4231,7,5,4231,33500.0,15.72,140.91,67.0,,,,,,,,,,,0.0,210.0,B73 X 3IIH6
Ames-TP1-4231_7_6,27.388683826101268,24.0,6655861,46.63673847293377,39.0,11333427,29.728868588358743,24.0,7224561,0.231047703978432,0.2307692307692307,56148.05778231867,-0.2504326973783551,-0.2631578947368421,-60858.90195340097,0.2504326973783551,0.2631578947368421,60858.90195340097,Ames-TP1-4231,7,6,4231,,,,,,,,,,,,,,,,,
Ames-TP1-4231_7_7,39.03337325447878,33.0,9484290,61.37008959622025,51.0,14911643,38.954489894188384,31.0,9465123,0.209828440695605,0.2183908045977011,50983.90469177741,-0.208298040531797,-0.2272727272727272,-50612.04959037552,0.208298040531797,0.2272727272727272,50612.04959037552,Ames-TP1-4231,7,7,4231,29500.0,8.25,82.19,59.0,,,,,,,,,,,3.39,195.0,PHK56 X LH198
Ames-TP1-4231_8_2,52.02077770326148,41.0,12643598,77.44932914762043,63.0,18823982,47.9617319964287,35.0,11657051,0.2124911911482583,0.2090395480225988,51645.77151739304,-0.1952621582796085,-0.2,-47458.27230770058,0.1952621582796085,0.2,47458.27230770058,Ames-TP1-4231,8,2,4231,29500.0,17.32,145.95,59.0,,,,,,,,,,,0.0,218.0,PHK56 X W606S
