,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
23,Crawfordsville-TP2-4351_12_20,92.9025910632818,91.0,24456700,123.52827909485625,127.0,32518943,81.79176907210228,82.0,21531765,0.1799565366897537,0.1764705882352941,47373.73824011436,0.1503075746833819,0.1515151515151515,39568.61934297498,Crawfordsville-TP2-4351,12,20,31000.0,12.45,118.67,62.0,,,,,,,,,,,0.0,251.0,Crawfordsville,TP2,4351
24,Crawfordsville-TP2-4351_13_13,77.48227116778871,74.0,19151138,108.68174682806836,108.0,26862650,68.06605223977213,65.0,16823750,0.2048992572946837,0.2023575638506876,50644.5396270124,0.1691467866210088,0.1732283464566929,41807.6729555415,Crawfordsville-TP2-4351,13,13,30000.0,14.39,135.49,60.0,,,,,,,,,,,0.0,200.0,Crawfordsville,TP2,4351
25,Crawfordsville-TP2-4351_13_14,77.3078263180429,75.0,20945164,108.62759290153988,108.0,29430691,66.60239469682429,64.0,18044720,0.2055118633992252,0.2063492063492063,55679.74017447889,0.1643261721083739,0.1724137931034483,44521.21846166598,Crawfordsville-TP2-4351,13,14,32500.0,19.09,175.93,65.0,,,,,,,,,,,0.0,235.0,Crawfordsville,TP2,4351
26,Crawfordsville-TP2-4351_13_15,81.88359086277433,79.0,21536367,114.69679710431464,115.0,30166634,70.76494608611014,69.0,18612030,0.2038117556301019,0.2052401746724891,53604.93747178436,0.1647100179327198,0.1714285714285714,43320.71123652051,Crawfordsville-TP2-4351,13,15,28500.0,18.29,166.25,57.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP2,4351
27,Crawfordsville-TP2-4351_13_16,75.18480700046305,72.0,18996870,105.03624109012186,103.0,26539402,66.91172640885902,63.0,16906519,0.1975376815571418,0.1963470319634703,49911.648461361474,0.1655569937949848,0.1710526315789473,41831.12006518502,Crawfordsville-TP2-4351,13,16,32000.0,22.83,205.12,64.0,,,,,,,,,,,3.12,231.0,Crawfordsville,TP2,4351
28,Crawfordsville-TP2-4351_13_17,72.61361207284313,68.0,17596384,103.41743249879296,100.0,25061043,63.82164742973396,59.0,15465836,0.2097450498127099,0.2081218274111675,50827.30817606418,0.1729988922346137,0.1782178217821782,41922.64855632172,Crawfordsville-TP2-4351,13,17,32000.0,20.41,186.59,64.0,,,,,,,,,,,0.0,226.0,Crawfordsville,TP2,4351
29,Crawfordsville-TP2-4351_13_18,82.52386249734228,77.0,21735465,112.15417413358442,111.0,29539615,71.5243332928348,68.0,18838365,0.1930714890164439,0.1923076923076923,50851.94106310706,0.1557441359646801,0.1627906976744186,41020.513506921314,Crawfordsville-TP2-4351,13,18,28500.0,18.18,167.55,57.0,,,,,,,,,,,17.54,250.0,Crawfordsville,TP2,4351
30,Crawfordsville-TP2-4351_13_19,80.46330080929016,78.0,21465758,112.06913639481664,112.0,29897468,73.70123361459196,72.0,19661794,0.1878334540849802,0.1875,50109.64538042877,0.1619017017409079,0.1676300578034682,43191.65028533421,Crawfordsville-TP2-4351,13,19,30000.0,9.43,93.85,60.0,,,,,,,,,,,0.0,276.0,Crawfordsville,TP2,4351
31,Crawfordsville-TP2-4351_13_20,84.78012119392905,81.0,22595174,111.65363675590493,112.0,29757369,73.4436898486014,72.0,19573845,0.175240598884765,0.1725417439703154,46704.24821177315,0.1401496174349138,0.1417322834645669,37351.97529066605,Crawfordsville-TP2-4351,13,20,30000.0,10.86,107.28,60.0,,,,,,,,,,,8.33,264.0,Crawfordsville,TP2,4351
32,Crawfordsville-TP2-4351_14_13,89.85318518186638,88.0,24065738,117.48312387523616,119.0,31465975,79.20527266889192,78.0,21213865,0.1701681108029629,0.1638591117917305,45576.80578880077,0.1349158705545441,0.1383647798742138,36135.05727410578,Crawfordsville-TP2-4351,14,13,30500.0,14.49,136.89,61.0,,,,,,,,,,,0.0,222.0,Crawfordsville,TP2,4351
33,Crawfordsville-TP2-4351_14_14,82.8725888455501,80.0,22542753,114.42079722958492,115.0,31124402,71.21952672075642,69.0,19372922,0.2008532617151063,0.1991951710261569,54635.50169195809,0.1595717887615785,0.1649831649831649,43406.239263558295,Crawfordsville-TP2-4351,14,14,29500.0,16.7,154.43,59.0,,,,,,,,,,,0.0,217.0,Crawfordsville,TP2,4351
34,Crawfordsville-TP2-4351_14_15,82.79919969941763,80.0,22037007,110.60203268833364,110.0,29436731,70.15300770242345,68.0,18671223,0.1854895392127603,0.1844660194174757,49368.040861476176,0.1421519070789894,0.145631067961165,37833.73006907303,Crawfordsville-TP2-4351,14,15,29000.0,17.09,154.26,58.0,,,,,,,,,,,0.0,203.0,Crawfordsville,TP2,4351
35,Crawfordsville-TP2-4351_14_16,86.15217814004495,82.0,22153688,117.66449410062766,117.0,30256954,76.51397260700146,74.0,19675262,0.1895010315897456,0.185501066098081,48729.432269176745,0.1560288268445613,0.1585760517799352,40122.18870777156,Crawfordsville-TP2-4351,14,16,30500.0,18.43,166.55,61.0,,,,,,,,,,,3.28,219.0,Crawfordsville,TP2,4351
36,Crawfordsville-TP2-4351_14_17,93.478690780941,92.0,24721655,125.61228602866942,129.0,33219802,79.85481144810427,80.0,21118643,0.1908965517879908,0.188034188034188,50485.07477550741,0.1494561850730603,0.1538461538461538,39525.63107297676,Crawfordsville-TP2-4351,14,17,31500.0,17.98,162.68,63.0,,,,,,,,,,,0.0,250.0,Crawfordsville,TP2,4351
37,Crawfordsville-TP2-4351_14_18,84.3017852114659,83.0,22454202,110.7448855850275,111.0,29497454,73.62443731110736,72.0,19610237,0.1699462003483274,0.1700680272108843,45266.02019377876,0.1307332164236009,0.1379310344827586,34821.44586050824,Crawfordsville-TP2-4351,14,18,33000.0,19.03,170.57,66.0,,,,,,,,,,,1.52,212.0,Crawfordsville,TP2,4351
38,Crawfordsville-TP2-4351_14_19,69.13707025298315,64.0,18332109,95.28492660924135,93.0,25265370,61.158563260872846,58.0,16216560,0.1902392185642153,0.1895910780669145,50443.07023761309,0.1591374735247495,0.1641791044776119,42196.25592992848,Crawfordsville-TP2-4351,14,19,27500.0,16.65,153.8,55.0,,,,,,,,,,,9.09,232.0,Crawfordsville,TP2,4351
