file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Ames-TP3-4231_18_3,0.11068820052750783,0.09734513274336283,15.939100875961127,-0.11068820052750783,-0.09734513274336283,-15.939100875961127,69.53472222222223,70.0,10013,85.72222222222223,87.0,12344,70.73611111111111,71.0,10186,0.104414174681406,0.0973451327433628,15.035641154122464,Ames-TP3-4231,18,3,31000.0,13.82,119.22,62.0,,,,,,,,,,,0.0,233.0,Ames,TP3,4231
Ames-TP3-4231_18_4,0.09726539743938882,0.09477662201601436,14.00621723127199,-0.09726539743938882,-0.09477662201601436,-14.00621723127199,75.52083333333333,73.0,10875,90.58333333333331,88.0,13044,77.31944444444444,74.0,11134,0.0888771256891799,0.0886982873925528,12.798306099241916,Ames-TP3-4231,18,4,22500.0,18.75,159.78,45.0,,,,,,,,,,,0.0,193.0,Ames,TP3,4231
Ames-TP3-4231_18_5,0.14960274548223948,0.14375561545372867,21.542795349442486,-0.14960274548223948,-0.14375561545372867,-21.542795349442486,64.60416666666667,65.0,9303,86.76388888888889,87.0,12494,69.625,70.0,10026,0.1297950101069446,0.1282051282051282,18.690481455400032,Ames-TP3-4231,18,5,31000.0,12.94,125.79,62.0,,,,,,,,,,,1.61,174.0,Ames,TP3,4231
Ames-TP3-4231_18_6,0.1384426321326429,0.12786095336430908,19.935739027100578,-0.1384426321326429,-0.12786095336430908,-19.935739027100578,64.63888888888889,66.0,9308,84.43055555555556,85.0,12158,68.42361111111111,70.0,9853,0.1220425235131405,0.1156462585034013,17.574123385892236,Ames-TP3-4231,18,6,32000.0,15.78,139.12,64.0,,,,,,,,,,,0.0,208.0,Ames,TP3,4231
Ames-TP3-4231_18_7,0.1464669951302935,0.1402491169362335,21.091247298762262,-0.1464669951302935,-0.1402491169362335,-21.091247298762262,71.9375,73.0,10359,95.59027777777776,96.0,13765,74.6875,76.0,10755,0.1352801382519801,0.1321991261750298,19.480339908285146,Ames-TP3-4231,18,7,32500.0,10.03,99.93,65.0,,,,,,,,,,,0.0,209.0,Ames,TP3,4231
Ames-TP3-4231_19_2,0.13527676785494172,0.12280701754385964,19.47985457111161,-0.13527676785494172,-0.12280701754385964,-19.47985457111161,71.75694444444444,75.0,10333,93.23611111111111,94.0,13426,75.51388888888889,77.0,10874,0.1201614210073427,0.1129476584022038,17.30324462505735,Ames-TP3-4231,19,2,31000.0,9.02,89.87,62.0,,,,,,,,,,,0.0,170.0,Ames,TP3,4231
Ames-TP3-4231_19_3,0.10254320602538812,0.0963855421686747,14.76622166765589,-0.10254320602538812,-0.0963855421686747,-14.76622166765589,79.30555555555556,81.0,11420,97.125,97.0,13986,78.40972222222223,79.0,11291,0.104706015946323,0.1038251366120218,15.077666296270523,Ames-TP3-4231,19,3,34000.0,13.91,123.8,68.0,,,,,,,,,,,0.0,181.0,Ames,TP3,4231
Ames-TP3-4231_19_4,0.11163541552832783,0.10714285714285714,16.075499836079207,-0.11163541552832783,-0.10714285714285714,-16.075499836079207,71.95138888888889,72.0,10361,89.68055555555556,90.0,12914,73.66666666666667,73.5,10608,0.1050877130973024,0.1034482758620689,15.13263068601155,Ames-TP3-4231,19,4,32000.0,12.84,111.85,64.0,,,,,,,,,,,0.0,192.0,Ames,TP3,4231
Ames-TP3-4231_19_5,0.1178864755650264,0.11496598639455782,16.975652481363802,-0.1178864755650264,-0.11496598639455782,-16.975652481363802,63.513888888888886,65.0,9146,79.93055555555556,81.0,11510,67.53472222222223,68.0,9725,0.10096998764867,0.0972222222222222,14.53967822140848,Ames-TP3-4231,19,5,28500.0,9.2,91.66,57.0,,,,,,,,,,,0.0,189.0,Ames,TP3,4231
Ames-TP3-4231_19_6,0.1399940992913271,0.13725490196078433,20.159150297951104,-0.1399940992913271,-0.13725490196078433,-20.159150297951104,62.60416666666666,63.0,9015,82.35416666666667,82.0,11859,69.26388888888889,70.0,9974,0.1128256871366908,0.1118210862619808,16.24689894768348,Ames-TP3-4231,19,6,31000.0,20.04,165.92,62.0,,,,,,,,,,,0.0,220.0,Ames,TP3,4231
Ames-TP3-4231_19_7,0.14898561906756172,0.14285714285714285,21.45392914572889,-0.14898561906756172,-0.14285714285714285,-21.45392914572889,61.54861111111112,62.5,8863,82.26388888888889,84.0,11846,66.97222222222223,68.0,9644,0.1259121596701739,0.1211072664359861,18.131350992505045,Ames-TP3-4231,19,7,34000.0,15.35,139.37,68.0,,,,,,,,,,,0.0,166.0,Ames,TP3,4231
Ames-TP3-4231_1_4,0.11005937789335396,0.11035007610350075,15.84855041664297,-0.11005937789335396,-0.11035007610350075,-15.84855041664297,67.34722222222223,65.0,9698,82.27083333333333,81.0,11847,71.33333333333333,70.0,10272,0.091224847253276,0.0909090909090909,13.136378004471757,Ames-TP3-4231,1,4,,,,,,,,,,,,,,,,,Ames,TP3,4231
Ames-TP3-4231_1_5,0.16077817236095868,0.15492957746478872,23.15205681997805,-0.16077817236095868,-0.15492957746478872,-23.15205681997805,58.59027777777778,60.0,8437,80.05555555555556,81.0,11528,66.98611111111111,68.0,9646,0.1244121183435901,0.1176758077654086,17.91534504147698,Ames-TP3-4231,1,5,,,,,,,,,,,,,,,,,Ames,TP3,4231
