model,image,Date,location,r2_mean,count,sd,r2_se
RF,Satellite,2022-08-10,Ames,0.361418686997294,5,0.0696860575070439,0.0311645523339419
SVM,UAV,2022-07-28,Lincoln,0.359573150138737,5,0.0989893206693897,0.044269370012656
GB,Satellite,2022-08-06,Lincoln,0.355280274062368,5,0.103056316388665,0.046088185791156
GB,UAV,2022-07-13,Lincoln,0.353319866152348,5,0.109066103854868,0.0487758444521074
RF,Satellite,2022-09-03,Lincoln,0.351101816184772,5,0.14387073629705,0.0643409492666298
LR,UAV,2022-08-04,Lincoln,0.349628304683336,5,0.131412274322851,0.0587693556927488
RF,UAV,2022-08-04,Lincoln,0.341792328427827,5,0.0574176653259724,0.0256779605556414
GB,UAV,2022-07-28,Lincoln,0.336468077549472,5,0.0696920483922186,0.0311672315392411
SVM,Satellite,2022-09-03,Lincoln,0.333192493391299,5,0.125981820092793,0.0563407827313266
SVM,Satellite,2022-08-06,Lincoln,0.332454382891651,5,0.0353925101360914,0.0158280117117302
PLSR,Satellite,2022-08-06,Lincoln,0.330689131575144,5,0.0997715674932604,0.0446192014273277
GB,Satellite,2022-08-10,Ames,0.329680027168878,5,0.0585368894397316,0.0261784927957259
RF,Satellite,2022-08-31,Ames,0.329341773862451,5,0.0777412500429774,0.0347669439503812
RF,Satellite,2022-07-18,Lincoln,0.319416170555731,5,0.0374475733671914,0.0167470639282901
SVM,Satellite,2022-08-10,Ames,0.317232795324633,5,0.0478542258371249,0.0214010603964876
SVM,UAV,2022-07-13,Lincoln,0.315166241040134,5,0.11002115889067,0.0492029580485686
PLSR,Satellite,2022-09-03,Lincoln,0.314436194640716,5,0.16377980186503,0.0732445540623309
SVM,UAV,2022-08-04,Lincoln,0.312113890900728,5,0.0591285393957225,0.026443086699822
LASSO,Satellite,2022-07-18,Lincoln,0.311184870090037,4,0.0361489611348783,0.0180744805674392
GB,Satellite,2022-08-31,Ames,0.305086461506119,5,0.0737455429560321,0.0329800094174637
GB,Satellite,2022-09-03,Lincoln,0.300482428551198,5,0.132145516451191,0.0590972715413361
GB,UAV,2022-08-04,Lincoln,0.298425402842454,5,0.0731968999036257,0.032734648785351
GB,Satellite,2022-07-18,Lincoln,0.297914726891773,5,0.0578755970715883,0.0258827538580918
LASSO,Satellite,2022-08-06,Lincoln,0.292229190807151,5,0.0507609851362052,0.0227010026738822
PLSR,UAV,2022-08-10,Missouri Valley,0.281506017712817,5,0.195794507927016,0.087561965869186
PLSR,Satellite,2022-09-03,Missouri Valley,0.280672451750765,5,0.150881722553767,0.0674763576384971
SVM,Satellite,2022-07-18,Lincoln,0.274279070753295,5,0.0810084083340498,0.0362280615567992
PLSR,Satellite,2022-08-10,Ames,0.271959455982802,5,0.145322602202112,0.0649902434382165
LASSO,Satellite,2022-08-08,Missouri Valley,0.271871035367176,3,0.234508641451848,0.135393627269518
SVM,Satellite,2022-08-31,Ames,0.269864818916358,5,0.0547592261366382,0.0244890704073612
LASSO,UAV,2022-07-13,Missouri Valley,0.266109033647931,5,0.141448806169869,0.0632578291864036
LR,Satellite,2022-09-19,Lincoln,0.256154921275326,5,0.157005902817733,0.0702151743138352
PLSR,UAV,2022-08-10,Ames,0.254544749756157,5,0.211188006528297,0.0944461477259881
LASSO,UAV,2022-08-12,Scottsbluff,0.247953559904239,5,0.10951606805547,0.0489770745601047
GB,Satellite,2022-09-11,Ames,0.246312604147773,5,0.0664969260154236,0.0297383293730523
RF,Satellite,2022-07-21,Missouri Valley,0.245026740849303,5,0.191550925208998,0.0856641779840594
PLSR,Satellite,2022-08-31,Ames,0.244487453198281,5,0.147646658102052,0.0660295928333715
PLSR,UAV,2022-07-13,Missouri Valley,0.24299692734104,5,0.0937599855621901,0.0419307402572912
RF,Satellite,2022-07-13,Missouri Valley,0.241227704785982,5,0.161699359810406,0.072314152090853
LASSO,Satellite,2022-08-10,Ames,0.235085523733567,1,,
