location,model,Date,image,time,r2_mean,count,r2_sd,r2_se
Crawfordville,RF,2022-07-10,Satellite,TP1,0.0854270660245935,5,0.0632006795136634,0.0282642031233459
Crawfordville,RF,2022-07-12,UAV,TP1,0.124418433449354,5,0.126003581975415,0.0563505149410988
Crawfordville,RF,2022-07-20,Satellite,TP2,0.109974568862343,5,0.158225950670433,0.0707607963007232
Crawfordville,RF,2022-07-26,UAV,TP2,0.0349214211582684,5,0.0397067393749593,0.0177573936814553
Crawfordville,RF,2022-08-02,Satellite,TP3,0.142315328258801,5,0.132430378940075,0.059224665919213
Crawfordville,RF,2022-08-11,UAV,TP3,0.147678202773223,5,0.0834900155350819,0.0373378700357913
Crawfordville,RF,2022-09-13,Satellite,TP4,0.136278369887344,5,0.0969485833710609,0.0433567245479996
Crawfordville,RF,2022-10-01,Satellite,TP5,0.0618196023807032,5,0.0684773610765245,0.0306240068573814
Crawfordville,RF,2022-10-09,Satellite,TP6,0.142588382089334,5,0.0639251580754861,0.0285881997858413
Crawfordville,SVM,2022-07-10,Satellite,TP1,0.0987173651781075,5,0.0817280943907827,0.0365499149458619
Crawfordville,SVM,2022-07-12,UAV,TP1,0.10172629266817,5,0.125229773799597,0.0560044574045641
Crawfordville,SVM,2022-07-20,Satellite,TP2,0.106317999796459,5,0.116947458561175,0.0523004934277254
Crawfordville,SVM,2022-07-26,UAV,TP2,0.00439537397522778,5,0.00352862075699888,0.00157804717589325
Crawfordville,SVM,2022-08-02,Satellite,TP3,0.144953478781412,5,0.122554519190279,0.0548080471718532
Crawfordville,SVM,2022-08-11,UAV,TP3,0.0933535584221433,5,0.0481746842201115,0.0215443737421512
Crawfordville,SVM,2022-09-13,Satellite,TP4,0.106028054653483,5,0.07927690485847,0.0354537096618644
Crawfordville,SVM,2022-10-01,Satellite,TP5,0.0573999684632948,5,0.0667630455241808,0.0298573416353963
Crawfordville,SVM,2022-10-09,Satellite,TP6,0.137225965632732,5,0.0426627976671662,0.0190793831388206
Lincoln,GB,2022-07-13,UAV,TP1,0.290382307268232,5,0.0804351913885322,0.0359717111455927
Lincoln,GB,2022-07-18,Satellite,TP1,0.345143847355555,5,0.142387014696049,0.0636774087947254
Lincoln,GB,2022-07-28,UAV,TP2,0.400537048773252,5,0.112477182854269,0.050301325355964
Lincoln,GB,2022-08-04,UAV,TP3,0.354235140707089,5,0.099609670615278,0.044546798942425
Lincoln,GB,2022-08-06,Satellite,TP2,0.347233282054627,5,0.056154227659484,0.025112934054121
Lincoln,GB,2022-09-03,Satellite,TP3,0.254012738605825,5,0.125213342577665,0.0559971091387256
Lincoln,GB,2022-09-11,Satellite,TP4,0.351794578708408,5,0.112676676313842,0.0503905415432984
Lincoln,GB,2022-09-19,Satellite,TP5,0.362680980187802,5,0.0607775684324917,0.0271805549044393
Lincoln,GB,2022-09-27,Satellite,TP6,0.337447468573436,5,0.0861775095365403,0.0385397538910681
Lincoln,LASSO,2022-07-13,UAV,TP1,0.44061680765093,5,0.0428214439356556,0.0191503319069644
Lincoln,LASSO,2022-07-18,Satellite,TP1,NA,5,NA,NA
Lincoln,LASSO,2022-07-28,UAV,TP2,0.451003604047259,5,0.0760118355946454,0.033993526296833
Lincoln,LASSO,2022-08-04,UAV,TP3,0.368601333929182,5,0.0954760164242889,0.0426981725891193
Lincoln,LASSO,2022-08-06,Satellite,TP2,0.356233571923497,5,0.104594282789005,0.0467759852748102
Lincoln,LASSO,2022-09-03,Satellite,TP3,NA,5,NA,NA
Lincoln,LASSO,2022-09-11,Satellite,TP4,NA,5,NA,NA
Lincoln,LASSO,2022-09-19,Satellite,TP5,NA,5,NA,NA
Lincoln,LASSO,2022-09-27,Satellite,TP6,NA,5,NA,NA
Lincoln,LR,2022-07-13,UAV,TP1,0.41774031209592,5,0.082290006924869,0.0368012098705871
Lincoln,LR,2022-07-18,Satellite,TP1,0.220282485369436,5,0.116130709371131,0.0519352320858243
Lincoln,LR,2022-07-28,UAV,TP2,0.432430051233353,5,0.0650577657489684,0.0290947173357902
Lincoln,LR,2022-08-04,UAV,TP3,0.356108128724785,5,0.0786458186282351,0.0351714793197706
Lincoln,LR,2022-08-06,Satellite,TP2,0.0931885699208486,5,0.101615885121588,0.045444005345136
Lincoln,LR,2022-09-03,Satellite,TP3,0.0726627046934085,5,0.0804974246294117,0.0359995426970061
Lincoln,LR,2022-09-11,Satellite,TP4,0.201121724067455,5,0.114494957651237,0.0512037016778251
Lincoln,LR,2022-09-19,Satellite,TP5,0.136505314999135,5,0.143444473714505,0.0641503188444631
