index,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,range,row,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow,file_,NDRE_mean,predicted,residual
1484,MV$HYBRID-HIPS$REP2$PLOT5$ROW23$RANGE25$LH198 X PHB47,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,56,1,23,25,105,PHP02 X LH145,2022-04-29,,,,,,,,,83,180,28000,15.81,148.86,10.5,59,18.4,,4,2.6,41.8,15,598,24,136.1,24.1,5.3,66.72,10.44,4.26,1.32,1.13,yellow,3.57,2022-10-11,,25-23,MOValley-TP3-Hybrids_23_25,0.278046220964196,130.336671787683,18.5233282123171
1488,MV$HYBRID-HIPS$REP2$PLOT9$ROW23$RANGE26$PHK76 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,56,1,23,26,109,PHK56 X LH145,2022-04-29,,,,,,,,,97,212,28000,17.04,160.8,10.3,59.3,17.1,,3.8,2.4,42.2,15.8,645,21.9,140.6,21.1,5.72,66.8,9.23,3.93,1.6,1.22,yellow,0,2022-10-11,,26-23,MOValley-TP3-Hybrids_23_26,0.312473262370572,159.555778156761,1.24422184323893
1492,MV$HYBRID-HIPS$REP2$PLOT13$ROW23$RANGE27$LH74 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,1,23,27,113,PHK76 X LH82,2022-04-29,,,,,,,,,88,198,27500,18.4,173.64,10.3,61,15.4,,3.5,2.1,33.8,14.5,303,21.9,65,15.6,5.02,68.59,8.58,4,0.86,1.07,orange,3.64,2022-10-11,,27-23,MOValley-TP3-Hybrids_23_27,0.31093362928364,158.249052365096,15.3909476349039
1496,MV$HYBRID-HIPS$REP2$PLOT17$ROW23$RANGE28$PHN46 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,47,1,23,28,117,PHP02 X PHN46,2022-04-29,,,,,,,,,81,195,23500,16.66,155.82,11.1,58,15.2,,4.2,2.6,33.8,16.5,507,23.5,120.1,16.3,4.6,69.37,8.63,3.78,0.53,1.05,yellow,6.38,2022-10-11,,28-23,MOValley-TP3-Hybrids_23_28,0.3128014161969,159.834290662199,-4.01429066219893
1499,MV$HYBRID-HIPS$REP2$PLOT21$ROW23$RANGE29$COMMERCIAL HYBRID 5,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,56,1,23,29,121,PHK56 X W606S,2022-04-29,,,,,,,,,95,220,28000,20.9,195.03,11.3,60.3,16.8,,4.1,2.5,36,15.5,499,27.4,137.3,25.3,5.29,69.21,7.08,3.9,0.97,0.94,orange,0,2022-10-11,,29-23,MOValley-TP3-Hybrids_23_29,0.342545324076214,185.078702399445,9.95129760055545
1503,MV$HYBRID-HIPS$REP2$PLOT25$ROW23$RANGE30$B105 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,59,1,23,30,125,PHP02 X PHG47,2022-04-29,,,,,,,,,75,194,29500,18.18,171.18,10.5,57.8,14.8,,3.8,2,28,16.8,404,21.6,89.1,12.5,4.9,68.49,8.09,3.78,1.13,1.13,yellow,3.39,2022-10-11,,30-23,MOValley-TP3-Hybrids_23_30,0.303752732146096,152.154442177407,19.025557822593
1507,MV$HYBRID-HIPS$REP2$PLOT29$ROW23$RANGE31$PHP02 X PHJ89,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,59,1,23,31,129,PHK56 X LH185,2022-04-29,,,,,,,,,79,224,29500,19.32,181.91,10.5,59,18.8,,4.6,2.6,45.8,13,513,33.6,174.6,26.2,4.81,67.35,8.93,4.25,1.26,1.09,yellow,0,2022-10-11,,31-23,MOValley-TP3-Hybrids_23_31,0.309619156475406,157.133425833334,24.776574166666
1510,MV$HYBRID-HIPS$REP2$PLOT33$ROW23$RANGE32$PHP02 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,1,23,32,133,PHN46 X W606S,2022-04-29,,,,,,,,,92,205,25000,18.02,169.1,10.8,60.6,15.5,12.2,4.1,3,26,14,344,27.1,89.4,17.8,5.26,72.73,7.85,4.35,0.24,0.83,yellow,10,2022-10-11,,32-23,MOValley-TP3-Hybrids_23_32,0.323095039087964,168.570750430173,0.529249569827073
1514,MV$HYBRID-HIPS$REP2$PLOT37$ROW23$RANGE33$LH82 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,58,1,23,33,137,PHP02 X LH185,2022-04-29,,,,,,,,,109,235,29000,18.55,174.08,10.8,58.3,18.1,17.8,3.9,2.4,41,14.5,566,27.8,161.6,21.1,5.21,71.04,8.1,4.19,1.21,1.18,yellow,1.72,2022-10-11,,33-23,MOValley-TP3-Hybrids_23_33,0.32334662869358,168.784280932579,5.29571906742149
1518,MV$HYBRID-HIPS$REP2$PLOT41$ROW23$RANGE34$COMMERCIAL HYBRID 1,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,64,1,23,34,141,SYNGENTA NK0760-3111,2022-04-29,,,,,,,,,89,182,32000,18.88,177.17,10.8,59.1,17.5,16.6,4,2.4,41,15.8,597,27.5,157.5,25.5,4.92,71.82,7.94,3.89,1.9,1.34,yellow,3.12,2022-10-11,,34-23,MOValley-TP3-Hybrids_23_34,0.309759225168206,157.252305698309,19.9176943016906
1522,MV$HYBRID-HIPS$REP2$PLOT45$ROW23$RANGE35$B73 X PHM49,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,51,1,23,35,145,HOEGEMEYER 7089 AMXT,2022-04-29,,,,,,,,,73,190,25500,20.64,194.13,10.6,60.3,15.9,15.2,3.8,2.1,34.2,15,482,27.8,134.1,19.6,4.15,69.47,7.24,4.04,0.98,1.12,yellow,3.92,2022-10-11,,35-23,MOValley-TP3-Hybrids_23_35,0.319655427885436,165.651464848568,28.4785351514316
1526,MV$HYBRID-HIPS$REP2$PLOT49$ROW23$RANGE36$PHN46 X PHK56,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,1,23,36,149,PHK76 X 3IIH6,2022-04-29,,,,,,,,,95,177,27500,15.79,149.17,10.2,60.8,15.2,14.5,3.4,2,33.8,14,437,23,103.1,18.5,4.9,67.89,8.17,4.28,0.73,1.07,orange,7.27,2022-10-11,,36-23,MOValley-TP3-Hybrids_23_36,0.283845684738209,135.258824315873,13.9111756841273
1529,MV$HYBRID-HIPS$REP2$PLOT53$ROW23$RANGE37$,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,1,23,37,153,PHK76 X LH145,2022-04-29,,,,,,,,,76,201,25000,14.24,135.58,9.5,64.1,17.9,17.4,3.2,2,44.2,12,377,33.1,123,23.2,5.21,70.11,9.47,4.43,0.64,0.92,orange,4,2022-10-11,,37-23,MOValley-TP3-Hybrids_23_37,0.287249377862748,138.147625310407,-2.56762531040707
1533,MV$HYBRID-HIPS$REP2$PLOT57$ROW23$RANGE38$PHK56 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,52,1,23,38,157,PHN46 X PHB47,2022-04-29,,,,,,,,,88,209,26000,19.24,181.57,10.3,59.8,17.4,16.5,4,2.6,42,14.5,459,36.7,176.9,24.1,5.29,69.47,8.06,3.14,0.86,0.93,yellow,1.92,2022-10-11,,38-23,MOValley-TP3-Hybrids_23_38,0.308446373318037,156.138054914917,25.4319450850831
1537,MV$HYBRID-HIPS$REP2$PLOT61$ROW23$RANGE39$PHW52 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,1,23,39,161,PHN46 X PHK56,2022-04-29,,,,,,,,,72,172,25000,17.66,166.65,10.3,59,14.6,13.7,4,2.8,36,17,483,25.6,108.2,17.1,5.72,71.88,8.22,4.05,1.26,1.27,,4,2022-10-11,,39-23,MOValley-TP3-Hybrids_23_39,0.308722558137111,156.372460001046,10.2775399989536
1541,MV$HYBRID-HIPS$REP2$PLOT65$ROW23$RANGE40$LH82 X PHJ89,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,53,1,23,40,165,PHP02 X PHK56,2022-04-29,,,,,,,,,86,205,26500,21.33,201.74,10.1,58.6,16.4,15.8,4.8,2.8,40.8,15,399,35.6,146,21.5,5.17,67.2,8.5,3.83,1.45,1.2,yellow,0,2022-10-11,,40-23,MOValley-TP3-Hybrids_23_40,0.32238971251164,167.972121811022,33.7678781889776
1545,MV$HYBRID-HIPS$REP2$PLOT69$ROW23$RANGE41$LH74 X PHM49,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,66,1,23,41,169,PHP02 X LH82,2022-04-29,,,,,,,,,87,173,33000,17.85,168.07,10.5,56.8,13.8,12.2,3.8,2.1,28.8,16.8,330,25,88.9,14.4,5.37,66.57,10.65,4.14,1.13,1.27,yellow,1.52,2022-10-11,,41-23,MOValley-TP3-Hybrids_23_41,0.302925483174678,151.452334918051,16.6176650819491
