index,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,range,row,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow,file_,NGRDI_mean,range_y,row_y,predicted,residual
1500,MV$HYBRID-HIPS$REP2$PLOT22$ROW25$RANGE29$B73 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,1,25,29,122,PHK56 X LH198,2022-04-29,,,,,,,,,86,198,27500,17.33,163.72,10.2,60.7,15.1,,4.2,2.2,39,15.5,562,28.5,160.8,25.3,4.87,67.33,8.34,4.23,1.39,1.17,yellow,5.45,2022-10-11,,29-25,MOValley-TP1-Hybrids_25_29,-0.188576700620285,25,29,58.831255491611,-3.831255491611
1501,MV$HYBRID-HIPS$REP2$PLOT23$ROW27$RANGE29$PHT69 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,68,1,27,29,123,PHB47 X LH185,2022-04-29,,,,,,,,,72,205,34000,17.27,162.79,10.4,58.4,18.1,,3.5,1.9,43.5,14.5,537,25.5,145.7,19.3,5.23,68.46,8.37,3.78,1.6,1.03,yellow,0,2022-10-11,,29-27,MOValley-TP1-Hybrids_27_29,-0.196449771265248,27,29,60.1527135720185,7.84728642798146
1502,MV$HYBRID-HIPS$REP2$PLOT24$ROW29$RANGE29$F42 X OH43,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,61,1,29,29,124,2369 X PHN82,2022-04-29,,,,,,,,,84,201,30500,16.62,154.74,11.5,61.8,16.6,,3.9,2.8,37.8,16.5,566,22,128.6,21.5,5.17,73.3,6.31,4.27,0.32,0.82,yellow,6.56,2022-10-11,,29-29,MOValley-TP1-Hybrids_29_29,-0.17372478473264,29,29,56.3384308817089,4.66156911829111
1503,MV$HYBRID-HIPS$REP2$PLOT25$ROW23$RANGE30$B105 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,59,1,23,30,125,PHP02 X PHG47,2022-04-29,,,,,,,,,75,194,29500,18.18,171.18,10.5,57.8,14.8,,3.8,2,28,16.8,404,21.6,89.1,12.5,4.9,68.49,8.09,3.78,1.13,1.13,yellow,3.39,2022-10-11,,30-23,MOValley-TP1-Hybrids_23_30,-0.167696449137164,23,30,55.3266029503608,3.67339704963919
1504,MV$HYBRID-HIPS$REP2$PLOT26$ROW25$RANGE30$B73 X MO17,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,59,1,25,30,126,LH82 X PHB47,2022-04-29,,,,,,,,,73,178,29500,16.66,156.69,10.6,57.9,18,,3.6,2,44.2,16,724,17.8,131.1,19.9,5.08,67.2,10.15,4.47,0.91,1.13,yellow,1.69,2022-10-11,,30-25,MOValley-TP1-Hybrids_25_30,-0.18027699074309,25,30,57.4381880117359,1.56181198826415
1505,MV$HYBRID-HIPS$REP2$PLOT27$ROW27$RANGE30$LH82 X PHB47,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,59,1,27,30,127,LH82 X PHJ89,2022-04-29,,,,,,,,,67,184,29500,16.01,150.58,10.6,58.6,15.1,,4,2,39.2,17.5,629,19.9,122.6,13.9,5.43,69.06,8.08,4.3,0.32,1.13,yellow,3.39,2022-10-11,,30-27,MOValley-TP1-Hybrids_27_30,-0.219822445121083,27,30,64.0757075498871,-5.07570754988707
1506,MV$HYBRID-HIPS$REP2$PLOT28$ROW29$RANGE30$LH145 X LH162,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,66,1,29,30,128,PHB47 X 3IIH6,2022-04-29,,,,,,,,,93,207,33000,13.92,131.21,10.4,57.9,16.8,,3.8,2.1,38.2,13.5,506,23,113.6,17.2,4.88,68.02,8.15,4.31,0.9,1.02,yellow,4.55,2022-10-11,,30-29,MOValley-TP1-Hybrids_29_30,-0.192235021761537,29,30,59.4452875828797,6.55471241712026
1507,MV$HYBRID-HIPS$REP2$PLOT29$ROW23$RANGE31$PHP02 X PHJ89,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,59,1,23,31,129,PHK56 X LH185,2022-04-29,,,,,,,,,79,224,29500,19.32,181.91,10.5,59,18.8,,4.6,2.6,45.8,13,513,33.6,174.6,26.2,4.81,67.35,8.93,4.25,1.26,1.09,yellow,0,2022-10-11,,31-23,MOValley-TP1-Hybrids_23_31,-0.205372025577842,23,31,61.6502722233399,-2.65027222333988
1508,MV$HYBRID-HIPS$REP2$PLOT30$ROW25$RANGE31$PHB47 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,64,1,25,31,130,WF9 X H95,2022-04-29,,,,,,,,,102,225,32000,13.24,123.55,11.3,61.1,15.6,,4.1,2.9,38.8,17.5,592,17.9,103.6,16.6,5.25,70.45,10.39,4.39,0.58,0.94,yellow,12.5,2022-10-11,,31-25,MOValley-TP1-Hybrids_25_31,-0.249869084904826,25,31,69.1188954903794,-5.11889549037944
1509,MV$HYBRID-HIPS$REP2$PLOT32$ROW29$RANGE31$COMMERCIAL HYBRID 2,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,65,1,29,31,132,LH74 X PHM49,2022-04-29,,,,,,,,,86,186,32500,16.9,160.02,10,62.2,15.5,,3.6,2.1,33.5,15,453,24.4,113.9,16.8,5.08,69.42,7.8,3.8,1,0.88,yellow,3.08,2022-10-11,,31-29,MOValley-TP1-Hybrids_29_31,-0.187231352514489,29,31,58.6054451051003,6.3945548948997
