file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Scottsbluff-TP2-n225_14_20,149.33174649077927,143.0,20138730,156.95249112035535,155.0,21166456,122.13873749619974,113.0,16471508,0.0788871589420427,0.0748663101604278,10638.643367764946,-0.0280954014395133,-0.0277777777777777,-3788.917742731335,0.0280954014395133,0.0277777777777777,3788.917742731335,Scottsbluff-TP2-n225,14,20,n225,,28.75,187.73,,75.0,1414.31,80.0,1530.76,8.27,70.64,8.06,3.5,1.85,1.35,,211.0,B73 X MO17
Scottsbluff-TP2-n225_14_21,146.62878882834792,140.0,19887116,157.79091492232487,155.0,21401024,130.3342279306048,123.0,17677101,0.0710334178992581,0.0661896243291592,9634.191436258478,-0.0402569069506125,-0.0428015564202334,-5460.004032804625,0.0402569069506125,0.0428015564202334,5460.004032804625,Scottsbluff-TP2-n225,14,21,n225,,26.04,168.76,,78.0,1483.45,82.0,1573.4,9.07,72.28,7.86,3.93,1.05,1.3,,196.0,LH195 X PHZ51
Scottsbluff-TP2-n225_14_22,142.95379212974694,139.0,19744063,154.27546609709302,153.0,21307756,125.06052202874416,120.0,17272734,0.0737394432864317,0.0656660412757973,10184.523209505518,-0.0398246255267478,-0.0389610389610389,-5500.378154626773,0.0398246255267478,0.0389610389610389,5500.378154626773,Scottsbluff-TP2-n225,14,22,n225,,15.67,103.35,,74.0,1393.15,78.0,1483.45,7.6,71.41,8.69,4.17,0.42,1.03,,165.0,LH82 X W606S
Scottsbluff-TP2-n225_14_23,148.12411779732147,140.0,20295226,156.11184906762034,152.0,21389665,126.2523008429734,117.0,17298459,0.0695452762828234,0.0639730639730639,9528.74602989106,-0.0286707141354652,-0.0281124497991967,-3928.317897270767,0.0286707141354652,0.0281124497991967,3928.317897270767,Scottsbluff-TP2-n225,14,23,n225,,18.81,124.67,,74.0,1393.15,77.0,1459.11,7.7,72.35,8.05,4.15,1.78,1.37,,183.0,PHP02 X LH185
Scottsbluff-TP2-n225_14_24,142.77051822464668,136.0,19576979,152.57921413048234,148.0,20921967,122.1302198042619,114.0,16746740,0.0754953045151,0.0693069306930693,10352.067145719544,-0.0361069100632717,-0.0355731225296442,-4951.051721695946,0.0361069100632717,0.0355731225296442,4951.051721695946,Scottsbluff-TP2-n225,14,24,n225,,15.98,105.78,,77.0,1459.11,80.0,1530.76,8.65,72.26,8.47,4.03,1.19,1.27,,170.0,LH74 X PHM49
Scottsbluff-TP2-n225_14_25,142.23184512512046,136.0,19484056,152.70755102636727,150.0,20919102,126.4538280725319,119.0,17322657,0.0686817990854613,0.0613207547169811,9408.582293119183,-0.0388573593868683,-0.0381679389312977,-5322.991947688324,0.0388573593868683,0.0381679389312977,5322.991947688324,Scottsbluff-TP2-n225,14,25,n225,,28.75,186.79,,68.0,1263.61,72.0,1350.26,9.77,70.73,8.61,4.21,1.46,1.42,,175.0,PHP02 X LH198
Scottsbluff-TP2-n225_14_26,132.25387541918542,125.0,18180808,141.02111748830646,135.0,19386032,122.95769955408127,115.0,16902872,0.0542056071071639,0.0506912442396313,7451.590603414726,-0.0353523546573973,-0.0375,-4859.852842397755,0.0353523546573973,0.0375,4859.852842397755,Scottsbluff-TP2-n225,14,26,n225,,27.03,180.48,,73.0,1371.7,75.0,1414.31,10.66,71.18,8.64,3.72,2.26,1.56,,165.0,SYNGENTA NK0760-3111
Scottsbluff-TP2-n225_15_20,159.4593179304317,153.0,20615379,158.2358082655879,157.0,20457200,144.7095983230587,137.0,18708491,0.0232114841304865,0.0132547864506627,3000.850302841698,0.0010362456013206,0.0073349633251833,133.96894007554118,-0.0010362456013206,-0.0073349633251833,-133.96894007554118,Scottsbluff-TP2-n225,15,20,n225,,30.18,200.52,,73.0,1371.7,78.0,1483.45,8.87,71.58,8.07,3.9,1.35,1.35,,180.0,PIONEER 1311 AMXT
Scottsbluff-TP2-n225_15_21,154.4774109858651,149.0,20720982,160.42026003459176,159.0,21518132,142.1521366374426,136.0,19067719,0.0421133694042597,0.0378681626928471,5648.91891840978,-0.0205914660347705,-0.02,-2762.056888039983,0.0205914660347705,0.02,2762.056888039983,Scottsbluff-TP2-n225,15,21,n225,,28.12,190.52,,70.0,1309.51,75.0,1414.31,9.01,72.13,7.85,2.88,1.39,1.3,,180.0,HOEGEMEYER 7089 AMXT
Scottsbluff-TP2-n225_15_22,145.62224534190864,141.0,20015632,155.31581168287877,153.0,21348003,132.46813727273388,127.0,18207613,0.0574575146733261,0.0516129032258064,7897.477934334006,-0.0337330309545056,-0.0350877192982456,-4636.571371665843,0.0337330309545056,0.0350877192982456,4636.571371665843,Scottsbluff-TP2-n225,15,22,n225,,11.23,78.75,,73.0,1371.7,76.0,1437.65,9.02,69.7,9.73,3.42,1.62,1.3,,178.0,PHP02 X LH145
