file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum
Scottsbluff-TP1-n225_22_24,166.0974693795644,174.0,23175746,155.24323627007618,167.0,21661244,154.55695866868294,161.0,21565487,-0.015129798371298285,-0.03398058252427184,-2111.075896545621,0.03226950597964822,0.05032822757111598,4502.596438846296,-0.03226950597964822,-0.05032822757111598,-4502.596438846296
Scottsbluff-TP1-n225_22_25,149.76118718187683,152.0,20890188,144.94968814968814,155.0,20219032,139.847429923292,142.0,19507318,0.0009839966837404638,-0.018867924528301886,137.2576974149573,0.01470538348507646,0.03289473684210526,2051.2539423333155,-0.01470538348507646,-0.03289473684210526,-2051.2539423333155
Scottsbluff-TP1-n225_22_26,145.96814003183846,150.0,20355841,143.15721313121173,154.0,19963846,132.73498788130854,137.0,18510425,0.01617602991526239,-0.004878048780487805,2255.8120758030013,0.00661103170713405,0.025974025974025976,921.9348156866718,-0.00661103170713405,-0.025974025974025976,-921.9348156866718
Scottsbluff-TP1-n225_23_20,169.3639680631868,173.0,23673018,162.34744162087912,171.0,22692276,109.61561355311355,107.0,15321632,0.08520481680015131,0.06550218340611354,11909.58847305795,0.019891724317411364,0.03415745319184399,2780.3856581904906,-0.019891724317411364,-0.03415745319184399,-2780.3856581904906
Scottsbluff-TP1-n225_23_21,171.84021157204614,181.0,24008827,161.08688339202382,173.0,22506415,117.92246414154428,120.0,16475655,0.05934003060185935,0.0380818053596615,8290.75171556938,0.03312131032156444,0.043859649122807015,4627.576992887698,-0.03312131032156444,-0.043859649122807015,-4627.576992887698
Scottsbluff-TP1-n225_23_22,172.50020766201217,179.0,24089654,163.43553884711778,174.0,22823773,128.789201575367,130.0,17985412,0.04794461603785615,0.02871410736579276,6695.4656296866115,0.025479316444426397,0.04184100418410042,3558.1865414641466,-0.025479316444426397,-0.04184100418410042,-3558.1865414641466
Scottsbluff-TP1-n225_23_23,190.87428653274608,205.0,26652731,172.06744011171983,182.0,24026637,161.02061087836145,171.0,22484113,-0.009486753853057075,-0.019830028328611898,-1324.6828742716248,0.052189244328055356,0.05938242280285035,7287.44513174801,-0.052189244328055356,-0.05938242280285035,-7287.44513174801
Scottsbluff-TP1-n225_23_24,166.90824807267933,174.0,23295718,155.64861146934916,167.0,21724188,150.7080073367151,156.0,21034618,-0.009007558424158338,-0.02535211267605634,-1257.2029443766276,0.03446829139451634,0.048625792811839326,4810.8083665154345,-0.03446829139451634,-0.048625792811839326,-4810.8083665154345
Scottsbluff-TP1-n225_23_25,156.45551573363917,159.0,21827109,149.08329868826607,160.0,20798611,145.8608916923518,147.0,20349053,-0.00663699371323533,-0.026722925457102673,-925.9269929334608,0.023080238680682763,0.04234527687296417,3219.9240983420523,-0.023080238680682763,-0.04234527687296417,-3219.9240983420523
Scottsbluff-TP1-n225_23_26,150.69649529191557,152.0,21013270,145.481092361644,153.0,20286029,137.96830917735818,140.0,19238439,0.006905807384988923,-0.007849293563579277,962.9526875702404,0.014139069699121593,0.029490616621983913,1971.566017915214,-0.014139069699121593,-0.029490616621983913,-1971.566017915214
Scottsbluff-TP1-n225_24_20,164.3933286109859,168.0,22975776,159.33688940405406,168.0,22269083,102.90099527049749,101.0,14381546,0.0975570895416405,0.08163265306122448,13634.676391429217,0.013610278963795696,0.028720626631853787,1902.1861982590503,-0.013610278963795696,-0.028720626631853787,-1902.1861982590503
Scottsbluff-TP1-n225_24_21,173.8341048113039,183.0,24297662,164.26195671615096,176.0,22959715,115.51648005723484,120.0,16146316,0.07076264756140217,0.04424778761061947,9890.84906289499,0.028800738189066127,0.04265402843601896,4025.6231803767178,-0.028800738189066127,-0.04265402843601896,-4025.6231803767178
Scottsbluff-TP1-n225_24_22,157.2711980923328,160.0,21962451,154.58090757409755,163.0,21586760,107.32404562933682,107.0,14987481,0.08664379693883337,0.07539118065433854,12099.546311117263,0.006349286155444229,0.02145922746781116,886.6587637493202,-0.006349286155444229,-0.02145922746781116,-886.6587637493202
Scottsbluff-TP1-n225_24_23,171.62893397016808,179.0,23967809,161.13599094873575,171.0,22502480,134.29677262279,138.0,18754410,0.030755450066628963,0.004405286343612335,4294.967846354668,0.03156136731358035,0.04716981132075472,4407.513383974182,-0.03156136731358035,-0.04716981132075472,-4407.513383974182
Scottsbluff-TP1-n225_24_24,166.3884366221407,176.0,23218508,155.2814309465115,167.0,21668592,146.6105601100728,154.0,20458624,-0.0016117337369596274,-0.022696929238985315,-224.90777259029426,0.03345599566632019,0.050359712230215826,4668.5834592609845,-0.03345599566632019,-0.050359712230215826,-4668.5834592609845
Scottsbluff-TP1-n225_24_25,154.07348029870855,158.0,21498489,146.39624750956756,158.0,20427254,142.71028566514255,146.0,19912937,-0.006132447999942302,-0.028112449799196786,-855.6849992239491,0.02423948680906623,0.04559270516717325,3382.232552416247,-0.02423948680906623,-0.04559270516717325,-3382.232552416247
Scottsbluff-TP1-n225_24_26,146.97930198878709,152.0,20500967,141.88458008918712,152.0,19790345,133.65254298045625,138.0,18642124,0.006451707489024457,-0.013157894736842105,899.8970639841093,0.016125985912490617,0.03428571428571429,2249.284767046016,-0.016125985912490617,-0.03428571428571429,-2249.284767046016
Scottsbluff-TP1-n225_25_20,168.05580893286057,174.0,23508991,160.6265369438408,171.0,22469725,105.96294178199703,106.0,14822944,0.08834131022863208,0.06735751295336788,12357.889205262883,0.021736966417635766,0.0371900826446281,3040.740758230232,-0.021736966417635766,-0.0371900826446281,-3040.740758230232
Scottsbluff-TP1-n225_25_21,174.137518074704,184.0,24326663,165.43227533679794,178.0,23110558,116.46941974831422,121.0,16270545,0.07257191990902989,0.04504504504504504,10138.152067451658,0.025691125621396037,0.04128440366972477,3588.9988670577836,-0.025691125621396037,-0.04128440366972477,-3588.9988670577836
Scottsbluff-TP1-n225_25_22,163.97466805053506,168.0,22908081,158.21536809706166,167.0,22103478,112.83152356751727,113.0,15763128,0.07384768099151713,0.056910569105691054,10316.890272919902,0.017179257432981477,0.031446540880503145,2400.028159674677,-0.017179257432981477,-0.031446540880503145,-2400.028159674677
Scottsbluff-TP1-n225_25_23,171.2843291704858,180.0,23919514,162.200031507791,173.0,22650910,131.91804393904675,136.0,18422091,0.037835766666095304,0.012106537530266344,5283.689143386877,0.02849313477184569,0.04583333333333333,3979.009284618707,-0.02849313477184569,-0.04583333333333333,-3979.009284618707
Scottsbluff-TP1-n225_25_24,170.7269985241227,181.0,23829733,158.87881328002982,171.0,22175987,149.98231813036438,158.0,20934232,-0.003322985048352038,-0.022727272727272728,-463.81560707888076,0.03585546649315292,0.050397877984084884,5004.634302181298,-0.03585546649315292,-0.050397877984084884,-5004.634302181298
Scottsbluff-TP1-n225_25_25,167.59589399511123,175.0,23380130,155.14153100650165,166.0,21642709,153.48145918008933,159.0,21411124,-0.016243004582199034,-0.03431372549019608,-2265.9478682305116,0.037935771134770306,0.05398457583547558,5292.153880613862,-0.037935771134770306,-0.05398457583547558,-5292.153880613862
Scottsbluff-TP1-n225_25_26,154.44070615050495,159.0,21547104,145.10975006630017,154.0,20245277,140.10007382612872,144.0,19546342,-0.005728205289343471,-0.023622047244094488,-799.1820173533331,0.029428208206358147,0.04864864864864865,4105.73532432647,-0.029428208206358147,-0.04864864864864865,-4105.73532432647
Scottsbluff-TP1-n225_26_20,166.71987570079406,170.0,23284598,159.09767798199954,168.0,22220059,107.21360703980295,105.0,14973774,0.08571919150808853,0.06358381502890173,11971.79944359417,0.022172599403845562,0.036885245901639344,3096.6917505392826,-0.022172599403845562,-0.036885245901639344,-3096.6917505392826
Scottsbluff-TP1-n225_26_21,169.9684796530973,178.0,23753265,161.6167540840495,173.0,22586103,111.69442794684832,114.0,15609408,0.07733541304760568,0.05322128851540616,10807.70130881594,0.025186569293038117,0.03966597077244259,3519.8482452713697,-0.025186569293038117,-0.03966597077244259,-3519.8482452713697
Scottsbluff-TP1-n225_26_22,163.9810057783626,168.0,22929792,156.3970407345958,165.0,21869311,107.09390554379542,107.0,14975155,0.07888851637879678,0.061488673139158574,11031.139022279911,0.02328824341231205,0.037037037037037035,3256.4416528304187,-0.02328824341231205,-0.037037037037037035,-3256.4416528304187
Scottsbluff-TP1-n225_26_23,169.70883574394958,177.0,23701536,157.96679793784907,168.0,22061643,119.98005155377345,122.0,16756414,0.04941409862324271,0.030303030303030304,6901.1730137220775,0.03704014192381289,0.04838709677419355,5173.026221079709,-0.03704014192381289,-0.04838709677419355,-5173.026221079709
Scottsbluff-TP1-n225_26_24,175.2085335204531,186.0,24469799,160.7322516665354,172.0,22448027,138.01888143433027,145.0,19275855,0.016139392070748677,-0.0012300123001230013,2254.043635992831,0.04439388711622228,0.0546448087431694,6200.09466853872,-0.04439388711622228,-0.0546448087431694,-6200.09466853872
Scottsbluff-TP1-n225_26_25,168.49011263004041,175.0,23516502,154.14725732955034,163.0,21514641,146.192624595191,150.0,20404397,-0.008254781470555925,-0.025522041763341066,-1152.1363594084316,0.04435181926387587,0.05759162303664921,6190.272118297684,-0.04435181926387587,-0.05759162303664921,-6190.272118297684
Scottsbluff-TP1-n225_26_26,146.88913035682268,150.0,20480017,138.41646763492918,147.0,19298716,131.13444504213734,134.0,18283420,-0.00044563638383070524,-0.019830028328611898,-62.13285281559608,0.028035228279410525,0.046357615894039736,3908.811702856812,-0.028035228279410525,-0.046357615894039736,-3908.811702856812
Scottsbluff-TP1-n225_27_20,171.49731251965576,178.0,23993846,159.9994067530091,168.0,22385197,109.58246133173228,110.0,15331463,0.0744677165962407,0.04871060171919771,10418.629293546843,0.03363388757338666,0.04714640198511166,4705.6499426173805,-0.03363388757338666,-0.04714640198511166,-4705.6499426173805
Scottsbluff-TP1-n225_27_21,189.9620426992812,204.0,26559543,171.6045560204556,183.0,23992891,127.21209455351715,137.0,17786159,0.04435278826346502,0.022809123649459785,6201.185091056362,0.05300648731550316,0.05694760820045558,7411.102024017075,-0.05300648731550316,-0.05694760820045558,-7411.102024017075
Scottsbluff-TP1-n225_27_22,162.9177537840276,167.0,22754071,153.26683659587874,161.0,21406166,98.74756204086893,98.0,13791677,0.08662267023425572,0.06806282722513089,12098.24186093756,0.03094002991310352,0.04390243902439024,4321.270217843517,-0.03094002991310352,-0.04390243902439024,-4321.270217843517
Scottsbluff-TP1-n225_27_23,167.88363068816403,177.0,23449314,154.46949368538617,166.0,21575681,105.28304791087946,108.0,14705515,0.06827137588797147,0.04516129032258064,9535.872698528303,0.04400138226710466,0.0547945205479452,6145.937069540111,-0.04400138226710466,-0.0547945205479452,-6145.937069540111
Scottsbluff-TP1-n225_27_24,196.9436262752819,213.0,27508101,176.68980848398067,187.0,24679149,143.4076821192053,157.0,20030468,0.024983479262970825,0.0045385779122541605,3489.56746605545,0.05354872570055874,0.06140350877192982,7479.418262225542,-0.05354872570055874,-0.06140350877192982,-7479.418262225542
Scottsbluff-TP1-n225_27_25,167.1140857292436,174.0,23302221,150.5467910699302,159.0,20992094,127.06609341719319,129.0,17717969,0.015731441196999006,-0.0011890606420927466,2193.5764290683446,0.053477993223080354,0.06280193236714976,7456.917897033101,-0.053477993223080354,-0.06280193236714976,-7456.917897033101
Scottsbluff-TP1-n225_27_26,152.3602435473576,156.0,21244960,139.2687626847582,148.0,19419497,117.23816866156527,118.0,16347573,0.020897732811237985,0.004622496147919877,2913.9589654662136,0.04400192352448839,0.05970149253731343,6135.5842143311365,-0.04400192352448839,-0.05970149253731343,-6135.5842143311365
Scottsbluff-TP1-n225_3_20,165.08252166247394,172.0,23033469,152.77853032029643,162.0,21316730,156.19248604212805,162.0,21793069,-0.02607081624445815,-0.04,-3637.582778140512,0.03895201303039787,0.053691275167785234,5434.857522092324,-0.03895201303039787,-0.053691275167785234,-5434.857522092324
Scottsbluff-TP1-n225_3_21,159.84393751478612,164.0,22296471,151.66931442622715,160.0,21156201,155.27309680333215,159.0,21658889,-0.019272480136092816,-0.03549571603427173,-2688.298981703451,0.02496832651348607,0.04308390022675737,3482.806897039658,-0.02496832651348607,-0.04308390022675737,-3482.806897039658
Scottsbluff-TP1-n225_3_22,168.63352794353912,174.0,23511561,156.5968914964425,164.0,21833365,160.52329584576543,164.0,22380800,-0.02503457709610638,-0.037037037037037035,-3490.4208770475357,0.03659191100238452,0.04960835509138381,5101.790599596459,-0.03659191100238452,-0.04960835509138381,-5101.790599596459
Scottsbluff-TP1-n225_3_23,164.7807984272533,172.0,22966159,157.5470819521575,168.0,21957967,157.43460760256576,163.0,21942291,-0.011223849584150894,-0.032679738562091505,-1564.3128119414466,0.02177315502766516,0.04365904365904366,3034.6117088258043,-0.02177315502766516,-0.04365904365904366,-3034.6117088258043
Scottsbluff-TP1-n225_3_24,172.83750107662715,181.0,24080412,159.9303996439953,169.0,22282143,164.77401596279176,171.0,22956975,-0.0272580267525553,-0.041916167664670656,-3797.6973192730147,0.03849202064761256,0.05353319057815846,5362.862284707972,-0.03849202064761256,-0.05353319057815846,-5362.862284707972
Scottsbluff-TP1-n225_3_25,168.45606904871323,177.0,23459866,156.37293916590073,166.0,21777121,161.2091567095588,168.0,22450632,-0.027083798294716552,-0.044472681067344345,-3771.798085715406,0.03732443358173205,0.05413105413105413,5197.949918326332,-0.03732443358173205,-0.05413105413105413,-5197.949918326332
Scottsbluff-TP1-n225_3_26,163.71334477780252,169.0,22792663,151.09301624013273,160.0,21035623,154.99660257285075,158.0,21579092,-0.027587260063892276,-0.043115438108484005,-3840.7811078752743,0.040732120259064156,0.05413105413105413,5670.847978827689,-0.040732120259064156,-0.05413105413105413,-5670.847978827689
Scottsbluff-TP1-n225_4_20,162.2105232987238,165.0,22637614,154.6969983590934,162.0,21589049,143.99532807383363,146.0,20095556,0.006003146712308349,-0.004392386530014641,837.7811457296162,0.02240936887308613,0.03529411764705882,3127.3842918212813,-0.02240936887308613,-0.03529411764705882,-3127.3842918212813
Scottsbluff-TP1-n225_4_21,169.92494516050408,177.0,23704190,159.76743752598603,169.0,22287238,154.9819352248778,161.0,21619670,-0.008368862181369134,-0.022222222222222223,-1167.4395365766316,0.030144768279466688,0.04656319290465632,4205.134885449044,-0.030144768279466688,-0.04656319290465632,-4205.134885449044
