,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
465,Crawfordsville-TP5-4353_32_45,919.509708737864,904.0,189419,712.6456310679612,709.5,146805,610.5922330097087,602.5,125782,-0.0314933262008678,-0.0347287418994516,-6.487625197378781,-0.1177484294212516,-0.1252269005310926,-24.25617646077784,0.2440206033257489,0.233016203551389,50.268244285104274,0.1101612678513699,0.1163954161361268,22.693221177382203,1176.868932038835,1167.0,242435,514.0436893203884,509.5,105893,Crawfordsville-TP5-4353,32,45,27500.0,17.05,153.19,55.0,,,,,,,,,,,5.45,224.0,Crawfordsville,TP5,4353
466,Crawfordsville-TP5-4353_32_46,1018.9365853658536,1021.0,208882,766.4926829268293,765.0,157131,633.6682926829268,630.0,129902,-0.0347651572539435,-0.0379905808477237,-7.126857237058426,-0.1365283883872444,-0.1412680756395995,-27.988319619385106,0.2395470011094295,0.2353200883002207,49.107135227433055,0.1166506118458521,0.1181212758499824,23.91337542839968,1292.2146341463415,1292.0,264904,537.9707317073171,536.0,110284,Crawfordsville-TP5-4353,32,46,29500.0,15.43,138.31,59.0,,,,,,,,,,,0.0,248.0,Crawfordsville,TP5,4353
467,Crawfordsville-TP5-4353_33_42,966.9253731343284,960.0,194352,747.7910447761194,735.0,150306,622.9950248756219,621.0,125222,-0.0271935586882616,-0.0303390838786436,-5.465905296340594,-0.1205888817380929,-0.1272247857613711,-24.23836522935668,0.2541153593369826,0.2470881863560732,51.07718722673351,0.1164198356504206,0.1208129469326307,23.40038696573454,1257.1592039800994,1239.0,252689,534.4328358208955,528.0,107421,Crawfordsville-TP5-4353,33,42,31500.0,19.94,179.36,63.0,,,,,,,,,,,0.0,202.0,Crawfordsville,TP5,4353
468,Crawfordsville-TP5-4353_33_43,1069.67,1064.0,213934,820.745,814.0,164149,667.76,664.0,133552,-0.0251091871941889,-0.026858752285528,-5.021837438837786,-0.125539966735056,-0.1313404407363944,-25.1079933470112,0.2344599287647401,0.2280170456853732,46.89198575294802,0.1094120899648945,0.1119370508905392,21.8824179929789,1356.01,1346.5,271202,562.755,559.5,112551,Crawfordsville-TP5-4353,33,43,31500.0,15.39,138.27,63.0,,,,,,,,,,,3.17,234.0,Crawfordsville,TP5,4353
469,Crawfordsville-TP5-4353_33_44,919.9423076923076,930.5,191348,724.9615384615385,732.5,150792,603.7692307692307,611.0,125584,-0.0224611350807683,-0.025427016849789,-4.6719160967998095,-0.1137945065940241,-0.1179156694332843,-23.669257371557016,0.243859476717332,0.2417683137725103,50.722771157205074,0.1109842554348029,0.114681666548371,23.084725130439008,1192.0961538461538,1206.0,247956,529.5961538461538,531.5,110156,Crawfordsville-TP5-4353,33,44,24500.0,17.38,157.98,49.0,,,,,,,,,,,10.2,223.0,Crawfordsville,TP5,4353
470,Crawfordsville-TP5-4353_33_45,1043.691943127962,1042.0,220219,788.3601895734597,784.0,166344,642.8151658767772,638.0,135634,-0.0298676996750925,-0.03485254691689,-6.302084631444526,-0.1323717375132674,-0.1396743787489288,-27.93043661529942,0.2675989004662958,0.2601904761904762,56.46336799838843,0.1271287881051172,0.1312017640573318,26.824174290179737,1365.056872037915,1372.0,288027,550.3696682464455,550.0,116128,Crawfordsville-TP5-4353,33,45,31500.0,20.56,179.1,63.0,,,,,,,,,,,1.59,219.0,Crawfordsville,TP5,4353
471,Crawfordsville-TP5-4353_33_46,957.5970873786408,960.5,197265,740.9514563106796,737.5,152636,616.3009708737864,613.0,126958,-0.026022072617695,-0.0288697897624607,-5.360546959245184,-0.1205784259846481,-0.1265718873728569,-24.83915575283752,0.2574964189663263,0.2509572934354275,53.04426230706324,0.123346269926208,0.125799936712395,25.409331604798847,1240.4029126213593,1237.0,255523,528.6310679611651,530.5,108898,Crawfordsville-TP5-4353,33,46,26000.0,17.83,162.26,52.0,,,,,,,,,,,1.92,225.0,Crawfordsville,TP5,4353
472,Crawfordsville-TP5-4353_34_42,937.5291262135922,912.0,193131,737.7281553398059,721.0,151972,612.8495145631068,605.5,126247,-0.0214582671205116,-0.0237312137384937,-4.420403026825399,-0.1131482946570455,-0.1176850316195407,-23.308548699351373,0.2452819461498109,0.241029841462709,50.52808090686106,0.1143302322904496,0.1158443510564893,23.552027851832623,1206.2184466019417,1186.0,248481,531.0194174757281,523.5,109390,Crawfordsville-TP5-4353,34,42,27500.0,18.95,173.25,55.0,,,,,,,,,,,0.0,206.0,Crawfordsville,TP5,4353
473,Crawfordsville-TP5-4353_34_43,1005.072463768116,987.0,208050,775.024154589372,765.0,160430,644.903381642512,629.0,133495,-0.028465375827745,-0.0303951367781155,-5.892332796343224,-0.1239576555420215,-0.1268343815513626,-25.659234697198453,0.2337892832609172,0.2299922299922299,48.39438163500986,0.1096799244802726,0.1119186046511628,22.70374436741644,1276.106280193237,1260.0,264154,542.6231884057971,536.0,112323,Crawfordsville-TP5-4353,34,43,23500.0,19.89,181.42,47.0,,,,,,,,,,,12.77,221.0,Crawfordsville,TP5,4353
474,Crawfordsville-TP5-4353_34_44,960.6666666666666,934.0,195976,755.8578431372549,737.5,154195,637.3284313725491,618.0,130015,-0.0242101057995715,-0.0269707908109173,-4.93886158311259,-0.1121833399750155,-0.1170772193206568,-22.88540135490317,0.2387128244912708,0.2328098832177741,48.69741619621925,0.1109974859290137,0.1144113321893356,22.643487129518803,1223.014705882353,1201.0,249495,554.4754901960785,538.0,113113,Crawfordsville-TP5-4353,34,44,31000.0,13.6,123.48,62.0,,,,,,,,,,,3.23,216.0,Crawfordsville,TP5,4353
