file,RedMean,RedMedian,RedSum,GreenMean,GreenMedian,GreenSum,BlueMean,BlueMedian,BlueSum,GLIMean,GLIMedian,GLIsum,NGRDIMean,NGRDIMedian,NGRDISum
CrawfordsvilleV2-TP2-4351_15_14,82.442121004033,81.0,23651243,111.97836748779119,115.0,32124690,72.09791099507464,72.0,20683665,0.1893944588268117,0.1872791519434629,54334.050531612214,,0.2097560975609756,
CrawfordsvilleV2-TP2-4351_15_15,80.56529179678786,81.0,23115149,110.92577166517957,114.0,31825935,69.56625376422039,69.0,19959393,0.19409335648631232,0.1950207468879668,55687.71309620084,,0.1864406779661017,
CrawfordsvilleV2-TP2-4351_15_16,67.0382031715709,63.0,19230646,96.44070473155989,96.0,27665077,59.155740933762345,55.0,16969475,0.20822883859641983,0.21212121212121213,59732.732868607585,,0.2032520325203252,
CrawfordsvilleV2-TP2-4351_15_17,78.68384055343245,78.0,22565896,108.4864849786605,111.0,31113056,68.53875282434656,68.0,19656366,0.19503152415421993,0.19391634980988592,55933.48087523704,,0.2,
CrawfordsvilleV2-TP2-4351_15_18,73.62020063950791,72.0,21113022,99.80431545802924,100.0,28622181,63.239191304923935,61.0,18135925,0.1897149995131059,0.1894273127753304,54407.03670536704,,0.1797752808988764,
CrawfordsvilleV2-TP2-4351_15_19,61.384023179673854,56.0,17605122,82.30895074319307,77.0,23606454,56.21594265053015,48.0,16122901,0.16520452306793743,0.18128654970760233,47381.152829453655,,0.17592592592592593,
CrawfordsvilleV2-TP2-4351_15_20,74.75362455314325,73.0,21433733,100.50472752637545,103.0,28817218,66.37026767808877,66.0,19030015,0.17897088323179844,0.1773049645390071,51315.42649463741,,0.18699186991869918,
CrawfordsvilleV2-TP2-4351_16_13,75.36176001337671,72.0,21633799,106.96294231988463,108.0,30705424,66.11662126479625,63.0,18979834,0.21668815731008725,0.20952380952380953,62203.80256637751,,0.22709163346613545,
CrawfordsvilleV2-TP2-4351_16_14,85.5081445930838,84.0,24551355,116.74060245957307,120.0,33518912,72.50588075493778,72.0,20818106,0.2034221399292031,0.1984732824427481,58407.17508289258,,0.21658986175115208,
CrawfordsvilleV2-TP2-4351_16_15,90.09953773857671,90.0,25864604,117.37022367600595,122.0,33693118,77.32408113785283,78.0,22197192,0.1756419827533904,0.1701720841300191,50421.01706306753,,0.20574162679425836,
CrawfordsvilleV2-TP2-4351_16_16,82.91860388151316,82.0,23802034,112.294680773237,116.0,32234525,68.85730509696816,68.0,19765696,0.19685478920238345,0.19597989949748743,56507.75780491177,,0.2054794520547945,
CrawfordsvilleV2-TP2-4351_16_17,83.37647882857611,83.0,23926298,110.8394588924859,114.0,31807267,71.8603288879906,71.0,20621543,0.1852875888713569,0.1799163179916318,53171.423515646675,,0.20496894409937888,
CrawfordsvilleV2-TP2-4351_16_18,74.3234421882024,68.0,21327632,99.82624922897855,97.0,28645841,61.62570350261537,56.0,17683927,0.20267720520001342,0.1963302752293578,58159.64277258025,,0.20567375886524822,
CrawfordsvilleV2-TP2-4351_16_19,79.82418708395775,77.0,22903954,104.93011884431743,108.0,30107599,68.1089359774161,68.0,19542497,0.18186762922713823,0.17884130982367757,52183.27885414277,,0.18487394957983194,
CrawfordsvilleV2-TP2-4351_16_20,66.15747252211125,64.0,18984416,95.44456680071649,96.0,27388582,59.479972678928625,58.0,17068254,0.2146752657100813,0.2119304141543936,61602.78489763351,,0.2077922077922078,
CrawfordsvilleV2-TP2-4351_17_13,77.34342369058558,74.0,22221075,102.36908988388606,101.0,29411049,64.55821708016596,61.0,18547834,0.19370472810927966,0.1861198738170347,55652.14320470848,,0.19540229885057472,
CrawfordsvilleV2-TP2-4351_17_14,80.72623654866148,69.0,23195231,102.78763938579762,99.0,29534178,75.77108710481255,59.0,21771458,0.16198258085097547,0.18309859154929578,46542.77892107249,,0.19642857142857142,
CrawfordsvilleV2-TP2-4351_17_15,75.89378587315565,74.0,21804057,104.80216291851289,105.0,30109347,64.46931572553838,61.0,18521841,0.20183796981462454,0.20082815734989648,57987.443213832186,,0.2032520325203252,
CrawfordsvilleV2-TP2-4351_17_16,83.79315651308048,83.0,24067238,113.30359791380883,117.0,32543286,75.65330301996366,75.0,21729293,0.18051670149410654,0.17647058823529413,51848.36803654027,,0.2,
CrawfordsvilleV2-TP2-4351_17_17,80.34660738718853,80.0,23077715,107.64222026480797,110.0,30917752,71.33420952765583,70.0,20489111,0.17743532353451744,0.17551020408163265,50964.21567284884,,0.18614718614718614,
CrawfordsvilleV2-TP2-4351_17_18,72.94599600976319,70.0,20950163,102.85994825923308,104.0,29541480,64.66366064185013,62.0,18571468,0.20530254482775606,0.2,58963.09617707637,,0.20952380952380953,
CrawfordsvilleV2-TP2-4351_17_19,72.75837413890379,71.0,20891403,102.94826109064061,105.0,29559946,64.0379996795921,63.0,18387487,0.20575594374186243,0.20454545454545456,59079.52715037593,,0.2,
CrawfordsvilleV2-TP2-4351_17_20,75.404030693459,72.0,21648271,101.64966196094004,102.0,29183313,64.78039477946479,64.0,18598257,0.1901873796738694,0.18811881188118812,54602.22614222888,,0.19170984455958548,
CrawfordsvilleV2-TP2-4351_18_13,79.64574137649174,77.0,22898071,103.83270550506262,104.0,29851799,65.96371813467178,63.0,18964503,0.18698988194413885,0.1791044776119403,53759.40406905797,,0.19318181818181818,
CrawfordsvilleV2-TP2-4351_18_14,80.48679712468397,78.0,23144059,110.35178107535707,111.0,31731765,70.04107793052363,67.0,20140382,0.19623186299832035,0.1925925925925926,56426.66843703001,,0.20855614973262032,
CrawfordsvilleV2-TP2-4351_18_15,83.10340509459756,81.0,23890650,110.55749075591082,113.0,31783178,70.09467408280895,69.0,20150887,0.1885528895783362,0.18518518518518517,54205.37324886967,,0.2,
CrawfordsvilleV2-TP2-4351_18_16,66.36502685478933,62.0,19078087,94.03155785606945,92.0,27031440,55.13378346412868,50.0,15849419,0.2174156756318701,0.21797004991680533,62500.91910524496,,0.2,
CrawfordsvilleV2-TP2-4351_18_17,80.2606949871434,79.0,23067004,109.48750352295225,112.0,31466818,71.18619281074179,70.0,20458983,0.18882285372077137,0.18598382749326145,54267.876982203416,,0.2073732718894009,
CrawfordsvilleV2-TP2-4351_18_18,86.2612967353575,86.0,24776746,115.40595134892368,120.0,33147936,72.91262372532022,74.0,20942620,0.1993579812255237,0.1891891891891892,57261.39358942595,,0.21774193548387097,
CrawfordsvilleV2-TP2-4351_18_19,69.78162179848653,68.0,20047283,97.00922425736026,97.0,27869392,62.00148980458498,61.0,17812160,0.19225141270325777,0.1917808219178082,55231.139349868114,,0.1834319526627219,
CrawfordsvilleV2-TP2-4351_18_20,68.89724029928658,68.0,19797622,95.11106316338959,98.0,27330164,62.30092222028885,62.0,17902170,0.18652593387443137,0.18566775244299674,53598.22709881785,,0.184,
CrawfordsvilleV2-TP2-4351_19_13,75.20137346692663,73.0,21638368,102.35935691720621,102.0,29452779,63.60144088913911,60.0,18300615,0.19701747849069465,0.1950207468879668,56689.612243433985,,0.2033898305084746,
CrawfordsvilleV2-TP2-4351_19_14,80.96425505590253,81.0,23296088,108.41731396815798,112.0,31195239,70.25399241658064,70.0,20214392,0.18241396926851558,0.18010291595197256,52486.51861953779,,0.18840579710144928,
CrawfordsvilleV2-TP2-4351_19_15,71.95644678625177,71.0,20703093,100.47908882686806,102.0,28909542,63.76003503442619,63.0,18344846,0.19798520264557112,0.1958762886597938,56963.708549575786,,0.18627450980392157,
CrawfordsvilleV2-TP2-4351_19_16,72.88958985053875,69.0,20970335,105.07050747306222,105.0,30228785,62.64706291275634,59.0,18023560,0.22405138141919198,0.22181818181818183,64459.582434301534,,0.2222222222222222,
CrawfordsvilleV2-TP2-4351_19_17,65.36799221018588,62.0,18796893,96.0183860478865,95.0,27610567,57.41109005233781,54.0,16508846,0.22642201159799777,0.22334004024144868,65108.78154506225,,0.21649484536082475,
CrawfordsvilleV2-TP2-4351_19_18,80.24138110903236,79.0,23074693,106.48634400450679,109.0,30621852,67.1657671630165,66.0,19314591,0.18876746307115713,0.18518518518518517,54283.10428552037,,0.18435754189944134,
CrawfordsvilleV2-TP2-4351_19_19,64.43686547119526,64.0,18520315,91.2385445587959,92.0,26223600,58.08308804598181,57.0,16694125,0.19739113925397758,0.19791666666666666,56733.76646209973,,0.18072289156626506,
CrawfordsvilleV2-TP2-4351_19_20,61.98588704069428,59.0,17827637,85.78427929682067,85.0,24672245,54.37846304692498,53.0,15639681,0.19390439291757303,0.19322033898305085,55768.454638237345,,0.17592592592592593,
CrawfordsvilleV2-TP2-4351_20_13,75.79668758922772,73.0,21820881,105.47238673507313,107.0,30364129,65.7600968435532,63.0,18931477,0.20887685651691015,0.20388349514563106,60132.93159208371,,0.22448979591836735,
CrawfordsvilleV2-TP2-4351_20_14,67.79391815627615,60.0,19520513,92.5300532404433,89.0,26643011,62.35748891258218,51.0,17955153,0.18595981006915155,0.19934102141680396,53545.08175150143,,0.2,
CrawfordsvilleV2-TP2-4351_20_15,70.41662933211084,67.0,20275553,101.29373439328742,102.0,29166214,63.38861973278877,61.0,18251929,0.2092118862871777,0.20892494929006086,60239.84290187109,,0.21030042918454936,
CrawfordsvilleV2-TP2-4351_20_16,71.60028897618378,70.0,20614654,102.02633087078388,103.0,29374707,61.91987162788759,59.0,17827536,0.21336886470269484,0.21212121212121213,61431.66994314698,,0.20202020202020202,
CrawfordsvilleV2-TP2-4351_20_17,82.66535787377909,81.0,23790842,111.10168278335077,114.0,31974731,73.24908181808705,73.0,21080866,0.18178358847266374,0.17865429234338748,52316.77141166721,,0.2019704433497537,
CrawfordsvilleV2-TP2-4351_20_18,86.28304575726818,85.0,24822942,115.12727500243315,120.0,33121196,76.1325827621206,77.0,21902735,0.17796585269070597,0.17551020408163265,51199.35209229458,,0.20710059171597633,
CrawfordsvilleV2-TP2-4351_20_19,56.215064447764306,51.0,16180382,77.12060591321266,71.0,22197624,52.25156863426328,44.0,15039569,0.1741159542911951,0.1870967741935484,50115.79512363469,,0.17647058823529413,
CrawfordsvilleV2-TP2-4351_20_20,73.90920240709342,69.0,21272251,98.6667176251494,99.0,28397860,63.3487957584012,62.0,18232797,0.1879212067226313,0.18620689655172415,54086.73003408085,,0.19480519480519481,
CrawfordsvilleV2-TP2-4351_21_13,75.8711026576378,73.0,21859451,100.47030852478021,100.0,28946802,62.513256951265646,59.0,18010882,0.19745768101579347,0.18811881188118812,56890.12485050331,,0.19069767441860466,
CrawfordsvilleV2-TP2-4351_21_14,73.32258523466643,71.0,21129736,103.49323154333304,103.0,29824162,64.25224603105752,61.0,18515891,0.2105246514396365,0.20634920634920634,60667.94142861725,,0.21052631578947367,
CrawfordsvilleV2-TP2-4351_21_15,70.7109683554408,67.0,20374517,100.00392867306638,99.0,28814932,62.793349020261125,60.0,18093150,0.2033593933281384,0.20113314447592068,58595.568874783145,,0.1951219512195122,
CrawfordsvilleV2-TP2-4351_21_16,64.61496572668113,63.0,18617187,94.62075140997831,96.0,27262604,56.13996008676789,54.0,16175326,0.22105230261684525,0.22077922077922077,63690.69469147854,,0.2,
CrawfordsvilleV2-TP2-4351_21_17,83.60594731013701,83.0,24083780,108.44456594564383,111.0,31238867,73.12558363968994,73.0,21064775,0.1633867146640075,0.16312056737588654,47065.66718625799,,0.18421052631578946,
CrawfordsvilleV2-TP2-4351_21_18,78.51578014184398,78.0,22584279,107.16050618829092,111.0,30823648,68.29410721735503,68.0,19644117,0.19197965270996226,0.18796992481203006,55221.027305493546,,0.19230769230769232,
CrawfordsvilleV2-TP2-4351_21_19,62.89213298634789,62.0,18076960,87.9250525348957,88.0,25272122,55.72676287626815,53.0,16017432,0.19533268942485024,0.19553072625698323,56144.08425600586,,0.17567567567567569,
CrawfordsvilleV2-TP2-4351_21_20,59.63822023158516,57.0,17176702,87.31516761279795,87.0,25148078,54.8002083224832,53.0,15783282,0.21381398157978712,0.21311475409836064,61581.63390470239,,0.20224719101123595,
CrawfordsvilleV2-TP2-4351_22_13,75.84223740333599,73.0,21870626,104.22503034296217,105.0,30055372,64.7685404168256,63.0,18677304,0.2034630214930464,0.1989389920424403,58672.631507949794,,0.20408163265306123,
CrawfordsvilleV2-TP2-4351_22_14,78.35979289202086,77.0,22595203,106.57745394517812,110.0,30731822,67.10085589834647,67.0,19348666,0.19209017121003236,0.19096509240246407,55389.58504875525,,0.19170984455958548,
CrawfordsvilleV2-TP2-4351_22_15,89.51055323427937,90.0,25814396,113.91473153140657,119.0,32852439,74.8460826297266,76.0,21585236,0.1689682028428107,0.16363636363636364,48729.58485885239,,0.18840579710144928,
CrawfordsvilleV2-TP2-4351_22_16,65.12946623660389,62.0,18778779,96.31923143620158,96.0,27771724,58.134502132972635,55.0,16761921,0.22100615192038287,0.22270742358078602,63722.70378320399,,0.21608040201005024,
CrawfordsvilleV2-TP2-4351_22_17,75.16609428660631,72.0,21668130,102.23428383113054,102.0,29471077,64.94065286016581,63.0,18720442,0.1909572952888439,0.189873417721519,55047.25951291503,,0.19672131147540983,
CrawfordsvilleV2-TP2-4351_22_18,72.25097712520393,70.0,20814784,101.8326356346975,103.0,29336964,63.862442292339196,62.0,18398131,0.20765790094339567,0.2038095238095238,59824.16468278286,,0.21161825726141079,
CrawfordsvilleV2-TP2-4351_22_19,55.00460154125586,52.0,15838410,80.36726550372117,78.0,23141513,50.60749026730613,47.0,14572275,0.20682116855575944,0.20739219712525667,59553.53502212527,,0.19480519480519481,
CrawfordsvilleV2-TP2-4351_22_20,39.745395878148635,36.0,11455418,61.53425161335091,57.0,17735402,33.72247588647561,30.0,9719492,0.24677661085457525,0.25,71125.95478050568,,0.21428571428571427,
CrawfordsvilleV2-TP2-4351_23_13,68.78390610218007,64.0,19848903,96.31116301473824,95.0,27792416,58.303837210511176,54.0,16824680,0.21526260035609376,0.20857699805068225,62118.113322157624,,0.2018348623853211,
CrawfordsvilleV2-TP2-4351_23_14,77.94703503622824,76.0,22494501,108.64668886678888,111.0,31354022,66.40605779193103,64.0,19163925,0.2072178603540431,0.20502092050209206,59800.38066599224,,0.20491803278688525,
CrawfordsvilleV2-TP2-4351_23_15,83.18927030445857,83.0,24003848,113.04589232182155,117.0,32618827,75.47487566930634,76.0,21777898,0.18129464290225972,0.17757009345794392,52311.66273623253,,0.2033898305084746,
CrawfordsvilleV2-TP2-4351_23_16,74.9028347657333,73.0,21613962,105.4648842528417,106.0,30432947,67.304917521486,65.0,19421507,0.20234882911880853,0.19850187265917604,58389.77813052339,,0.2116788321167883,
