file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum
Crawfordsville-TP2-4351_14_18,73.66666666666667,76.0,10608,86.40277777777777,88.0,12442,75.73611111111111,77.0,10906,0.07652889779122547,0.07222531494195997,11.020161281936469,0.08734726105588159,0.07692307692307693,12.578005592046948
Crawfordsville-TP2-4351_14_19,66.18055555555556,68.0,9530,77.13194444444444,77.0,11107,69.34722222222223,71.0,9986,0.07142560916664033,0.059190031152647975,10.285287719996207,0.08978614544082593,0.0658008658008658,12.929204943478934
Crawfordsville-TP2-4351_14_20,68.1875,69.0,9819,83.90972222222223,84.0,12083,72.01388888888889,71.0,10370,0.09674690829739559,0.08755664652567977,13.931554794824965,0.11640040778892508,0.09803921568627451,16.76165872160521
Crawfordsville-TP2-4351_15_13,75.09722222222223,77.0,10814,90.41666666666667,91.0,13020,76.81944444444444,79.0,11062,0.09038100294957188,0.08169014084507042,13.01486442473835,0.09910007153574499,0.0898876404494382,14.270410301147278
Crawfordsville-TP2-4351_15_14,72.41666666666667,74.0,10428,90.06944444444444,92.0,12970,76.1875,77.0,10971,0.10254459874495041,0.09411764705882353,14.766422219272858,0.12140138430037231,0.1069182389937107,17.481799339253612
Crawfordsville-TP2-4351_15_15,72.375,75.0,10422,88.66666666666667,91.0,12768,75.65972222222223,77.0,10895,0.09602491067848012,0.0836720867208672,13.827587137701137,0.11277260816115302,0.09212121212121213,16.239255575206034
Crawfordsville-TP2-4351_15_16,64.00694444444444,65.0,9217,79.65277777777777,80.0,11470,69.52777777777777,70.0,10012,0.09517627269958433,0.08608631687581655,13.705383268740142,0.12432411837368575,0.10622179239200516,17.902673045810747
Crawfordsville-TP2-4351_15_17,68.05555555555556,71.0,9800,82.71527777777777,85.0,11911,72.40277777777777,74.0,10426,0.09168386310654149,0.07361437039969088,13.202476287341975,0.11626068692327089,0.08387096774193549,16.741538916951008
Crawfordsville-TP2-4351_15_18,70.77083333333333,71.0,10191,84.49305555555556,85.0,12167,73.70833333333333,74.0,10614,0.08198464402015604,0.07966968815674952,11.80578873890247,0.09535645091616464,0.087248322147651,13.731328931927708
Crawfordsville-TP2-4351_15_20,71.88194444444444,72.0,10351,87.16666666666667,87.0,12552,74.61805555555556,74.0,10745,0.08965841170050978,0.08634086695854534,12.91081128487341,0.10168202141317094,0.09901960784313726,14.642211083496615
Crawfordsville-TP2-4351_16_13,70.61805555555556,74.0,10169,87.69444444444444,90.0,12628,75.10416666666667,77.0,10815,0.09772449963950654,0.08868723532970357,14.072327948088942,0.11840309536801372,0.09803921568627451,17.050045732993976
Crawfordsville-TP2-4351_16_14,68.27083333333333,71.0,9831,86.21527777777777,88.0,12415,72.5,73.0,10440,0.10603246077533562,0.09985086881482598,15.26867435164833,0.12631845994133983,0.1111111111111111,18.189858231552936
Crawfordsville-TP2-4351_16_15,76.77083333333333,77.5,11055,91.90972222222223,93.0,13235,77.70138888888889,78.0,11189,0.0897907287937117,0.08676996810284807,12.929864946294483,0.09510824776356232,0.08889986418076307,13.695587677952973
Crawfordsville-TP2-4351_16_16,67.13888888888889,70.0,9668,84.66666666666667,87.0,12192,72.43055555555556,74.0,10430,0.10738429772261678,0.09203839638622247,15.463338872056816,0.13980781881115803,0.10665060885855748,20.132325908806756
Crawfordsville-TP2-4351_16_17,70.97222222222223,75.0,10220,86.34722222222223,89.0,12434,73.15972222222223,76.0,10535,0.09847020181320285,0.08293973542381186,14.17970906110121,0.11343572986708862,0.08333333333333333,16.33474510086076
Crawfordsville-TP2-4351_16_18,69.15972222222223,71.5,9959,82.97222222222223,85.0,11948,72.40972222222223,75.0,10427,0.08418984011264255,0.07482993197278912,12.123336976220527,0.100482627627608,0.08498184148686178,14.469498378375551
Crawfordsville-TP2-4351_16_19,73.57638888888889,74.0,10595,86.0,85.0,12384,75.71527777777777,76.0,10903,0.07399801767993655,0.06924466031508811,10.655714545910863,0.08480209941830436,0.07879945630211968,12.211502316235826
Crawfordsville-TP2-4351_16_20,69.44444444444444,71.5,10000,86.99305555555556,88.0,12527,72.83333333333333,74.0,10488,0.10534542063521736,0.09647937544570806,15.1697405714713,0.1217284316857637,0.1069182389937107,17.52889416274997
Crawfordsville-TP2-4351_17_13,73.75694444444444,77.0,10621,88.54861111111111,90.0,12751,75.38888888888889,77.0,10856,0.08947631661833483,0.08108108108108109,12.884589593040214,0.09821568358314609,0.08333333333333333,14.143058435973035
