file,Red,Green,Blue,GLI,NGRDI
Crawfordsville-TP2-4351_3_15,90,103,87,0.07571801566579635,0.06735751295336788
Crawfordsville-TP2-4351_3_15,92,104,89,0.06940874035989718,0.061224489795918366
Crawfordsville-TP2-4351_3_15,98,110,93,0.0705596107055961,0.057692307692307696
Crawfordsville-TP2-4351_3_15,93,105,90,0.06870229007633588,0.06060606060606061
Crawfordsville-TP2-4351_3_15,84,99,83,0.08493150684931507,0.08196721311475409
Crawfordsville-TP2-4351_3_15,69,87,73,0.10126582278481013,0.11538461538461539
Crawfordsville-TP2-4351_3_15,83,96,82,0.07563025210084033,0.07262569832402235
Crawfordsville-TP2-4351_3_15,100,108,96,0.04854368932038835,0.038461538461538464
Crawfordsville-TP2-4351_3_15,92,101,89,0.05483028720626632,0.046632124352331605
Crawfordsville-TP2-4351_3_15,83,96,83,0.07262569832402235,0.07262569832402235
Crawfordsville-TP2-4351_3_15,92,103,90,0.061855670103092786,0.05641025641025641
Crawfordsville-TP2-4351_3_15,86,99,86,0.07027027027027027,0.07027027027027027
Crawfordsville-TP2-4351_3_15,68,85,71,0.10032362459546926,0.1111111111111111
Crawfordsville-TP2-4351_3_15,75,90,76,0.08761329305135952,0.09090909090909091
Crawfordsville-TP2-4351_3_15,90,101,87,0.06596306068601583,0.05759162303664921
Crawfordsville-TP2-4351_3_15,101,110,96,0.05515587529976019,0.04265402843601896
Crawfordsville-TP2-4351_3_15,71,85,73,0.08280254777070063,0.08974358974358974
Crawfordsville-TP2-4351_3_15,11,43,32,0.3333333333333333,0.5925925925925926
Crawfordsville-TP2-4353_29_43,30,57,46,0.2,0.3103448275862069
Crawfordsville-TP2-4353_29_43,51,70,59,0.12,0.15702479338842976
Crawfordsville-TP2-4351_9_20,65,78,68,0.07958477508650519,0.09090909090909091
Crawfordsville-TP2-4351_9_20,68,82,71,0.08250825082508251,0.09333333333333334
Crawfordsville-TP2-4351_9_20,65,81,70,0.09090909090909091,0.1095890410958904
Crawfordsville-TP2-4351_9_20,78,91,79,0.07374631268436578,0.07692307692307693
Crawfordsville-TP2-4351_9_20,77,91,79,0.07692307692307693,0.08333333333333333
Crawfordsville-TP2-4351_9_20,72,88,76,0.08641975308641975,0.1
Crawfordsville-TP2-4351_9_20,57,79,65,0.12857142857142856,0.16176470588235295
Crawfordsville-TP2-4351_9_20,48,73,59,0.1541501976284585,0.2066115702479339
Crawfordsville-TP2-4351_9_20,74,91,76,0.0963855421686747,0.10303030303030303
Crawfordsville-TP2-4351_9_20,75,91,77,0.08982035928143713,0.0963855421686747
