file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum
Crawfordsville-TP3-4353_26_45,524.9856459330143,536.0,109722,702.1818181818181,712.0,146756,569.88995215311,578.0,119107,0.12660098655890945,0.12072207596840917,26.459606190812075,0.15090014175795002,0.1387787470261697,31.538129627411557,0.7974910365397714,0.7933565083043647,166.6756266368122,0.34405741970033793,0.345011424219345,71.90800071737063,2248.7464114832537,2265.0,469988,591.9712918660288,597.0,123722
Crawfordsville-TP3-4353_26_46,546.0390243902439,535.0,111938,721.0341463414634,712.0,147812,572.2731707317073,564.0,117316,0.13147645202342825,0.1262135922330097,26.952672664802794,0.1498185857885786,0.13987836663770634,30.71281008665861,0.7868688681805749,0.7851959361393324,161.30811797701784,0.3467658442406591,0.3464930701385972,71.08699806933511,2173.8536585365855,2157.0,445640,590.3560975609756,585.0,121023
Crawfordsville-TP3-4353_27_42,516.6908212560387,518.0,106955,694.5265700483092,697.0,143767,567.4975845410628,566.0,117472,0.1251270832830367,0.1225232511120097,25.9013062395886,0.15136865575894518,0.14626391096979333,31.33331174210165,0.7953445001922571,0.7930486593843098,164.63631153979722,0.34373023215620224,0.34371723828066497,71.15215805633386,2198.937198067633,2199.0,455180,584.1449275362319,586.0,120918
Crawfordsville-TP3-4353_27_43,576.6908212560387,569.0,119375,749.8357487922706,745.0,155216,589.1159420289855,586.0,121947,0.12744531825757874,0.12521208008143875,26.3811808793188,0.13558639282066107,0.1349141455437449,28.06638331387684,0.7803554518234675,0.7799292496741761,161.5335785274578,0.33657444079856685,0.33568178482313227,69.67090924530333,2297.9468599033817,2290.0,475675,599.0676328502416,592.0,124007
Crawfordsville-TP3-4353_27_44,568.8888888888889,577.5,122880,749.5277777777778,760.5,161898,587.2037037037037,596.5,126836,0.1316001108272412,0.12567754176466145,28.425623938684105,0.14270510134023906,0.13258398721562853,30.82430188949164,0.7872344971005452,0.7835371129711726,170.04265137371775,0.3404508624599779,0.3406829900561898,73.53738629135523,2329.699074074074,2358.0,503215,598.2685185185185,604.0,129226
Crawfordsville-TP3-4353_27_45,502.8905472636816,507.0,101081,698.0497512437811,698.0,140308,551.5820895522388,553.0,110868,0.144536930363065,0.1378299120234604,29.051923002976068,0.17540240150693914,0.15870307167235495,35.255882702894766,0.8060584782837684,0.8019913582566222,162.01775413503745,0.3492707016663463,0.3491514770584538,70.2034110349356,2215.0298507462685,2245.0,445221,577.5870646766169,578.0,116095
Crawfordsville-TP3-4353_27_46,568.685,573.5,113737,745.325,749.5,149065,591.035,594.0,118207,0.1273339700555779,0.12492438751840793,25.46679401111558,0.13998926217918253,0.13499436843491172,27.997852435836506,0.7876784048556416,0.7869209037113124,157.5356809711283,0.34340662599405747,0.3442068968899744,68.68132519881149,2317.24,2322.5,463448,607.245,604.5,121449
Crawfordsville-TP3-4353_28_42,526.2487562189054,543.0,105776,698.8059701492538,708.0,140460,567.7810945273632,578.0,114124,0.1240027135654437,0.12145289443813848,24.924545426654184,0.14609295444782486,0.13689482470784642,29.364683844012795,0.7987820180373973,0.7934700075930144,160.55518562551686,0.3589854110184881,0.35977653631284917,72.15606761471611,2200.7462686567164,2210.0,442350,598.3880597014926,604.0,120276
Crawfordsville-TP3-4353_28_43,527.4619047619047,533.0,110767,704.7857142857143,707.5,148005,567.0142857142857,571.0,119073,0.1275928489451032,0.1250490179601806,26.79449827847167,0.14816956966920164,0.1419238639270185,31.115609630532344,0.7998713468784993,0.79767709304245,167.97298284448485,0.36035145566496135,0.36132083574804347,75.67380568964188,2213.9714285714285,2227.5,464934,589.7095238095238,592.0,123839
Crawfordsville-TP3-4353_28_44,527.7014925373135,531.0,106068,704.8159203980099,708.0,141668,572.681592039801,574.0,115109,0.12447704273435074,0.12239275875639512,25.0198855896045,0.14678712954986062,0.14355628058727568,29.504213039521982,0.7975735041268943,0.7977570804029652,160.31227432950575,0.35499183867252737,0.35606387570133796,71.353359573178,2218.7562189054725,2230.0,445970,583.0149253731344,584.0,117186
Crawfordsville-TP3-4353_28_45,558.4347826086956,561.0,115596,731.1207729468599,736.0,151342,580.6666666666666,581.0,120198,0.12765790283759787,0.1253395421032208,26.42518588738276,0.14179555742817654,0.13364779874213836,29.35168038763254,0.7883108567682664,0.7864118013712861,163.18034735103114,0.34190774369874255,0.3422195596824921,70.77490294563971,2282.014492753623,2286.0,472377,591.0338164251208,595.0,122344
Crawfordsville-TP3-4353_28_46,544.1502347417841,556.0,115904,726.6572769953052,738.0,154778,572.6572769953052,578.0,121976,0.13428686592962794,0.13088235294117648,28.60310244301075,0.1516093739678888,0.14037854889589904,32.29279665516031,0.7860203826463479,0.7804972804972805,167.4223415036721,0.33627324475211284,0.3366123578235475,71.62620113220004,2224.892018779343,2233.0,473902,588.8826291079812,591.0,125432
Crawfordsville-TP3-4353_29_42,486.26851851851853,482.0,105034,656.300925925926,652.5,141761,538.7731481481482,537.5,116375,0.12613321499940053,0.1217050710840015,27.24477443987051,0.15676536859737147,0.14840311157967467,33.86131961703224,0.8083654736356555,0.8065694425514516,174.60694230530157,0.3687149224001785,0.3688498123296827,79.64242323843855,2089.7731481481483,2088.0,451391,581.6666666666666,578.0,125640
Crawfordsville-TP3-4353_29_43,552.5445544554456,559.5,111614,740.6980198019802,747.5,149621,591.3663366336634,596.0,119456,0.1307633425740674,0.1261197621870237,26.414195199961615,0.15080383842484496,0.14285714285714285,30.462375361818683,0.7990292453717214,0.7957264077857938,161.4039075650877,0.3554331416585798,0.35576932821189144,71.79749461503312,2331.5,2351.0,470963,600.7722772277227,600.5,121356
