file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum
Ames-TP1-4231_6_6,29.805203136623284,23.0,4367267,50.02920963371938,40.0,7330630,34.177503122291455,26.0,5007927,0.21037712289272728,0.20677966101694914,30825.92868610265,0.24300326769015126,0.25,35606.53980483479
Ames-TP1-4231_6_7,40.81859385739855,34.0,5997925,64.1427511722392,53.0,9425200,40.010351093295945,31.0,5879161,0.2143218151495333,0.21739130434782608,31492.661839887573,0.2068410513703147,0.21904761904761905,30393.43092940541
Ames-TP1-4231_7_2,44.46616167464799,33.0,6527677,67.58619491692836,50.0,9921721,40.43070551290523,29.0,5935268,0.20980220896080692,0.19767441860465115,30799.174077655418,0.1932897611787568,0.1907514450867052,28375.130230802675
Ames-TP1-4231_7_3,49.203685622793785,39.0,7206421,73.14145745283727,58.0,10712371,45.13888338875196,34.0,6611086,0.20674852260269497,0.19924098671726756,30280.59536891331,0.18725617011552748,0.18725099601593626,27425.72593129027
Ames-TP1-4231_7_4,38.65657207687471,27.0,5656075,58.92105443013751,43.0,8621093,41.08851390141885,29.0,6011907,0.1954811102476704,0.19480519480519481,28602.014126998143,0.2209012075336247,0.21875,32321.381081489828
Ames-TP1-4231_7_5,25.555002827996482,20.0,3750120,43.61651004790558,34.0,6400592,30.641144282336267,22.0,4496496,0.21272984211411436,0.20634920634920634,31217.46614071994,0.2553715816949947,0.25925925925925924,37475.01349899539
Ames-TP1-4231_7_6,28.201104036291095,23.0,4127852,48.65828847047249,41.0,7122211,29.792187030306344,23.0,4360742,0.24457565289782152,0.24242424242424243,35799.02746595993,0.2560988477935451,0.2638888888888889,37485.70054923678
Ames-TP1-4231_7_7,39.40161192524918,32.0,5783408,63.96737997424735,53.0,9389196,39.00987866276971,30.0,5725909,0.22662492066496273,0.23076923076923078,33264.232480123894,0.22196008574610332,0.23469387755102042,32579.52334589879
Ames-TP1-4231_8_2,50.19107478712854,39.0,7338688,76.18867421263208,61.0,11139927,46.385247751598676,33.0,6782219,0.21733842298037026,0.21333333333333335,31778.137516074836,0.20128367738106487,0.20634920634920634,29430.6928882724
Ames-TP1-4231_8_3,53.779253196930945,43.0,7885383,83.01301278772378,69.0,12171783,50.62862404092072,39.0,7423422,0.23488203667313634,0.23404255319148937,34439.578627198614,0.21720120430132012,0.21804511278195488,31847.126580681062
Ames-TP1-4231_8_4,32.811241422078055,23.0,4814820,53.61701069216249,40.0,7867921,34.69266677115774,24.0,5090906,0.23032051459210826,0.2222222222222222,33797.92327278974,0.24441849088580614,0.24503311258278146,35866.70260805585
Ames-TP1-4231_8_5,28.236285020596338,23.0,4140230,49.51033226941648,43.0,7259601,34.336647843522385,27.0,5034714,0.22998534991077912,0.22105263157894736,33722.29188671772,0.27246028172316705,0.2727272727272727,39950.30618850454
Ames-TP1-4231_8_6,30.309010510561585,25.0,4455273,52.00457838701997,43.0,7644413,33.665281132011295,26.0,4948628,0.23011055783664486,0.2275132275132275,33825.10144919761,0.24944834661385146,0.2562814070351759,36667.659710503096
Ames-TP1-4231_8_7,36.50761120128763,29.0,5352965,61.1556545223903,51.0,8967009,36.576364355571314,27.0,5363046,0.24368047088816652,0.24324324324324326,35729.892724448306,0.24002901786205758,0.2459016393442623,35194.49477304205
Ames-TP1-4231_9_2,57.79155937736919,48.0,8461320,87.09157098851863,75.0,12751164,55.46326437221247,43.0,8120432,0.21127256539651104,0.20670391061452514,30932.62757226858,0.1967063115853598,0.2,28799.967785524113
Ames-TP1-4231_9_3,41.10778794516435,30.0,6024223,64.90138317399878,49.0,9511103,41.80860747746457,29.0,6126926,0.22156581731119077,0.2184873949579832,32469.805829503075,0.22489286057593638,0.22807017543859648,32957.37403882175
Ames-TP1-4231_9_4,42.4199468990401,33.0,6231066,66.22187351079039,53.0,9727331,45.80326094356321,34.0,6728041,0.20328805466358835,0.2,29860.982349534494,0.22223278839701455,0.22077922077922077,32643.77428763747
Ames-TP1-4231_9_5,28.289613793668344,22.0,4144485,48.51260733641862,39.0,7107194,33.89047931086265,25.0,4965023,0.22040183498839822,0.21649484536082475,32289.309629470317,0.2595523419497107,0.2621359223300971,38024.93720031652
Ames-TP1-4231_9_6,36.0957877104102,31.0,5300883,59.49455929618129,53.0,8737133,39.88967423871003,33.0,5858038,0.21618807918396737,0.21100917431192662,31748.516556640712,0.23571664107961557,0.24242424242424243,34616.403042388025
Ames-TP1-4231_9_7,37.41378462715001,30.0,5479361,61.70395280397124,52.0,9036729,37.62489672454644,29.0,5510279,0.24094640226254183,0.23671497584541062,35287.32345055604,0.23990419941652102,0.24324324324324326,35134.689717147754
Ames-TP1-4232_10_17,56.507467868423916,43.0,8300721,87.00733852521512,72.0,12781030,53.48792342882039,39.0,7857162,0.2413961615597219,0.24,35460.13054847691,0.2260187442313355,0.22549019607843138,33201.24945260626
Ames-TP1-4232_10_18,58.803536920606405,48.0,8642003,87.54545330829319,77.0,12866030,55.25532783538826,43.0,8120544,0.21952032677634922,0.21212121212121213,32261.585304359385,0.200947726334037,0.20388349514563106,29532.081652955414
Ames-TP1-4232_10_19,68.08781582616383,59.0,10011292,99.4998401741082,88.0,14629959,62.96109089672527,51.0,9257484,0.21039023765706386,0.20717781402936378,30934.728593906384,0.18673096363223315,0.18840579710144928,27455.987237665402
Ames-TP1-4232_10_20,58.80754981203646,49.0,8650767,83.30127869587976,72.0,12253868,51.70380617662454,40.0,7605785,0.19796785393944794,0.18238993710691823,29121.66521805461,0.16626980666921565,0.16363636363636364,24458.78737046163
Ames-TP1-4232_10_21,63.17960861588639,52.0,9298143,92.22004484609636,81.0,13572024,56.48486104504994,44.0,8312877,0.21756202569326527,0.20833333333333334,32018.60332127785,0.18640735807983405,0.18518518518518517,27433.570888609178
Ames-TP1-4232_10_22,56.41595402892211,42.0,8305726,82.42921961921711,62.0,12135477,52.64343207243434,38.0,7750324,0.20318187036941257,0.20481927710843373,29913.044501396027,0.1890304270125488,0.1935483870967742,27829.626556068473
Ames-TP1-4232_11_17,53.47988867491851,42.0,7859244,79.68922882203638,65.0,11710890,50.98113733949386,39.0,7492035,0.21575503152119735,0.21142857142857144,31706.712167260597,0.20566927569810872,0.20689655172413793,30224.53974876696
Ames-TP1-4232_11_18,66.04779361754224,57.0,9710875,97.6931468835868,88.0,14363628,62.78306853116413,51.0,9230869,0.21741024938513992,0.21518987341772153,31965.39414659835,0.2008413164299721,0.2,29529.29707206594
Ames-TP1-4232_11_19,71.97267900722623,63.0,10587397,104.16711419889465,93.0,15323295,66.059142233673,55.0,9717498,0.21037954207051696,0.20863309352517986,30947.461777199256,0.18476661416055695,0.1875,27179.723242860407
Ames-TP1-4232_11_20,73.86892709111912,64.0,10871290,100.35728069579397,88.0,14769581,68.72836175851057,57.0,10114753,0.17100212787215394,0.17365269461077845,25166.383158944893,0.15109197435747204,0.15625,22236.20586618916
Ames-TP1-4232_11_21,60.656822457837215,50.0,8930322,89.42437868054094,78.0,13165683,56.38924246232009,44.0,8302019,0.21688591015676595,0.21362229102167182,31931.46189465018,0.194886820427213,0.1978319783197832,28692.60191103729
Ames-TP1-4232_11_22,63.902191109270284,52.0,9411323,92.61399947038574,82.0,13639912,59.76048534394373,47.0,8801345,0.20783690760606252,0.20353982300884957,30609.59624149807,0.1854302089823358,0.1875,27309.60488829147
Ames-TP1-4232_12_17,58.98026772231972,47.0,8671161,88.36997510508917,75.0,12991977,55.198411078915505,42.0,8115160,0.23249886483750923,0.22772277227722773,34181.51811068093,0.21454723225631558,0.21428571428571427,31542.304991859004
Ames-TP1-4232_12_18,51.5297260916563,41.0,7579662,80.60349574758825,67.0,11856210,47.83575017166011,35.0,7036304,0.2415665133728125,0.23130434782608697,35532.74315154711,0.22098035817102438,0.2222222222222222,32504.66382445049
Ames-TP1-4232_12_19,61.24891280713199,52.0,9013880,93.0627989780387,83.0,13695866,57.60383371385084,47.0,8477441,0.23247661489287566,0.22641509433962265,34213.118460554724,0.21384039287429663,0.2129032258064516,31470.462938524484
Ames-TP1-4232_12_20,64.37581421885932,56.0,9477858,94.53539771916836,84.0,13918163,59.46890176394275,49.0,8755428,0.2142894084345931,0.21008403361344538,31549.186735599837,0.19058072542201548,0.19463087248322147,28058.628461707074
Ames-TP1-4232_12_21,51.08697305261157,38.0,7524447,76.15471833902517,60.0,11216600,45.716824974369764,32.0,6733494,0.22246293613227044,0.21212121212121213,32765.898474113717,0.19531614614274456,0.2,28767.529216926418
Ames-TP1-4232_12_22,64.13104537993694,54.0,9416169,94.21561429437365,83.0,13833396,59.964958760990825,49.0,8804475,0.21468865428319583,0.21311475409836064,31522.091042438795,0.19550343378200377,0.2,28705.18267191027
Ames-TP1-4232_13_17,55.13212947791383,44.0,8108999,83.23942943780042,71.0,12243105,50.7207223132517,37.0,7460156,0.2322290404758291,0.22465208747514911,34156.94396030637,0.2120209001591227,0.21243523316062177,31184.670058104246
