file,RedMean,RedMedian,RedSum,GreenMean,GreenMedian,GreenSum,BlueMean,BlueMedian,BlueSum,GLIMean,GLIMedian,GLIsum,NGRDIMean,NGRDIMedian,NGRDISum
Crawfordsville-TP2-4351_9_15,70.92380952380952,72.0,14894,85.89047619047619,87.0,18037,74.74761904761905,76.0,15697,0.09080509681817202,0.07758857929136567,19.069070331816125,0.11383415916464419,0.0887314439946019,23.90517342457528
Crawfordsville-TP2-4351_9_16,67.11428571428571,71.0,14094,82.08095238095238,84.0,17237,70.98095238095237,73.0,14906,0.09806540312700225,0.07801418439716312,20.593734656670474,0.12309597694842368,0.0896551724137931,25.850155159168974
Crawfordsville-TP2-4351_9_17,77.005,77.5,15401,92.455,93.5,18491,77.19,77.0,15438,0.09541644442175481,0.09090909090909091,19.083288884350964,0.10041376755721343,0.09090909090909091,20.082753511442686
Crawfordsville-TP2-4351_9_18,69.815,69.0,13963,86.175,86.0,17235,73.26,73.0,14652,0.10033428737898407,0.09090909090909091,20.066857475796816,0.12019662671644803,0.1,24.039325343289605
Crawfordsville-TP2-4351_9_19,62.79245283018868,65.0,13312,78.66509433962264,79.0,16677,69.0,70.0,14628,0.09287327442744918,0.08717816804246661,19.689134178619227,0.12248925812605686,0.10810810810810811,25.967722722724055
Crawfordsville-TP2-4351_9_20,65.80275229357798,69.0,14345,82.81651376146789,85.0,18054,71.20183486238533,74.0,15522,0.10425490711972617,0.08731348146217502,22.727569752100305,0.13622888325177898,0.10253555967841682,29.697896548887815
Crawfordsville-TP2-4352_10_2,66.66,68.0,13332,80.515,82.0,16103,69.955,71.0,13991,0.08642017205055248,0.08166600764465534,17.284034410110497,0.10305679920581191,0.09032634032634032,20.611359841162383
Crawfordsville-TP2-4352_10_3,68.375,70.0,13675,83.4,84.0,16680,71.4,73.0,14280,0.09420303484862107,0.08333333333333333,18.840606969724213,0.11169068507424136,0.0896551724137931,22.33813701484827
Crawfordsville-TP2-4352_10_4,58.645,60.0,11729,71.97,73.0,14394,64.305,67.0,12861,0.09504563654548523,0.07350591993986093,19.009127309097046,0.14059405644663348,0.09523809523809523,28.118811289326693
Crawfordsville-TP2-4352_10_5,68.03,69.0,13606,85.32,85.0,17064,73.795,74.0,14759,0.10058133792740895,0.08596607914865315,20.11626758548179,0.13068088707062409,0.10638297872340426,26.136177414124816
Crawfordsville-TP2-4352_10_6,67.88557213930348,71.0,13645,83.86567164179104,87.0,16857,72.29353233830845,74.0,14531,0.09592932135502044,0.087248322147651,19.281793592359108,0.11875021288541619,0.10126582278481013,23.868792789968655
Crawfordsville-TP2-4352_10_7,73.78095238095239,75.0,15494,90.23809523809524,91.0,18950,75.36190476190477,76.0,15826,0.09983132377819588,0.09313039747822356,20.964577993421134,0.10990989989982189,0.0975609756097561,23.081078978962598
Crawfordsville-TP2-4352_10_8,69.78947368421052,72.0,14586,83.2488038277512,84.0,17399,73.0909090909091,74.0,15276,0.0841494777401306,0.07076923076923076,17.587240847687294,0.10347341661487745,0.08074534161490683,21.625944072509387
Crawfordsville-TP2-4352_10_9,61.175,62.0,12235,76.665,76.0,15333,66.855,67.0,13371,0.09569520203374121,0.08717816804246661,19.139040406748244,0.12503619245156905,0.10810810810810811,25.00723849031381
Crawfordsville-TP2-4352_11_2,58.48372093023256,60.0,12574,73.80465116279069,75.0,15868,64.35813953488372,65.0,13837,0.09903276406993358,0.09090909090909091,21.29204427503572,0.13137675410257946,0.1095890410958904,28.24600213205458
Crawfordsville-TP2-4352_11_3,70.47142857142858,74.0,14799,86.64761904761905,88.0,18196,73.96666666666667,76.0,15533,0.09897984243709229,0.08670520231213873,20.78576691178938,0.11854899673171188,0.09411764705882353,24.895289313659493
Crawfordsville-TP2-4352_11_4,66.41904761904762,70.0,13948,82.67142857142858,85.0,17361,71.3,74.0,14973,0.12680625055352862,0.08387096774193549,26.629312616241013,0.18575760830959076,0.09722222222222222,39.00909774501406
Crawfordsville-TP2-4352_11_5,70.9,72.0,14889,86.15714285714286,87.0,18093,74.91428571428571,76.0,15732,0.09228714190963491,0.0812382149591452,19.38029980102333,0.11731252930759843,0.09422863485016648,24.63563115459567
Crawfordsville-TP2-4352_11_6,65.3,66.0,13713,81.65714285714286,82.0,17148,69.60952380952381,70.0,14618,0.10614349609277349,0.09090909090909091,22.290134179482433,0.1347843174072535,0.10296846011131726,28.304706655523233
Crawfordsville-TP2-4352_11_7,64.8,69.0,13608,80.64285714285714,82.0,16935,69.5952380952381,71.0,14615,0.09920965737424184,0.0859106529209622,20.834028048590785,0.1262669830820845,0.09763071895424837,26.516066447237744
Crawfordsville-TP2-4352_11_8,73.78199052132702,75.0,15568,89.38388625592417,90.0,18860,76.3696682464455,77.0,16114,0.09080187333099894,0.08683473389355742,19.159195272840776,0.10345577100095205,0.09333333333333334,21.829167681200882
Crawfordsville-TP2-4352_11_9,71.50678733031674,77.0,15803,88.24886877828054,91.0,19503,73.96832579185521,77.0,16347,0.10573899713510443,0.08982035928143713,23.36831836685808,0.12252515437301353,0.09090909090909091,27.07805911643599
Crawfordsville-TP2-4352_12_2,69.57073170731708,74.0,14262,88.10243902439025,90.0,18061,73.59512195121951,76.0,15087,0.10956780984769036,0.09915014164305949,22.461401018776524,0.13135744197012653,0.1111111111111111,26.928275603875935
Crawfordsville-TP2-4352_12_3,74.4952380952381,75.0,15644,89.9952380952381,91.0,18899,76.3047619047619,77.0,16024,0.09175292849567036,0.08737864077669903,19.268114984090776,0.10154977252536844,0.09090909090909091,21.32545223032737
