file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Crawfordsville-TP5-4351_6_14,988.09,995.0,197618,764.45,762.0,152890,618.59,615.0,123718,-0.02285537773441377,-0.024953630100688927,-4.571075546882754,-0.12394958544332017,-0.1283242684806435,-24.789917088664033,0.24088835865010844,0.2357675868607279,48.177671730021686,0.112745695567574,0.11702288504719197,22.549139113514798,1271.35,1274.0,254270,527.01,531.0,105402,1602.85,1624.5,320570
Crawfordsville-TP5-4351_6_15,1004.03,1032.0,200806,754.29,760.5,150858,602.2,621.0,120440,-0.027735486866295428,-0.03318983107135118,-5.547097373259086,-0.13625711868637175,-0.14349100938640746,-27.251423737274347,0.2693487258079472,0.26319608965823615,53.86974516158944,0.12365091065556534,0.1302010957241203,24.730182131113068,1334.48,1342.0,266896,511.85,522.0,102370,1722.67,1754.0,344534
Crawfordsville-TP5-4351_6_16,954.32,958.0,190864,716.1,720.0,143220,594.91,603.5,118982,-0.03663787399573001,-0.039336125038339,-7.327574799146001,-0.13755650771056882,-0.14241336633663365,-27.511301542113767,0.2629251071156434,0.25744413674957795,52.58502142312868,0.12371757928454272,0.12771680462793705,24.743515856908544,1253.4,1252.5,250680,512.1,510.5,102420,1617.07,1606.0,323414
Crawfordsville-TP5-4351_6_17,1002.9444444444445,1022.0,180530,772.9666666666667,789.0,139134,627.0666666666667,628.5,112872,-0.024224599618445555,-0.023927392739273926,-4.3604279313202,-0.12341166399783977,-0.12866856456443088,-22.21409951961116,0.2759446707082904,0.2678405686014912,49.67004072749227,0.12389874183825123,0.1281149747446742,22.30177353088522,1347.088888888889,1367.5,242476,519.0666666666667,524.0,93432,1741.4222222222222,1766.5,313456
Crawfordsville-TP5-4351_6_18,999.9629629629629,1034.0,161994,759.0617283950618,785.0,122968,615.3827160493827,639.0,99692,-0.0288785913145779,-0.031609195402298854,-4.67833179296162,-0.1333532093175723,-0.13836477987421383,-21.603219909446715,0.2624213912177035,0.2556980056980057,42.51226537726797,0.12361021297952358,0.12740790807705304,20.02485450268282,1316.8024691358025,1344.0,213322,534.358024691358,538.0,86566,1696.1975308641975,1734.0,274784
Crawfordsville-TP5-4351_6_19,1021.561797752809,1042.0,181838,772.629213483146,782.0,137528,624.0224719101124,640.0,111076,-0.029341578451008647,-0.03069817984243412,-5.222800964279539,-0.13514636455402695,-0.1381758601856909,-24.056052890616797,0.2575294098295843,0.25292397660818716,45.840234949666005,0.12672070737218777,0.12808539026017346,22.556285912249425,1323.112359550562,1341.0,235514,538.943820224719,545.0,95932,1714.9662921348315,1742.0,305264
Crawfordsville-TP5-4351_6_20,904.0333333333333,903.5,162726,698.8777777777777,704.0,125798,590.0,593.0,106200,-0.0290625492380825,-0.030920685024164063,-5.23125886285485,-0.12022814050480223,-0.12425676115181547,-21.6410652908644,0.26980166594147686,0.26424002892802767,48.564299869465835,0.13496783930384634,0.13989177549798137,24.294211074692342,1166.8,1160.0,210024,514.2888888888889,516.0,92572,1543.3444444444444,1550.0,277802
Crawfordsville-TP5-4351_7_13,927.5,947.5,166950,717.2333333333333,724.0,129102,601.2,611.5,108216,-0.029339598553037093,-0.03206911085124158,-5.281127739546677,-0.12249085960652296,-0.12984208915870604,-22.048354729174132,0.24913009589197946,0.24173226633465203,44.8434172605563,0.11816957740622844,0.12095664842725826,21.27052393312112,1194.6888888888889,1207.5,215044,548.5333333333333,556.5,98736,1525.8444444444444,1557.0,274652
Crawfordsville-TP5-4351_7_14,1113.9444444444443,1081.5,200510,853.5333333333333,837.5,153636,686.5666666666667,675.5,123582,-0.024707215547532874,-0.0230388460516116,-4.447298798555917,-0.12888359526064336,-0.12817795450660857,-23.199047146915802,0.23641374756075095,0.23559856931572548,42.55447456093517,0.11785047418712977,0.11752278460290204,21.213085353683358,1406.1555555555556,1373.5,253108,576.7111111111111,566.0,103808,1790.8555555555556,1733.0,322354
Crawfordsville-TP5-4351_7_15,993.04,994.0,198608,747.53,754.0,149506,608.13,605.0,121626,-0.03156849543918481,-0.031039964673389243,-6.313699087836961,-0.136168645453381,-0.14066211566211567,-27.2337290906762,0.25852530033669846,0.25370092105629294,51.70506006733969,0.12285736700746996,0.12785700296213331,24.571473401493993,1292.56,1284.0,258512,517.64,515.0,103528,1666.24,1664.0,333248
Crawfordsville-TP5-4351_7_16,904.1341463414634,902.0,148278,696.6341463414634,691.0,114248,584.9878048780488,578.5,95938,-0.031487696813520025,-0.03211266768953454,-5.1639822774172845,-0.12606499685276912,-0.12906369031800868,-20.674659483854136,0.25685413512805777,0.25578458679099003,42.12407816100148,0.12918666768347925,0.13016324402883894,21.186613500090598,1165.9268292682927,1157.0,191212,515.7682926829268,512.5,84586,1517.6951219512196,1507.5,248902
