file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight
Crawfordsville-TP2-4353_13_44_cropped.TIF,316.81439393939394,447.3863636363636,324.1515151515151,3610.1439393939395,1579.1401515151515,299.2689393939394,Crawfordsville-TP2-4353,13,44,0.039960272994725994,0.003678876684516907,0.05283419570203681,32000.0,16.44,144.59,64.0,,,,,,,,,,,1.56,239.0
Crawfordsville-TP2-4351_19_18_cropped.TIF,318.03409090909093,431.1780303030303,315.2878787878788,3582.8598484848485,1544.810606060606,297.4886363636364,Crawfordsville-TP2-4351,19,18,0.039655148417293916,-0.020389057569471885,0.08546625182779356,31500.0,19.36,178.01,63.0,,,,,,,,,,,15.87,239.0
Crawfordsville-TP2-4352_9_4_cropped.TIF,292.95454545454544,417.37603305785126,313.1322314049587,3565.285123966942,1523.5123966942149,313.57851239669424,Crawfordsville-TP2-4352,9,4,0.03948827479763306,-0.04415321083729514,-0.04550321582226976,29500.0,15.69,145.09,59.0,,,,,,,,,,,0.0,239.0
Crawfordsville-TP2-4353_34_45_cropped.TIF,327.57954545454544,457.7462121212121,336.3863636363636,3462.943181818182,1569.1022727272727,315.155303030303,Crawfordsville-TP2-4353,34,45,0.03809180687613325,0.044544576607625105,-0.012156190494801416,28500.0,17.68,160.15,57.0,,,,,,,,,,,0.0,212.0
Crawfordsville-TP2-4353_21_43_cropped.TIF,306.98015873015873,447.3174603174603,319.5436507936508,3531.5476190476193,1581.75,308.8690476190476,Crawfordsville-TP2-4353,21,43,0.03908712408692946,0.03639703529119649,-0.05164338154727231,34500.0,18.94,170.17,69.0,,,,,,,,,,,0.0,244.0
Crawfordsville-TP2-4351_8_14_cropped.TIF,357.86147186147184,506.53679653679654,378.1904761904762,4331.30303030303,1859.6580086580086,360.34632034632034,Crawfordsville-TP2-4351,8,14,0.04806773969148621,-0.033894502996432756,0.0051221003891722735,30000.0,18.37,164.27,60.0,,,,,,,,,,,1.67,251.0
Crawfordsville-TP2-4351_7_15_cropped.TIF,242.14772727272728,358.3181818181818,281.32575757575756,3387.594696969697,1395.1628787878788,275.5984848484849,Crawfordsville-TP2-4351,7,15,0.03778393007093331,-0.08716944197354354,-0.05822504393205376,,,,,,,,,,,,,,,,
Crawfordsville-TP2-4351_11_19_cropped.TIF,296.2537878787879,420.14772727272725,309.3030303030303,3606.125,1546.9772727272727,304.155303030303,Crawfordsville-TP2-4351,11,19,0.04003240506844823,-0.030131420688560628,-0.011920388397990186,28000.0,18.02,163.8,56.0,,,,,,,,,,,0.0,237.0
Crawfordsville-TP2-4353_23_43_cropped.TIF,320.0984848484849,451.1780303030303,325.77272727272725,3525.367424242424,1586.3636363636363,312.61742424242425,Crawfordsville-TP2-4353,23,43,0.03893357885861184,0.04065699676861306,-0.0251451808505988,28000.0,19.49,175.93,56.0,,,,,,,,,,,1.79,233.0
Crawfordsville-TP2-4351_11_13_cropped.TIF,341.9793388429752,497.198347107438,362.8471074380165,4171.628099173554,1812.8264462809918,353.03719008264466,Crawfordsville-TP2-4351,11,13,0.04630877618363934,-0.010496302312963123,-0.04377998592997662,27000.0,20.58,186.2,54.0,,,,,,,,,,,0.0,236.0
Crawfordsville-TP2-4352_6_3_cropped.TIF,328.4621212121212,443.9318181818182,327.21590909090907,3667.909090909091,1616.5189393939395,300.1439393939394,Crawfordsville-TP2-4352,6,3,0.040655922393141634,0.017987360616218827,0.06481048973382947,33000.0,20.82,190.78,66.0,,,,,,,,,,,0.0,243.0
Crawfordsville-TP2-4353_15_43_cropped.TIF,311.0079365079365,424.718253968254,334.10714285714283,3788.373015873016,1603.8055555555557,318.6547619047619,Crawfordsville-TP2-4353,15,43,0.04203006201515679,-0.05883223205287124,-0.0005575807141540957,27000.0,19.11,174.71,54.0,,,,,,,,,,,3.7,251.0
Crawfordsville-TP2-4351_20_16_cropped.TIF,285.28409090909093,420.24242424242425,308.29545454545456,3469.9848484848485,1517.9204545454545,294.0113636363636,Crawfordsville-TP2-4351,20,16,0.03849517885964785,0.0007623985314291017,-0.04502575116892467,31000.0,19.53,178.34,62.0,,,,,,,,,,,0.0,193.0
Crawfordsville-TP2-4352_10_7_cropped.TIF,398.2640692640693,555.7489177489177,394.45454545454544,4220.839826839827,1953.125541125541,362.8528138528139,Crawfordsville-TP2-4352,10,7,0.046658214068819495,0.11241477544558127,-0.0011668955683863918,30500.0,16.8,153.77,61.0,,,,,,,,,,,0.0,190.0
Crawfordsville-TP2-4353_9_44_cropped.TIF,366.42561983471074,511.1404958677686,368.3595041322314,3987.1487603305786,1782.6735537190082,348.1198347107438,Crawfordsville-TP2-4353,9,44,0.04400973385758922,0.03619711344946777,0.020560506229372895,34000.0,19.31,169.02,68.0,,,,,,,,,,,1.47,231.0
Crawfordsville-TP2-4352_5_4_cropped.TIF,344.6320346320346,477.4935064935065,356.969696969697,4072.160173160173,1760.0,339.4025974025974,Crawfordsville-TP2-4352,5,4,0.04517741395721598,-0.02000098062744694,0.016973430314914408,31500.0,18.74,171.33,63.0,,,,,,,,,,,0.0,230.0
Crawfordsville-TP2-4353_11_46_cropped.TIF,305.88257575757575,421.0151515151515,311.85227272727275,3487.128787878788,1502.7083333333333,298.5189393939394,Crawfordsville-TP2-4353,11,46,0.03855320678458011,-0.02619422478662893,0.04205415045245534,29000.0,22.05,195.56,58.0,,,,,,,,,,,0.0,226.0
Crawfordsville-TP2-4352_19_2_cropped.TIF,300.4917355371901,445.8057851239669,325.4917355371901,3953.8305785123966,1654.7851239669421,313.91322314049586,Crawfordsville-TP2-4352,19,2,0.04404963051700539,-0.06588961710646611,0.010104145603176564,31500.0,21.3,190.02,63.0,,,,,,,,,,,0.0,242.0
Crawfordsville-TP2-4351_18_17_cropped.TIF,346.5,478.6547619047619,353.3809523809524,3829.3849206349205,1707.4444444444443,337.48809523809524,Crawfordsville-TP2-4351,18,17,0.042304009837315616,0.027038431052895627,-0.013748163663969703,32000.0,19.01,173.79,64.0,,,,,,,,,,,1.56,238.0
Crawfordsville-TP2-4351_4_13_cropped.TIF,334.3901515151515,452.9810606060606,337.969696969697,3573.780303030303,1600.1325757575758,309.96590909090907,Crawfordsville-TP2-4351,4,13,0.03942633540571078,0.032948672986773155,0.035109397039662725,31000.0,17.08,157.41,62.0,,,,,,,,,,,1.61,238.0
Crawfordsville-TP2-4351_13_16_cropped.TIF,316.64462809917353,439.5330578512397,336.3181818181818,3800.7520661157023,1618.9173553719008,325.099173553719,Crawfordsville-TP2-4351,13,16,0.04210951120133505,-0.04978124763397244,-0.0030170734981936386,32000.0,22.83,205.12,64.0,,,,,,,,,,,3.12,231.0
Crawfordsville-TP2-4353_14_46_cropped.TIF,313.0113636363636,466.7310606060606,324.1363636363636,3643.5151515151515,1643.280303030303,308.89772727272725,Crawfordsville-TP2-4353,14,46,0.0404031782570039,0.056667841186817586,-0.04407446979516846,27000.0,17.19,154.08,54.0,,,,,,,,,,,1.85,204.0
Crawfordsville-TP2-4351_16_14_cropped.TIF,380.1991341991342,545.5151515151515,393.1471861471861,4583.852813852814,2003.1688311688313,373.8961038961039,Crawfordsville-TP2-4351,16,14,0.05096566895974175,0.008608959674485883,-0.001578550108438502,35000.0,16.74,153.75,70.0,,,,,,,,,,,0.0,263.0
Crawfordsville-TP2-4351_11_16_cropped.TIF,310.7738095238095,452.7857142857143,337.4642857142857,3814.0714285714284,1660.3174603174602,325.57142857142856,Crawfordsville-TP2-4351,11,16,0.0423279851096901,-0.009640657830184161,-0.06350904269436246,27000.0,21.41,195.96,54.0,,,,,,,,,,,7.41,229.0
Crawfordsville-TP2-4351_16_17_cropped.TIF,366.1115702479339,504.797520661157,367.44214876033055,4015.095041322314,1775.719008264463,362.6735537190083,Crawfordsville-TP2-4351,16,17,0.044284264219444223,0.009702594114511862,-0.008655667367418563,31500.0,14.67,139.98,63.0,,,,,,,,,,,0.0,225.0
Crawfordsville-TP2-4352_3_2_cropped.TIF,360.43290043290045,534.6277056277056,375.6060606060606,4450.458874458875,1951.2640692640693,365.7099567099567,Crawfordsville-TP2-4352,3,2,0.049524337479312244,0.01644216998362278,-0.04254298536429228,30500.0,16.29,148.93,61.0,,,,,,,,,,,3.28,238.0
Crawfordsville-TP2-4351_15_14_cropped.TIF,385.7878787878788,555.4848484848485,402.0692640692641,4386.047619047619,1973.0389610389611,378.61038961038963,Crawfordsville-TP2-4351,15,14,0.04854725063759911,0.05521712120393588,-0.04615989726317029,32500.0,19.52,172.3,65.0,,,,,,,,,,,0.0,239.0
Crawfordsville-TP2-4352_12_3_cropped.TIF,384.2190082644628,527.8099173553719,382.1528925619835,4291.913223140496,1898.719008264463,348.43388429752065,Crawfordsville-TP2-4352,12,3,0.04757633301600614,0.03126345785403091,0.08209657160106304,31500.0,19.52,179.28,63.0,,,,,,,,,,,0.0,246.0
Crawfordsville-TP2-4352_15_4_cropped.TIF,306.5238095238095,432.45238095238096,318.4484126984127,3644.59126984127,1602.1984126984128,306.75,Crawfordsville-TP2-4352,15,4,0.040477836754376,0.010751057455710176,-0.032345207693347484,30500.0,18.25,168.96,61.0,,,,,,,,,,,32.79,274.0
Crawfordsville-TP2-4351_8_13_cropped.TIF,273.6136363636364,387.79924242424244,293.17045454545456,3381.9166666666665,1422.6325757575758,284.6666666666667,Crawfordsville-TP2-4351,8,13,0.03750627755853368,-0.059939138406992096,0.006555888778559619,32500.0,18.77,168.84,65.0,,,,,,,,,,,0.0,252.0
Crawfordsville-TP2-4353_33_42_cropped.TIF,342.24242424242425,469.8030303030303,336.6401515151515,3590.8030303030305,1612.7689393939395,320.280303030303,Crawfordsville-TP2-4353,33,42,0.03953801269122484,0.03678556170790947,0.03727854209915438,31500.0,19.94,179.36,63.0,,,,,,,,,,,0.0,202.0
Crawfordsville-TP2-4352_21_2_cropped.TIF,358.42063492063494,495.5436507936508,360.1547619047619,3852.746031746032,1732.357142857143,340.968253968254,Crawfordsville-TP2-4352,21,2,0.04249630032023081,0.04228506421755842,0.007432519570592125,29000.0,11.53,114.51,58.0,,,,,,,,,,,20.69,206.0
Crawfordsville-TP2-4351_18_19_cropped.TIF,330.004132231405,477.1198347107438,353.5495867768595,4164.297520661157,1771.9628099173553,342.1487603305785,Crawfordsville-TP2-4351,18,19,0.04630911749123276,-0.04583613378219791,-0.014471103258894733,30500.0,14.44,127.91,61.0,,,,,,,,,,,6.56,245.0
Crawfordsville-TP2-4351_21_14_cropped.TIF,321.00396825396825,441.0595238095238,333.031746031746,3792.9246031746034,1612.7063492063492,322.5952380952381,Crawfordsville-TP2-4351,21,14,0.04200706010520672,-0.050968544125259745,0.027763673933542583,29500.0,19.16,169.32,59.0,,,,,,,,,,,0.0,233.0
Crawfordsville-TP2-4352_21_5_cropped.TIF,370.43290043290045,539.2467532467532,394.9177489177489,4669.766233766234,2043.952380952381,377.0822510822511,Crawfordsville-TP2-4352,21,5,0.05207031784709587,0.014066250356884788,-0.06619618464470568,34500.0,15.04,140.66,69.0,,,,,,,,,,,0.0,230.0
Crawfordsville-TP2-4353_22_43_cropped.TIF,438.1082251082251,610.2424242424242,430.35064935064935,4487.974025974026,2062.3506493506493,390.7748917748918,Crawfordsville-TP2-4353,22,43,0.04941413210288892,0.10046329417991008,0.06682812071383408,28000.0,14.92,133.58,56.0,,,,,,,,,,,14.29,224.0
Crawfordsville-TP2-4353_8_46_cropped.TIF,373.3595041322314,522.2479338842975,384.1818181818182,4083.49173553719,1821.6446280991736,356.85537190082647,Crawfordsville-TP2-4353,8,46,0.04504928081113317,0.030367104802112646,0.014552708157245312,33000.0,17.2,154.89,66.0,,,,,,,,,,,3.03,199.0
Crawfordsville-TP2-4352_8_8_cropped.TIF,320.6746031746032,461.8095238095238,328.3015873015873,3662.0793650793653,1654.3253968253969,313.81349206349205,Crawfordsville-TP2-4352,8,8,0.04059437911866056,0.05664250482164518,-0.04424031727810054,29500.0,14.2,134.0,59.0,,,,,,,,,,,5.08,212.0
Crawfordsville-TP2-4352_17_6_cropped.TIF,373.35064935064935,534.4285714285714,379.7402597402597,4392.571428571428,1957.95670995671,362.06493506493507,Crawfordsville-TP2-4352,17,6,0.04883250229878205,0.04824295353600276,-0.023793781530813022,29000.0,18.57,169.97,58.0,,,,,,,,,,,8.62,236.0
Crawfordsville-TP2-4352_5_3_cropped.TIF,289.3073593073593,412.969696969697,316.7835497835498,3921.7705627705627,1609.7965367965369,311.8528138528139,Crawfordsville-TP2-4352,5,3,0.04376064488577521,-0.1010759872717228,-0.0032589643470955798,,,,,,,,,,,,,,,,
Crawfordsville-TP2-4351_8_18_cropped.TIF,347.702479338843,468.099173553719,352.1694214876033,3736.119834710744,1647.2603305785124,332.3595041322314,Crawfordsville-TP2-4351,8,18,0.04115840429344703,0.002690319990207898,0.033939002297398366,28500.0,21.86,191.8,57.0,,,,,,,,,,,0.0,233.0
Crawfordsville-TP2-4353_16_45_cropped.TIF,269.1969696969697,393.2310606060606,293.5871212121212,3411.185606060606,1449.9128787878788,284.5833333333333,Crawfordsville-TP2-4353,16,45,0.037898182917741066,-0.04215705850719683,-0.02692791801032476,30500.0,22.19,197.03,61.0,,,,,,,,,,,9.84,240.0
Crawfordsville-TP2-4352_22_5_cropped.TIF,367.43290043290045,535.7835497835498,386.030303030303,4381.0,1943.138528138528,354.7748917748918,Crawfordsville-TP2-4352,22,5,0.04868902504213574,0.03892078883719694,-0.009271177943092027,28500.0,19.03,165.77,57.0,,,,,,,,,,,0.0,247.0
Crawfordsville-TP2-4352_21_3_cropped.TIF,477.7056277056277,580.6839826839827,474.8008658008658,3201.6103896103896,1561.6277056277056,451.84415584415586,Crawfordsville-TP2-4352,21,3,0.03322546547400709,0.05344891862521745,0.025400551219523167,,,,,,,,,,,,,,,,
